method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
random,80.85916803822502,0.5747857466077947,30.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,70.46574405212198,2.0452894414024008,0.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
nnrank,75.78949910218296,3.6653900990455033,20.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_typ,79.03813706417665,3.794241270236394,10.0,70.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_geo,73.73270350135857,3.8604047705896587,20.0,60.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_gen,75.39028991464983,4.089802978253423,10.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,72.80700059854469,4.184571298650992,10.0,60.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
rrf_equal,73.0972467455731,4.337680511757169,10.0,30.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
composite_equal,72.41984475534805,4.684477169138786,10.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
mlp_listnet,66.32177801889381,5.44446602009821,0.0,40.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_script,68.35197594020329,7.1142102935080915,10.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_asjp,62.52880779585277,7.893678335211257,10.0,20.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
