method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xnli_xlm-r::deu,deu,hrl,fra,hrl,spa,hrl,0.7755580613961127,0.7853653063328768,0.012487494491649095,0.6497275923987381,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7853653063328768,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7853653063328768,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
random,xnli_xlm-r::eng,eng,hrl,deu,hrl,spa,hrl,0.8309573633590462,0.8367705868818228,0.006947213028172057,0.7713224973829655,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8367705868818228,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa",9,1.0,1.0,1.0,0.8367705868818228,0.0,"tha,tur,rus,vie,urd,deu,fra,hin,spa"
random,xnli_xlm-r::fra,fra,hrl,deu,hrl,rus,mrl,0.7869409410288185,0.7901812765609159,0.004100749572554,0.9050190408513146,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7901812765609159,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa",9,1.0,1.0,1.0,0.7901812765609159,0.0,"tha,tur,rus,vie,urd,deu,hin,eng,spa"
random,xnli_xlm-r::hin,hin,mrl,deu,hrl,tur,mrl,0.7175645882543353,0.7300473656013301,0.017098585564667947,0.6884431767184018,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7300473656013301,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.7300473656013301,0.0,"tha,rus,vie,tur,urd,deu,spa,fra,eng"
random,xnli_xlm-r::rus,rus,mrl,fra,hrl,spa,hrl,0.765544473840631,0.7738030430711724,0.010672701929115916,0.7888722878923236,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7738030430711724,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin",9,1.0,1.0,1.0,0.7738030430711724,0.0,"tha,vie,tur,urd,deu,fra,eng,spa,hin"
random,xnli_xlm-r::spa,spa,hrl,deu,hrl,fra,hrl,0.7931426009624372,0.7981804055152665,0.0063116114076706194,0.6110120080790745,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7981804055152665,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng",9,1.0,1.0,1.0,0.7981804055152665,0.0,"tha,rus,tur,vie,urd,deu,fra,hin,eng"
random,xnli_xlm-r::tha,tha,mrl,deu,hrl,deu,hrl,0.7364959862901186,0.7364959862901186,0.0,0.8850585814746581,1.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7364959862901186,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng",9,1.0,1.0,1.0,0.7364959862901186,0.0,"hin,rus,vie,tur,urd,deu,spa,fra,eng"
random,xnli_xlm-r::tur,tur,mrl,deu,hrl,vie,mrl,0.7354624843702998,0.7430903107329224,0.010265005817528625,0.8033845952437437,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7430903107329224,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng",9,1.0,1.0,1.0,0.7430903107329224,0.0,"tha,rus,vie,urd,hin,deu,fra,spa,eng"
random,xnli_xlm-r::urd,urd,mrl,deu,hrl,tha,mrl,0.683070210823531,0.699230881041209,0.02311206592250829,0.586808731110831,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.699230881041209,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng",9,1.0,1.0,1.0,0.699230881041209,0.0,"tha,hin,rus,vie,tur,deu,spa,fra,eng"
random,xnli_xlm-r::vie,vie,mrl,deu,hrl,deu,hrl,0.7646199477553389,0.7646199477553389,0.0,0.9745913885981072,1.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7646199477553389,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng",9,1.0,1.0,1.0,0.7646199477553389,0.0,"tha,hin,rus,tur,urd,deu,fra,spa,eng"
single_new_gen,xnli_xlm-r::deu,deu,hrl,eng,hrl,spa,hrl,0.7674277685599383,0.7853653063328768,0.022839737926156463,0.7525673724399583,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7853653063328768,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa",9,1.0,1.0,1.0,0.7853653063328768,0.0,"tha,rus,tur,vie,urd,fra,hin,eng,spa"
