method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xquad_mt5::deu,deu,hrl,hin,mrl,eng,hrl,23.592130565560957,28.747314363984387,0.179327492410283,0.6243189809968454,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,28.747314363984387,0.0,"tha,rus,ron,vie,tur,hin,eng,spa",8,1.0,1.0,1.0,28.747314363984387,0.0,"tha,rus,ron,vie,tur,hin,eng,spa"
random,xquad_mt5::eng,eng,hrl,deu,hrl,deu,hrl,32.94123411992265,32.94123411992265,0.0,0.8088327472689799,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,32.94123411992265,0.0,"tha,rus,vie,tur,ron,deu,hin,spa",8,1.0,1.0,1.0,32.94123411992265,0.0,"tha,rus,vie,tur,ron,deu,hin,spa"
random,xquad_mt5::hin,hin,mrl,deu,hrl,deu,hrl,26.69290555583801,26.69290555583801,0.0,0.8142808992942164,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,tur,vie,deu,spa,eng",8,1.0,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,tur,vie,deu,spa,eng"
random,xquad_mt5::ron,ron,mrl,deu,hrl,deu,hrl,40.57646302812292,40.57646302812292,0.0,0.7767706494082017,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,40.57646302812292,0.0,"rus,tha,vie,tur,hin,deu,eng,spa",8,1.0,1.0,1.0,40.57646302812292,0.0,"rus,tha,vie,tur,hin,deu,eng,spa"
random,xquad_mt5::rus,rus,mrl,eng,hrl,ron,mrl,20.196300343013032,22.81702092838251,0.11485814005234649,0.8275878722119872,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,22.81702092838251,0.0,"tha,ron,tur,vie,deu,eng,spa,hin",8,1.0,1.0,1.0,22.81702092838251,0.0,"tha,ron,tur,vie,deu,eng,spa,hin"
random,xquad_mt5::spa,spa,hrl,deu,hrl,deu,hrl,32.31041120227868,32.31041120227868,0.0,1.0,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,32.31041120227868,0.0,"tha,ron,rus,tur,vie,deu,hin,eng",8,1.0,1.0,1.0,32.31041120227868,0.0,"tha,ron,rus,tur,vie,deu,hin,eng"
random,xquad_mt5::tha,tha,mrl,deu,hrl,tur,mrl,22.71487273093799,25.783542417851304,0.11901660513447182,0.8033845952437437,0.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,25.783542417851304,0.0,"rus,ron,tur,vie,hin,deu,eng,spa",8,1.0,1.0,1.0,25.783542417851304,0.0,"rus,ron,tur,vie,hin,deu,eng,spa"
random,xquad_mt5::tur,tur,mrl,hin,mrl,deu,hrl,21.793368167195204,27.67970593293264,0.21265897043848345,0.8596499700727654,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,27.67970593293264,0.0,"rus,tha,ron,vie,deu,hin,spa,eng",8,1.0,1.0,1.0,27.67970593293264,0.0,"rus,tha,ron,vie,deu,hin,spa,eng"
random,xquad_mt5::vie,vie,mrl,spa,hrl,eng,hrl,1.0084704662065016,28.865425403241595,0.9650630312175047,0.5989103695949527,0.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,28.865425403241595,0.0,"rus,tha,ron,tur,deu,spa,hin,eng",8,1.0,1.0,1.0,28.865425403241595,0.0,"rus,tha,ron,tur,deu,spa,hin,eng"
single_new_gen,xquad_mt5::deu,deu,hrl,eng,hrl,eng,hrl,28.747314363984387,28.747314363984387,0.0,0.8330360242372236,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,28.747314363984387,0.0,"tha,rus,ron,vie,tur,hin,eng,spa",8,1.0,1.0,1.0,28.747314363984387,0.0,"tha,rus,ron,vie,tur,hin,eng,spa"
single_new_gen,xquad_mt5::eng,eng,hrl,deu,hrl,deu,hrl,32.94123411992265,32.94123411992265,0.0,0.7314015786296526,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,32.94123411992265,0.0,"tha,rus,vie,tur,ron,deu,hin,spa",8,1.0,1.0,1.0,32.94123411992265,0.0,"tha,rus,vie,tur,ron,deu,hin,spa"
single_new_gen,xquad_mt5::hin,hin,mrl,eng,hrl,deu,hrl,15.177013592680789,26.69290555583801,0.431421447885001,0.5922568831360673,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,tur,vie,deu,spa,eng",8,1.0,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,tur,vie,deu,spa,eng"
single_new_gen,xquad_mt5::ron,ron,mrl,spa,hrl,deu,hrl,0.7889433848405673,40.57646302812292,0.9805566250490152,0.5680536061678237,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,40.57646302812292,0.0,"rus,tha,vie,tur,hin,deu,eng,spa",8,1.0,1.0,1.0,40.57646302812292,0.0,"rus,tha,vie,tur,hin,deu,eng,spa"
single_new_gen,xquad_mt5::rus,rus,mrl,eng,hrl,ron,mrl,20.196300343013032,22.81702092838251,0.11485814005234649,0.8076274128353308,0.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,22.81702092838251,0.0,"tha,ron,tur,vie,deu,eng,spa,hin",8,1.0,1.0,1.0,22.81702092838251,0.0,"tha,ron,tur,vie,deu,eng,spa,hin"
single_new_gen,xquad_mt5::spa,spa,hrl,ron,mrl,deu,hrl,23.636855920993217,32.31041120227868,0.26844459598439785,0.8408948451297582,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,32.31041120227868,0.0,"tha,ron,rus,tur,vie,deu,hin,eng",8,1.0,1.0,1.0,32.31041120227868,0.0,"tha,ron,rus,tur,vie,deu,hin,eng"
single_new_gen,xquad_mt5::tha,tha,mrl,eng,hrl,tur,mrl,23.3266660976745,25.783542417851304,0.09528854803425997,0.8542018180475291,0.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,25.783542417851304,0.0,"rus,ron,tur,vie,hin,deu,eng,spa",8,1.0,1.0,1.0,25.783542417851304,0.0,"rus,ron,tur,vie,hin,deu,eng,spa"
single_new_gen,xquad_mt5::tur,tur,mrl,eng,hrl,deu,hrl,27.43296078364225,27.67970593293264,0.008914298074128711,0.70599296722776,0.0,0.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,27.67970593293264,0.0,"rus,tha,ron,vie,deu,hin,spa,eng",8,1.0,1.0,1.0,27.67970593293264,0.0,"rus,tha,ron,vie,deu,hin,spa,eng"
single_new_gen,xquad_mt5::vie,vie,mrl,eng,hrl,eng,hrl,28.865425403241595,28.865425403241595,0.0,0.8330360242372236,1.0,1.0,xquad_mt5,0.1,0.05,inf,8,8,1.0,1.0,1.0,28.865425403241595,0.0,"rus,tha,ron,tur,deu,spa,hin,eng",8,1.0,1.0,1.0,28.865425403241595,0.0,"rus,tha,ron,tur,deu,spa,hin,eng"
