method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
mlp_listnet,85.72285691726604,15.78709211322743,22.22222222222222,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,87.83354489834794,16.532424892021346,33.33333333333333,77.77777777777779,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
random,79.04151204546325,17.676935991700997,44.44444444444444,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_gen,75.18334621831522,21.10537394532388,33.33333333333333,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_script,72.7341800782646,26.899218917322987,11.11111111111111,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
composite_equal,76.1176201638509,31.13546574324484,22.22222222222222,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_geo,76.94421666919968,36.36362948313161,22.22222222222222,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
rrf_equal,71.44598213535224,40.251323277184234,22.22222222222222,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_asjp,70.8542928159645,42.853275677239544,22.22222222222222,33.33333333333333,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
nnrank,69.61091575632668,43.83259057075493,22.22222222222222,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,70.70643756132259,44.577185465331596,11.11111111111111,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_typ,72.41373759293376,46.41904787243011,22.22222222222222,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
