method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,0.0,23.97875552808646,,17.9327492410283,21.265897043848344,,,,,5.977583080342766,23.52661244738011,
single_new_gen,0.0,27.18398431824586,,26.844459598439784,,,,,,8.948153199479929,27.18398431824586,
single_new_typ,0.0,65.20570093107966,,30.643871665933563,53.62219490892164,,,,,20.429247777289042,59.41394792000065,
single_new_geo,8.705937239075556,,,34.44328373342735,45.90291785610101,,,,,17.28505273719282,45.90291785610101,
single_script,,43.1421447885001,,22.94370294888263,26.023943324151766,,,,,22.94370294888263,28.876976901543156,
single_distals_asjp,0.0,98.05566250490152,,26.844459598439784,52.15587179836292,,,,,8.948153199479929,59.80583691611936,
single_distals_wiki_size,0.0,97.22102906077669,,10.00749018734561,46.684407672934924,,,,,6.671660124897073,63.52994813554885,
composite_equal,0.0,98.05566250490152,,30.643871665933563,24.175157170486965,,,,,20.429247777289042,36.48857472622274,
rrf_equal,0.0,97.280982813326,,30.643871665933563,26.60305013403474,,,,,20.429247777289042,50.16236102713183,
lightgbm_lambdarank,0.0,15.032436546957928,,17.193912556610275,39.24181618018194,,,,,11.462608371073516,19.067333152495262,
mlp_listnet,,11.236841519099134,,24.887593301484028,,,,,,24.887593301484028,11.236841519099134,
nnrank,5.803958159383704,76.01578762991912,,,36.50914506948338,,,,,5.803958159383704,62.84690677644055,
