method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.5739533415289179,0.702840844669858
random,single_new_typ,0.5564805152947145,0.21294288824597069
random,single_new_geo,0.05963442149662354,0.010071855802407808
random,single_script,0.6814640020741046,0.10821834532245203
random,single_distals_asjp,0.24665703915871653,0.5685520236390228
random,single_distals_wiki_size,0.2974949861269555,0.12233002945627906
random,composite_equal,0.20003292370878842,0.42150766738908113
random,rrf_equal,0.4293307452853594,0.7443833960182442
random,lightgbm_lambdarank,0.26677252563887216,0.12555614661421557
random,mlp_listnet,0.39664431912939224,0.5486894123109028
random,nnrank,0.19301109444264375,0.8766422559380382
single_new_gen,single_new_typ,0.20391955662184555,0.1086847387788983
single_new_gen,single_new_geo,0.02806472768517628,0.02086985403609473
single_new_gen,single_script,0.22039237193252167,0.1487498707260138
single_new_gen,single_distals_asjp,0.12381530008175504,0.3077440120951779
single_new_gen,single_distals_wiki_size,0.18973593878462308,0.12805200574457812
single_new_gen,composite_equal,0.09989343938484599,0.13949333740655173
single_new_gen,rrf_equal,0.270918307671254,0.4232204823239465
single_new_gen,lightgbm_lambdarank,0.2984441257246078,0.027441713992340796
single_new_gen,mlp_listnet,0.4020249487172993,0.8255634357358794
single_new_gen,nnrank,0.37948266941284997,0.5098069326558206
single_new_typ,single_new_geo,0.06478076347984035,0.03411318718331719
single_new_typ,single_script,0.6971944149011261,0.6984976335215438
single_new_typ,single_distals_asjp,0.3583140362934978,0.6188112925249495
single_new_typ,single_distals_wiki_size,0.4427218081279017,0.5013998109457835
single_new_typ,composite_equal,0.24134799575229604,0.8379563938584026
single_new_typ,rrf_equal,0.9332975143901778,0.4979817356927978
single_new_typ,lightgbm_lambdarank,0.09323080004423234,0.019683692219236222
single_new_typ,mlp_listnet,0.16364831767738666,0.1718083893476338
single_new_typ,nnrank,0.06891626160771158,0.3224961423549911
single_new_geo,single_script,0.004921979524152144,0.3216113572199246
single_new_geo,single_distals_asjp,0.2976853858123336,0.0726451499696039
single_new_geo,single_distals_wiki_size,0.2925536412019536,0.4933325395996045
single_new_geo,composite_equal,0.15069839255372214,0.10804473672834665
single_new_geo,rrf_equal,0.042197827774934256,0.06397790113863437
single_new_geo,lightgbm_lambdarank,0.011769945271167849,0.004280196448820102
single_new_geo,mlp_listnet,0.018844447093471127,0.0042102972601652695
single_new_geo,nnrank,0.003670003368415886,0.04267417866297494
single_script,single_distals_asjp,0.23379051053804248,0.5813698820349831
single_script,single_distals_wiki_size,0.36176079488203866,0.7492435698114123
single_script,composite_equal,0.23060095609445905,0.623541980793692
single_script,rrf_equal,0.5942993439583074,0.29147008796489937
single_script,lightgbm_lambdarank,0.07172461116852184,0.03934839161635034
single_script,mlp_listnet,0.1079833153344038,0.044142671973400736
single_script,nnrank,0.023560557816415185,0.29846782716927767
single_distals_asjp,single_distals_wiki_size,0.8906379846665244,0.42561262811192646
single_distals_asjp,composite_equal,0.7623593568211878,0.7142150880643263
single_distals_asjp,rrf_equal,0.2985080077296189,0.6787588045044864
single_distals_asjp,lightgbm_lambdarank,0.05239906571925889,0.09272449380822001
single_distals_asjp,mlp_listnet,0.13408682564303404,0.4559626516656711
single_distals_asjp,nnrank,0.037246836785517226,0.4972263262491032
single_distals_wiki_size,composite_equal,0.9516951391383255,0.48898099486347524
single_distals_wiki_size,rrf_equal,0.4485680495058897,0.20169370200240738
single_distals_wiki_size,lightgbm_lambdarank,0.0435346799229928,0.02248811185596507
single_distals_wiki_size,mlp_listnet,0.11404796924340643,0.04524967369511487
single_distals_wiki_size,nnrank,0.017622500658068915,0.16096034469115725
composite_equal,rrf_equal,0.3143241163460215,0.3465935070873342
composite_equal,lightgbm_lambdarank,0.020199526039789105,0.0226362705144209
composite_equal,mlp_listnet,0.11596082724534731,0.3588367905387968
composite_equal,nnrank,0.010852683677284723,0.3769525632978489
rrf_equal,lightgbm_lambdarank,0.054764687583384486,0.048991245074165024
rrf_equal,mlp_listnet,0.19354862670889403,0.5664378212976448
rrf_equal,nnrank,0.015216994247569273,0.7686229209604916
lightgbm_lambdarank,mlp_listnet,0.7783072824371898,0.5637117610564364
lightgbm_lambdarank,nnrank,0.7075190755002236,0.08305679872022505
mlp_listnet,nnrank,0.9553179385103026,0.6459285779398486
