method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xquad_xlm-r::deu,deu,hrl,hin,mrl,spa,hrl,15.95803971251764,18.21690896582988,0.123998492694303,0.9038137064176653,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,18.21690896582988,0.0,"tha,rus,ron,vie,tur,hin,eng,spa",8,1.0,1.0,1.0,18.21690896582988,0.0,"tha,rus,ron,vie,tur,hin,eng,spa"
random,xquad_xlm-r::eng,eng,hrl,deu,hrl,spa,hrl,16.453672146198382,19.151164139249296,0.14085263817057192,0.9038137064176653,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,19.151164139249296,0.0,"tha,rus,vie,tur,ron,deu,hin,spa",8,1.0,1.0,1.0,19.151164139249296,0.0,"tha,rus,vie,tur,ron,deu,hin,spa"
random,xquad_xlm-r::hin,hin,mrl,deu,hrl,spa,hrl,13.565675442816117,15.062417240458926,0.09936929602656563,0.6551757444239744,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,15.062417240458926,0.0,"rus,ron,tha,tur,vie,deu,spa,eng",8,1.0,1.0,1.0,15.062417240458926,0.0,"rus,ron,tha,tur,vie,deu,spa,eng"
random,xquad_xlm-r::ron,ron,mrl,deu,hrl,spa,hrl,15.88214641785093,20.43777241121328,0.22290227631964848,0.8154862337278654,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,20.43777241121328,0.0,"rus,tha,vie,tur,hin,deu,eng,spa",8,1.0,1.0,1.0,20.43777241121328,0.0,"rus,tha,vie,tur,hin,deu,eng,spa"
random,xquad_xlm-r::rus,rus,mrl,eng,hrl,spa,hrl,15.283045000763703,16.344338557335814,0.06493340509615,0.6364206194809672,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,16.344338557335814,0.0,"tha,ron,tur,vie,deu,eng,spa,hin",8,1.0,1.0,1.0,16.344338557335814,0.0,"tha,ron,tur,vie,deu,eng,spa,hin"
random,xquad_xlm-r::spa,spa,hrl,deu,hrl,deu,hrl,18.33261427476848,18.33261427476848,0.0,0.8209343857531018,1.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,18.33261427476848,0.0,"tha,ron,rus,tur,vie,deu,hin,eng",8,1.0,1.0,1.0,18.33261427476848,0.0,"tha,ron,rus,tur,vie,deu,hin,eng"
random,xquad_xlm-r::tha,tha,mrl,deu,hrl,hin,mrl,13.29956165929968,16.600669037090988,0.19885387573329852,0.6297671330220818,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,16.600669037090988,0.0,"rus,ron,tur,vie,hin,deu,eng,spa",8,1.0,1.0,1.0,16.600669037090988,0.0,"rus,ron,tur,vie,hin,deu,eng,spa"
random,xquad_xlm-r::tur,tur,mrl,hin,mrl,eng,hrl,15.366292849567715,15.542545290767372,0.011339998558946083,0.8209343857531018,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,15.542545290767372,0.0,"rus,tha,ron,vie,deu,hin,spa,eng",8,1.0,1.0,1.0,15.542545290767372,0.0,"rus,tha,ron,vie,deu,hin,spa,eng"
random,xquad_xlm-r::vie,vie,mrl,spa,hrl,spa,hrl,17.35729278523881,17.35729278523881,0.0,0.942529290737329,1.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,17.35729278523881,0.0,"rus,tha,ron,tur,deu,spa,hin,eng",8,1.0,1.0,1.0,17.35729278523881,0.0,"rus,tha,ron,tur,deu,spa,hin,eng"
single_new_gen,xquad_xlm-r::deu,deu,hrl,eng,hrl,spa,hrl,15.453520511856064,18.21690896582988,0.1516935973691917,0.8287932066456364,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,8,8,1.0,1.0,1.0,18.21690896582988,0.0,"tha,rus,ron,vie,tur,hin,eng,spa",8,1.0,1.0,1.0,18.21690896582988,0.0,"tha,rus,ron,vie,tur,hin,eng,spa"
