method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,85.62214408030843,3.7061322449221223,55.55555555555556,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
mlp_listnet,84.2239471627994,6.976191615223853,55.55555555555556,77.77777777777779,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_gen,81.4746957454656,8.347440819277178,22.22222222222222,77.77777777777779,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
random,79.2097245081528,9.580555362216485,22.22222222222222,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
nnrank,84.47251525439889,10.197056868018734,22.22222222222222,88.88888888888889,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
rrf_equal,75.42521800750555,11.133386982880916,33.33333333333333,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_asjp,70.87465002401214,13.12019623006063,22.22222222222222,33.33333333333333,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
composite_equal,72.19195471097089,14.149931196522747,22.22222222222222,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_typ,75.80155244651947,15.03891363433648,11.11111111111111,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_script,77.38456843233087,17.48029142112506,11.11111111111111,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,71.90963680650543,19.231899149606086,33.33333333333333,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_geo,65.14739970415236,22.951886635569974,0.0,22.22222222222222,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
