method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,7.042631908528596,11.721177063513252,,12.3998492694303,1.1339998558946083,,,,,8.828371028829164,9.956647528910146,
single_new_gen,14.627311776988181,5.835720054269269,,10.858023493902623,,,,,,13.370882349292994,5.835720054269269,
single_new_typ,14.085263817057193,7.643041984468642,,16.012443717019146,22.103648501508964,,,,,15.37005041703183,14.873345242988803,
single_new_geo,13.252005423341078,,,21.16686394013567,26.482684155551983,,,,,15.890291595605943,26.482684155551983,
single_script,,7.003267918259551,,22.56621963791067,16.52413919162679,,,,,22.56621963791067,14.93732731273225,
single_distals_asjp,14.627311776988181,0.0,,10.858023493902623,15.593823804533336,,,,,13.370882349292994,12.994853170444445,
single_distals_wiki_size,14.085263817057193,0.0,,32.248650167431634,23.626132048633576,,,,,26.194188050640154,15.75075469908905,
composite_equal,14.085263817057193,0.0,,16.012443717019146,16.24784590352185,,,,,15.37005041703183,13.539871586268207,
rrf_equal,14.085263817057193,0.0,,16.012443717019146,13.52258289870819,,,,,15.37005041703183,9.015055265805461,
lightgbm_lambdarank,7.584679868459585,1.140613152645683,,11.342151551505834,,,,,,8.837170429475002,1.140613152645683,
mlp_listnet,0.0,1.36873578317482,,11.342151551505834,44.59989406963474,,,,,3.780717183835278,8.573928830918138,
nnrank,13.891123527867109,1.776355267372115,,,21.497360079539412,,,,,13.891123527867109,8.350023538094547,
