method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,2.24839179456817e-17,3.493386316193683e-14
random,single_new_typ,7.912704146628929e-11,6.887702437019248e-08
random,single_new_geo,8.800156134244063e-14,6.738692307737875e-12
random,single_script,1.3214965344722936e-06,3.002642651753526e-07
random,single_distals_asjp,1.7597506137812902e-14,5.73448563156417e-14
random,single_distals_wiki_size,0.8051726144722374,0.20554019815960675
random,composite_equal,1.150087451507559e-14,4.185013524721841e-12
random,rrf_equal,1.2510039632101163e-15,1.3271214261776896e-12
random,lightgbm_lambdarank,4.05967535362831e-19,2.044457529127527e-16
random,mlp_listnet,5.459591093443659e-19,2.6481138609584056e-16
single_new_gen,single_new_typ,0.0010489929738094071,0.05188062694153868
single_new_gen,single_new_geo,0.03134919307531971,0.26771037187500635
single_new_gen,single_script,2.6772540637825387e-11,0.0009832987345305161
single_new_gen,single_distals_asjp,0.31765145633229774,0.46140979465121484
single_new_gen,single_distals_wiki_size,2.2544846325310384e-16,9.249798443465812e-18
single_new_gen,composite_equal,0.16775842374543032,0.8420134374662377
single_new_gen,rrf_equal,0.1027343678584995,0.68177648252187
single_new_gen,lightgbm_lambdarank,0.23308893537571687,0.06070851090847806
single_new_gen,mlp_listnet,0.0356051192706173,0.033746743065076995
single_new_typ,single_new_geo,0.3155195558940756,0.3844579924772783
single_new_typ,single_script,9.389518940720354e-06,0.16118814494192732
single_new_typ,single_distals_asjp,0.004335377061496904,0.0023527132430102913
single_new_typ,single_distals_wiki_size,1.2567180906062535e-11,8.310647115719303e-12
single_new_typ,composite_equal,0.01361401686683963,0.04853485157314754
single_new_typ,rrf_equal,0.025602397363725857,0.04929272106887153
single_new_typ,lightgbm_lambdarank,1.131997272730966e-05,5.451448202609864e-05
single_new_typ,mlp_listnet,7.21918916777733e-07,7.943150516919247e-05
single_new_geo,single_script,2.607355405816976e-06,0.02289602184355403
single_new_geo,single_distals_asjp,0.12567810673622903,0.04537721173845729
single_new_geo,single_distals_wiki_size,1.2428313650795408e-12,1.92592010537836e-13
single_new_geo,composite_equal,0.213915763182495,0.2287760008592448
single_new_geo,rrf_equal,0.3373522788973147,0.332704221672784
single_new_geo,lightgbm_lambdarank,0.0014664595232578063,0.0017449885267753844
single_new_geo,mlp_listnet,0.00024048752487383716,0.0017679109037951114
single_script,single_distals_asjp,3.744821502753058e-09,4.893951648198793e-05
single_script,single_distals_wiki_size,2.270262599373996e-05,1.3096373906275753e-09
single_script,composite_equal,2.6252877179475696e-09,0.0014318175965331943
single_script,rrf_equal,2.668259457468163e-10,0.0007081798487293798
single_script,lightgbm_lambdarank,2.6169495623015638e-14,3.825744935943176e-07
single_script,mlp_listnet,3.786368194692091e-14,2.8521305475523414e-06
single_distals_asjp,single_distals_wiki_size,1.0420563323993817e-14,6.0099716747200414e-18
single_distals_asjp,composite_equal,0.6056516552039023,0.26482609656986633
single_distals_asjp,rrf_equal,0.34672034908755445,0.21116221640770322
single_distals_asjp,lightgbm_lambdarank,0.028942293740261315,0.09158359464574252
single_distals_asjp,mlp_listnet,0.0002945526210641162,0.0705410421553061
single_distals_wiki_size,composite_equal,7.241014339737585e-16,1.0416856027950672e-16
single_distals_wiki_size,rrf_equal,2.917731683629345e-17,1.8725666265982016e-17
single_distals_wiki_size,lightgbm_lambdarank,1.3246346146615804e-18,1.2720365401913803e-20
single_distals_wiki_size,mlp_listnet,1.446257472256125e-20,5.798061269737507e-22
composite_equal,rrf_equal,0.47835687147309963,0.7076749004341104
composite_equal,lightgbm_lambdarank,0.011033262500226878,0.007720044336070072
composite_equal,mlp_listnet,6.312610973023375e-05,0.0023530516701758108
rrf_equal,lightgbm_lambdarank,0.0037545785744325932,0.006073129911233171
rrf_equal,mlp_listnet,5.3503042409386596e-05,0.0033385524505245385
lightgbm_lambdarank,mlp_listnet,0.7117613314430997,0.9614494057732808
