method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
mlp_listnet,53.91187560295393,18.45320685261917,44.827586206896555,59.77011494252874,87,30.60919540229885,81.48820326678762,95.40229885057471,88.50574712643679,1.0620713312455798,10.0,26.626444956753488,81.60919540229885,66.66666666666666,3.828922468471965
lightgbm_lambdarank,53.126823850433034,18.57294643331103,42.5287356321839,55.172413793103445,87,31.482758620689655,83.8205719330946,96.55172413793103,93.10344827586206,0.5182601196515746,10.0,26.626444956753488,83.9080459770115,71.26436781609196,4.584945796575761
single_distals_asjp,47.86571344164956,22.324054599651806,41.37931034482759,50.57471264367817,87,24.988505747126435,66.52850672814375,91.95402298850574,86.20689655172413,1.6723975141332725,10.0,26.626444956753488,75.86206896551724,62.06896551724138,4.830242583440541
single_new_gen,49.926709776518834,24.746318825387466,34.48275862068966,48.275862068965516,87,30.96551724137931,82.44551266329853,97.70114942528735,93.10344827586206,0.40477715858654995,10.0,26.626444956753488,78.16091954022988,60.91954022988506,4.451165032852697
composite_equal,46.81570806689727,25.40428380731163,37.93103448275862,54.02298850574713,87,24.229885057471265,64.50842857376435,91.95402298850574,83.9080459770115,1.682574748028064,10.0,26.626444956753488,80.45977011494253,68.96551724137932,4.195443721205802
rrf_equal,45.79629343448469,26.19202833043035,33.33333333333333,49.42528735632184,87,26.0,69.22548682984257,93.10344827586206,85.0574712643678,1.6238508416699993,10.0,26.626444956753488,80.45977011494253,68.96551724137932,4.123350126767627
single_new_geo,43.065625596550014,29.572078203485834,29.88505747126437,45.97701149425287,87,29.402298850574713,78.28354670459936,93.10344827586206,87.35632183908046,1.9643036633685638,10.0,26.626444956753488,74.71264367816092,64.36781609195403,7.393281422447466
single_new_typ,39.773074329935085,33.08740545759166,27.586206896551722,44.827586206896555,87,37.0,98.5178463399879,100.0,100.0,0.0,10.0,26.626444956753488,74.71264367816092,59.77011494252874,6.925842107950923
single_script,26.04796693184105,38.90906362498873,21.839080459770116,29.88505747126437,87,34.632183908045974,92.21808014911468,95.40229885057471,93.10344827586206,1.2632949135430143,10.0,26.626444956753488,57.47126436781609,44.827586206896555,16.873272170422368
random,12.332838425178577,59.30622788574477,1.1494252873563218,3.4482758620689653,87,32.4367816091954,86.36222429325878,89.65517241379311,85.0574712643678,2.6925906786341325,10.0,26.626444956753488,47.12643678160919,33.33333333333333,21.510228754062833
single_distals_wiki_size,13.000200285168745,63.49785621121641,4.597701149425287,14.942528735632186,87,37.02298850574713,98.56607969130654,98.85057471264368,96.55172413793103,0.7692587360222061,10.0,26.626444956753488,52.87356321839081,36.7816091954023,19.443314129289025
