method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,2.8386194068598626e-05,0.8149800146154565
random,single_new_typ,0.0031331331793892645,0.7751941913380442
random,single_new_geo,1.1939529183880086e-07,0.05382849138247965
random,single_script,0.00043367959308754904,0.002459271396720488
random,single_distals_asjp,4.340596984755177e-06,0.26073584053553267
random,single_distals_wiki_size,0.07917547027655229,0.7872747836148866
random,composite_equal,1.683384892561569e-06,0.2948077047380529
random,rrf_equal,8.568412932056475e-06,0.14892619092440235
random,lightgbm_lambdarank,3.673718682669982e-07,0.47007190731300064
random,mlp_listnet,8.993820868647167e-09,0.06350040103581558
single_new_gen,single_new_typ,0.05060692505229901,0.9814782256413038
single_new_gen,single_new_geo,0.12205957247730308,0.11343225185783198
single_new_gen,single_script,0.05609548554314622,0.00444743778573553
single_new_gen,single_distals_asjp,0.3169800287967032,0.23635720346969566
single_new_gen,single_distals_wiki_size,0.0023170653544620774,0.6396815287759818
single_new_gen,composite_equal,0.17840791556383814,0.35174868064370696
single_new_gen,rrf_equal,0.631089252201042,0.1758351457973685
single_new_gen,lightgbm_lambdarank,0.49175197832771195,0.6384543358343878
single_new_gen,mlp_listnet,0.01392685742679649,0.09371251996766813
single_new_typ,single_new_geo,0.0008342340806552273,0.11128628949642036
single_new_typ,single_script,0.9913247347925203,0.011765328252045761
single_new_typ,single_distals_asjp,0.012430980847219431,0.3536338101904443
single_new_typ,single_distals_wiki_size,0.14844043140994162,0.6158102959533808
single_new_typ,composite_equal,0.005761403856021837,0.41092664157897524
single_new_typ,rrf_equal,0.018235659285627922,0.21762450112374185
single_new_typ,lightgbm_lambdarank,0.016046438401853144,0.6914630751930957
single_new_typ,mlp_listnet,0.0001246605976301259,0.11508644608854486
single_new_geo,single_script,0.0006787099514284522,0.23220181439339443
single_new_geo,single_distals_asjp,0.37005083640608755,0.481344907280035
single_new_geo,single_distals_wiki_size,4.594544855071245e-06,0.05304160544644064
single_new_geo,composite_equal,0.47911656244307826,0.4927832097175851
single_new_geo,rrf_equal,0.19986610288675977,0.7301591845102868
single_new_geo,lightgbm_lambdarank,0.35374591718625853,0.16977388400045412
single_new_geo,mlp_listnet,0.6869631042752093,0.9882217018647997
single_script,single_distals_asjp,0.011165632741332416,0.07269638776651995
single_script,single_distals_wiki_size,0.08217561656240772,0.0012466536813649253
single_script,composite_equal,0.0019508701818815662,0.07443753305333625
single_script,rrf_equal,0.01185080079573694,0.178437340067516
single_script,lightgbm_lambdarank,0.004748694953811414,0.02353071125576609
single_script,mlp_listnet,4.8521750547187e-05,0.15323040935218943
single_distals_asjp,single_distals_wiki_size,0.0002748905759145081,0.20897749578134756
single_distals_asjp,composite_equal,0.828216774066293,0.956085877524339
single_distals_asjp,rrf_equal,0.6140561166586943,0.7042118526131622
single_distals_asjp,lightgbm_lambdarank,0.9128676863938536,0.6180927252524064
single_distals_asjp,mlp_listnet,0.07538934170373332,0.4877824976672431
single_distals_wiki_size,composite_equal,3.404541973622798e-05,0.21144558292954166
single_distals_wiki_size,rrf_equal,0.0003644219079806542,0.10864150627061998
single_distals_wiki_size,lightgbm_lambdarank,6.295828992479824e-05,0.390502718345615
single_distals_wiki_size,mlp_listnet,1.0096049792396286e-06,0.047529524181469315
composite_equal,rrf_equal,0.28962099414617104,0.5398685527845631
composite_equal,lightgbm_lambdarank,0.797871964209764,0.6729794598857006
composite_equal,mlp_listnet,0.1413213989449316,0.45599265547949247
rrf_equal,lightgbm_lambdarank,0.7584547861069015,0.3861364843899045
rrf_equal,mlp_listnet,0.03890452228459977,0.7677604758319724
lightgbm_lambdarank,mlp_listnet,0.14074050898184962,0.28063195558001863
