method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,sib200_mt5::ace,ace,lrl,fon,lrl,kea,lrl,0.2332354747875491,0.7574464850344794,0.69207662931206,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.751473106156992,0.00788620581850806,"grn,pag,hat,fon,fra,gle,hrv,nya,deu,run,fij,pol,fao,ewe,kik,lij,lim,kmb,lin,ilo,ibo,lvs,kab,srd,afr,yor,uzn,dan,sag,cym,ces,cjk,scn,bjn,tat,rus,mkd,acm,ary,npi,mar,bod,kat,tha,ben,heb,hye,mni,dzo,mal",10,0.05714285714285714,0.0,0.0,0.7091155528663237,0.0638077185954011,"fon,hrv,fij,kik,dan,ces,ary,mar,dzo,mal"
random,sib200_mt5::acm,acm,lrl,sag,lrl,ajp,lrl,0.2571349797156249,0.8935451219497385,0.7122305596000011,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.8752177378191294,0.020510865853778325,"nya,slk,zsm,sag,vie,lim,wol,lin,ron,oci,scn,mlt,smo,tso,tum,sot,nus,ltz,lus,slv,lug,cym,fao,cjk,ilo,isl,gle,kin,kik,bam,ast,knc,kon,kea,rus,bak,ukr,ckb,prs,mar,awa,kor,kat,hye,mni,jpn,tzm,tha,asm,sat",10,0.05714285714285714,1.0,0.0,0.8752177378191294,0.020510865853778325,"sag,wol,scn,tum,kin,ast,prs,awa,asm,sat"
random,sib200_mt5::acq,acq,lrl,pap,lrl,prs,lrl,0.8715175308785187,0.8923683818101382,0.02336574374063356,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.8887765687254738,0.0040250340082405404,"vie,zsm,spa,pap,xho,wol,pag,srd,ron,mos,smo,tso,tgl,swh,plt,nus,ltz,nya,sot,lvs,umb,ace,est,bjn,ind,hrv,glg,kin,bam,ban,kmb,kon,ast,kbp,bak,rus,ukr,kas,urd,mar,awa,kor,yue,hye,mni,jpn,tzm,tha,tel,sat",10,0.05714285714285714,1.0,0.0,0.8715175308785187,0.02336574374063356,"pap,pag,smo,plt,kin,kmb,urd,awa,tel,sat"
random,sib200_mt5::aeb,aeb,lrl,nya,lrl,khm,lrl,0.8040964952330857,0.8556947878621628,0.06029987953764267,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.8479749791680397,0.009021684838597692,"lij,lim,sag,nya,slk,spa,wol,srd,scn,run,ron,mlt,tgl,slv,min,uzn,ltz,nus,ssw,lua,lug,cym,fij,bjn,ibo,hrv,fur,kin,kik,bam,knc,ast,kon,kea,rus,bak,ukr,urd,prs,mai,mag,ory,yue,mni,jpn,ben,tha,tel,tir,sat",10,0.05714285714285714,1.0,0.0,0.8375914981740461,0.021156246298221947,"nya,wol,ron,min,kin,knc,prs,mag,tir,sat"
random,sib200_mt5::afr,afr,mrl,plt,lrl,ban,lrl,0.7093313476394141,0.8799424803178828,0.19388896035208433,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.8689493753195021,0.012492981353064559,"zsm,pap,glg,plt,fra,fon,hrv,oci,quy,deu,dan,dyu,run,est,ewe,lin,knc,lim,kon,ibo,mri,ilo,kab,taq,bam,wol,yor,bug,crh,cym,slk,cjk,scn,bjn,tat,bak,rus,acq,ars,npi,mai,bod,kor,khm,ory,heb,mni,mal,sat,amh",10,0.05714285714285714,1.0,0.0,0.8622048498837608,0.020157715794916764,"plt,hrv,dan,ewe,bug,slk,ars,mai,sat,amh"
random,sib200_mt5::ajp,ajp,lrl,nya,lrl,glg,mrl,0.8132253729081362,0.872195525464832,0.06761116152856662,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.8715747955997379,0.0007116865966071992,"lij,spa,zsm,nya,war,run,sot,wol,oci,pap,vie,mlt,tso,min,sna,slv,nus,uzn,nso,lua,umb,dan,fij,bjn,ibo,hrv,fon,ban,kik,bam,azj,kon,ast,arb,bel,rus,ukr,ckb,prs,mar,mag,kor,guj,khm,mni,jpn,bod,sin,tel,dzo",10,0.05714285714285714,1.0,0.0,0.8451251420717064,0.031037058323245353,"nya,sot,vie,sna,ban,azj,prs,mag,tel,dzo"
random,sib200_mt5::als,als,lrl,fra,hrl,khm,lrl,0.8353312463272679,0.882775594364977,0.05374451711234512,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,1.0,0.882775594364977,0.0,"grn,pag,hat,fra,fon,plt,hun,nya,eng,deu,dik,dyu,pol,eus,por,lij,kon,lmo,lit,ibo,mri,ind,kac,ban,wol,war,ace,cym,sag,crh,ces,scn,cjk,som,tat,rus,bul,acq,arz,npi,mai,tzm,zho,tha,khm,ory,mya,mni,dzo,kan",10,0.05714285714285714,1.0,0.0,0.8797025414672474,0.003481125800651782,"fra,hun,dik,por,cym,ces,arz,mai,dzo,kan"
random,sib200_mt5::amh,amh,lrl,lua,lrl,kor,mrl,0.0255194974164529,0.7904340141802447,0.9677145758423377,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,0.0,0.7685431587918219,0.027694728460193777,"bjn,spa,tum,lua,som,sot,ces,cjk,cat,slv,smo,kon,taq,sun,kin,ast,lim,lmo,kmb,kab,mlt,nya,ind,xho,run,dyu,umb,min,gle,fur,uzn,est,por,ewe,rus,bul,khk,apc,ckb,mar,mag,shn,asm,ben,kan,pan,tir,tam,mya,guj",10,0.05714285714285714,1.0,0.0,0.761487053612117,0.036621602877437515,"lua,ces,smo,kin,min,uzn,ckb,mag,mya,guj"
random,sib200_mt5::apc,apc,lrl,lmo,lrl,spa,hrl,0.8286831613572722,0.894007072009857,0.07306867327763664,0.1270430570094636,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,1.0,0.894007072009857,0.0,"spa,lij,oci,lmo,zsm,yor,pag,xho,sag,vie,lit,mlt,tso,tum,pol,ltz,nus,lus,luo,lug,nso,cym,fao,cjk,ilo,isl,gle,bam,kik,kmb,ast,kon,knc,ban,rus,bak,ukr,urd,prs,mar,hin,yue,kat,mni,mya,ell,sin,tha,tir,amh",10,0.05714285714285714,1.0,0.0,0.8828794100222671,0.012446950741198571,"lmo,pag,lit,pol,bam,ast,prs,hin,tir,amh"
random,sib200_mt5::arb,arb,hrl,plt,lrl,ell,mrl,0.8206709938189359,0.9049562680477604,0.09313740034162203,0.0,0.0,0.0,sib200_mt5,0.1,0.05,50.0,50,50,0.2857142857142857,1.0,1.0,0.9049562680477604,0.0,"glg,hat,grn,plt,fon,gle,hun,oci,por,deu,dik,run,fij,ewe,kik,kon,kmb,lit,lin,ibo,ilo,lvs,kac,ban,war,vie,yor,sag,crh,dan,slk,scn,cjk,spa,tat,rus,mkd,acq,ars,hin,mag,kat,asm,ben,jpn,ory,mni,amh,ell,kan",10,0.05714285714285714,1.0,1.0,0.9049562680477604,0.0,"plt,hun,dik,kik,sag,slk,ars,mag,ell,kan"
