method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_script,5.2061564093043735,13.000970456502973,2.7027027027027026,4.324324324324325,185,29.156756756756756,16.655826605826604,88.10810810810811,27.027027027027028,2.4746648172558072,10.0,5.712706212706213,75.67567567567568,10.81081081081081,4.8303241156055075
single_new_geo,9.707499322601642,14.735394997913232,3.2432432432432434,5.405405405405405,185,41.65945945945946,23.79759564759565,91.8918918918919,35.13513513513514,1.9646068772517349,10.0,5.712706212706213,75.13513513513513,12.432432432432433,3.9972696332295325
mlp_listnet,10.251010915127514,14.759411544863227,3.783783783783784,8.108108108108109,185,34.25405405405405,19.56842751842752,92.43243243243244,35.67567567567568,1.5024766676856498,10.0,5.712706212706213,78.37837837837837,14.054054054054054,3.582892325457382
rrf_equal,7.942018534301415,15.22870871065912,3.2432432432432434,6.486486486486487,185,51.25945945945946,29.282643032643037,94.05405405405406,44.32432432432433,1.3070968350704706,10.0,5.712706212706213,75.13513513513513,10.81081081081081,3.6993503881135315
single_distals_asjp,8.509024440790974,15.807374467461113,3.783783783783784,5.405405405405405,185,48.7027027027027,27.82174447174447,92.97297297297298,39.45945945945946,1.3601219340203163,10.0,5.712706212706213,69.72972972972973,9.72972972972973,3.8783042486465003
composite_equal,8.711769495810612,15.891861801232865,2.7027027027027026,5.9459459459459465,185,47.26486486486486,27.000280800280805,93.51351351351352,41.62162162162162,1.4641017520498705,10.0,5.712706212706213,75.13513513513513,11.891891891891893,3.8732453326443523
lightgbm_lambdarank,8.365438830286186,16.63738963488631,1.6216216216216217,7.567567567567568,185,30.454054054054055,17.397244647244648,92.97297297297298,37.2972972972973,1.6251228849334962,10.0,5.712706212706213,81.62162162162161,17.83783783783784,3.102628592634467
single_new_typ,5.21781972433108,17.36471419005596,1.0810810810810811,3.2432432432432434,185,41.07027027027027,23.462197262197265,93.51351351351352,28.64864864864865,1.840144281179556,10.0,5.712706212706213,72.43243243243244,9.72972972972973,4.040902927719562
single_new_gen,7.476352524140846,17.407030485080767,2.7027027027027026,4.864864864864865,185,71.58378378378379,40.891260091260094,94.05405405405406,49.72972972972973,1.192308494513166,10.0,5.712706212706213,69.1891891891892,8.108108108108109,4.422225062180072
random,2.039543051949867,17.864876878102397,0.5405405405405406,1.6216216216216217,185,60.454054054054055,34.53457353457353,93.51351351351352,38.37837837837838,1.8189672239072454,10.0,5.712706212706213,65.94594594594595,7.027027027027027,5.053625300109673
single_distals_wiki_size,3.5920282564872403,18.34471426383832,0.0,0.0,185,40.027027027027025,22.86568971568972,89.72972972972974,30.810810810810814,2.12612665322496,10.0,5.712706212706213,61.62162162162163,5.9459459459459465,5.331503596100143
