method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,1.279874908439936e-06,2.0908806732965837e-07
random,single_new_typ,7.633643430061168e-05,3.0153946126658275e-05
random,single_new_geo,5.794912912407783e-05,0.003738486562733328
random,single_script,0.0010192796180473987,1.9503758323373614e-06
random,single_distals_asjp,2.0919871470552962e-05,0.0001157441139998875
random,single_distals_wiki_size,0.21001127924312746,0.03713489400632805
random,composite_equal,1.1436076575549214e-06,6.948909322417381e-05
random,rrf_equal,8.76112445003196e-08,0.0002576197128159884
random,lightgbm_lambdarank,5.0040190196197867e-11,1.633938351654963e-06
random,mlp_listnet,6.496445813732161e-07,0.03427922047674503
single_new_gen,single_new_typ,0.14394930512195173,0.04928069339650642
single_new_gen,single_new_geo,0.3687944472974358,0.0007811776282472702
single_new_gen,single_script,0.00032256215783241617,0.26835063257915115
single_new_gen,single_distals_asjp,0.3312179137638522,0.007629890286748653
single_new_gen,single_distals_wiki_size,0.00012147087003026414,1.3199148368980391e-05
single_new_gen,composite_equal,0.7521150485477588,0.02188806083887351
single_new_gen,rrf_equal,0.3464665148690222,0.006893792405167519
single_new_gen,lightgbm_lambdarank,0.009912956270274607,0.7230868890728408
single_new_gen,mlp_listnet,0.7526256451862265,1.137095113489182e-05
single_new_typ,single_new_geo,0.45640740079788833,0.14155811467097804
single_new_typ,single_script,0.17199277419921633,0.8255024488346118
single_new_typ,single_distals_asjp,0.4089954239886305,0.7106082709712858
single_new_typ,single_distals_wiki_size,0.0034176373015071828,0.009167255434530973
single_new_typ,composite_equal,0.08067225538540242,0.908122646247575
single_new_typ,rrf_equal,0.01593833909291104,0.564627224161015
single_new_typ,lightgbm_lambdarank,0.00023656222687986388,0.37334601446271826
single_new_typ,mlp_listnet,0.20592327496134527,0.0133150948532108
single_new_geo,single_script,0.04726108556259609,0.1411293544224015
single_new_geo,single_distals_asjp,0.9275656970785664,0.21131293321491776
single_new_geo,single_distals_wiki_size,0.000757193267292205,0.25362966977556706
single_new_geo,composite_equal,0.2530237427771418,0.11938492804886396
single_new_geo,rrf_equal,0.08528380121152061,0.2608091452885142
single_new_geo,lightgbm_lambdarank,0.002191802761022786,0.05216665313491982
single_new_geo,mlp_listnet,0.5413237284725448,0.3253978078717842
single_script,single_distals_asjp,0.02098938295969362,0.599992542024794
single_script,single_distals_wiki_size,0.07493492714807659,0.012240289528462598
single_script,composite_equal,0.0003889257475130161,0.7487389610945482
single_script,rrf_equal,6.751789105189004e-05,0.49398576381735404
single_script,lightgbm_lambdarank,2.788449183592825e-07,0.5030681830530255
single_script,mlp_listnet,0.0030614728799839568,0.026368319245881764
single_distals_asjp,single_distals_wiki_size,0.0010732658064157893,0.03431193379593596
single_distals_asjp,composite_equal,0.18680642975916908,0.7618838159684845
single_distals_asjp,rrf_equal,0.05770858982692622,0.8345963766357379
single_distals_asjp,lightgbm_lambdarank,0.001789999105816338,0.28203677257311704
single_distals_asjp,mlp_listnet,0.3949721454826005,0.007160971852480091
single_distals_wiki_size,composite_equal,2.6262943142042946e-05,0.014923692580318787
single_distals_wiki_size,rrf_equal,3.5929462279181486e-06,0.030780060889083305
single_distals_wiki_size,lightgbm_lambdarank,4.515952252265136e-09,0.002935983186650348
single_distals_wiki_size,mlp_listnet,0.00023220308523038072,0.9417975308239346
composite_equal,rrf_equal,0.2484439525751839,0.3897229632474898
composite_equal,lightgbm_lambdarank,0.013511101057408244,0.33466130873306194
composite_equal,mlp_listnet,0.536639049704043,0.004943144971869208
rrf_equal,lightgbm_lambdarank,0.03293695760428574,0.20299082174468058
rrf_equal,mlp_listnet,0.2448170655922436,0.02965066925656067
lightgbm_lambdarank,mlp_listnet,0.003507459694349814,0.0024785347383236432
