method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,sib200_xlm-r::ace,ace,lrl,fon,lrl,ban,lrl,0.237210432800295,0.6874038175794872,0.6549183656914076,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.6794131629436425,0.011624396652293404,"grn,pag,hat,fon,fra,gle,hrv,nya,deu,run,fij,pol,fao,por,ewe,kik,knc,lij,lim,kmb,lin,ind,ilo,ibo,lvs,kac,kab,srd,afr,yor,uzn,cat,dan,sag,cym,ces,cjk,scn,bjn,tat,rus,mkd,acm,ary,npi,mar,bod,kat,tel,tha,ben,heb,hye,mni,dzo,mal",10,0.05714285714285714,0.0,0.0,0.6370435997307838,0.07326147536688654,"fon,hrv,fij,kik,dan,ces,ary,mar,dzo,mal"
random,sib200_xlm-r::acm,acm,lrl,sag,lrl,aeb,lrl,0.1376333811116419,0.8799313911611156,0.8435862358200138,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8532900342202667,0.03027662975597931,"nya,slk,zsm,sag,vie,lim,wol,lin,ron,oci,scn,mlt,smo,pol,tso,tum,ssw,sot,nus,ltz,lus,lvs,slv,lug,cym,eus,fao,cjk,ilo,isl,gle,fra,kin,kik,bam,ast,knc,kon,kea,rus,bak,ukr,ckb,prs,mar,awa,kor,kat,mal,hye,mni,jpn,tzm,tha,asm,sat",10,0.05714285714285714,1.0,0.0,0.8532900342202667,0.03027662975597931,"sag,wol,scn,tum,kin,ast,prs,awa,asm,sat"
random,sib200_xlm-r::acq,acq,lrl,pap,lrl,zho,hrl,0.7628270535484459,0.8750609730284528,0.12825839905941905,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8715958710439188,0.0039598406183534735,"vie,zsm,spa,pap,xho,wol,pag,srd,ron,mos,smo,tso,tgl,tum,swh,plt,lua,nus,ltz,nya,sot,nso,lvs,umb,ace,crh,est,bjn,ind,hrv,glg,kab,kin,bam,ban,kmb,kon,ast,kbp,bak,rus,ukr,kas,urd,mar,awa,kor,yue,mal,hye,mni,jpn,tzm,tha,tel,sat",10,0.05714285714285714,1.0,0.0,0.8715958710439188,0.0039598406183534735,"pap,pag,smo,plt,kin,kmb,urd,awa,tel,sat"
random,sib200_xlm-r::aeb,aeb,lrl,nya,lrl,prs,lrl,0.0571428571428571,0.835955241341525,0.9316436403327584,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,1.0,0.835955241341525,0.0,"lij,lim,sag,nya,slk,spa,wol,srd,scn,run,ron,mlt,tgl,tso,slv,min,som,uzn,ltz,nus,ssw,lus,lua,lug,cym,eus,fij,bjn,ibo,hrv,fur,afr,kin,kik,bam,knc,ast,kon,kea,rus,bak,ukr,urd,prs,mai,mag,ory,yue,mal,mni,jpn,ben,tha,tel,tir,sat",10,0.05714285714285714,1.0,1.0,0.835955241341525,0.0,"nya,wol,ron,min,kin,knc,prs,mag,tir,sat"
random,sib200_xlm-r::afr,afr,mrl,plt,lrl,crh,lrl,0.4422515598117437,0.8689376906057866,0.49104341474309326,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,1.0,0.8689376906057866,0.0,"zsm,pap,glg,plt,fra,fon,hrv,oci,quy,deu,dan,dyu,run,por,est,ewe,lua,lin,knc,lim,kon,kmr,ibo,mri,ilo,luo,kab,taq,bam,wol,yor,als,bug,crh,cym,slk,cjk,scn,bjn,tat,bak,rus,acq,ars,npi,mai,bod,kor,lao,khm,ory,heb,mni,mal,sat,amh",10,0.05714285714285714,1.0,0.0,0.8495246782031775,0.022341086837970217,"plt,hrv,dan,ewe,bug,slk,ars,mai,sat,amh"
random,sib200_xlm-r::ajp,ajp,lrl,nya,lrl,lao,lrl,0.0571428571428571,0.8586657602788293,0.9334515712792584,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.851472253546345,0.008377539975680883,"lij,spa,zsm,nya,war,run,sot,wol,oci,pap,vie,mlt,tso,mos,min,sna,ltz,slv,nus,uzn,nso,lvs,lua,umb,dan,ewe,fij,bjn,ibo,hrv,fon,kab,ban,kik,bam,azj,kon,ast,arb,bel,rus,ukr,ckb,prs,mar,mag,kor,guj,mal,khm,mni,jpn,bod,sin,tel,dzo",10,0.05714285714285714,1.0,0.0,0.8193947045655536,0.04573497340865608,"nya,sot,vie,sna,ban,azj,prs,mag,tel,dzo"
random,sib200_xlm-r::als,als,lrl,fra,hrl,slv,mrl,0.8684455331089234,0.8956735941129698,0.030399535258167017,0.15245166841135635,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8754746968229218,0.022551627537989387,"grn,pag,hat,fra,fon,plt,hun,nya,eng,deu,dik,dyu,pol,ewe,eus,por,lim,lij,kon,lmo,lit,isl,ibo,mri,ind,luo,kac,ban,wol,war,ace,uzn,cym,sag,crh,ces,scn,cjk,som,tat,rus,bul,acq,arz,npi,mai,tzm,zho,lao,tha,khm,ory,mya,mni,dzo,kan",10,0.05714285714285714,1.0,0.0,0.8722402841464739,0.026162778628863136,"fra,hun,dik,por,cym,ces,arz,mai,dzo,kan"
random,sib200_xlm-r::amh,amh,lrl,lua,lrl,vie,mrl,0.0571428571428571,0.7956311590260697,0.9281792115673229,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.7700673412263545,0.032130237120185055,"bjn,spa,tum,lua,som,sot,ces,cjk,cat,slv,smo,kon,taq,ban,sun,kin,lin,ast,lim,lmo,kmb,kmr,kab,mlt,nya,hat,ind,xho,run,dyu,umb,crh,min,gle,fur,uzn,est,por,ewe,rus,bul,khk,apc,ckb,mar,mag,shn,asm,sin,ben,kan,pan,tir,tam,mya,guj",10,0.05714285714285714,1.0,0.0,0.7629287659100724,0.041102454001459975,"lua,ces,smo,kin,min,uzn,ckb,mag,mya,guj"
random,sib200_xlm-r::apc,apc,lrl,lmo,lrl,kir,lrl,0.6682510103457167,0.8630487377729603,0.2257088376374968,0.22443468502544733,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8541807731957282,0.010275160821294227,"spa,lij,oci,lmo,zsm,yor,pag,xho,sag,vie,lit,mlt,tso,mri,tum,pol,sna,ltz,nus,lus,luo,tur,lug,nso,cym,eus,fao,cjk,ilo,isl,gle,fra,bam,kik,kmb,ast,kon,knc,ban,rus,bak,ukr,urd,prs,mar,hin,yue,kat,hye,mni,mya,ell,sin,tha,tir,amh",10,0.05714285714285714,1.0,0.0,0.8541807731957282,0.010275160821294227,"lmo,pag,lit,pol,bam,ast,prs,hin,tir,amh"
random,sib200_xlm-r::arb,arb,hrl,plt,lrl,ilo,lrl,0.2508861095045305,0.4033136238642886,0.37793792557587536,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,1.0,0.4033136238642886,0.0,"glg,hat,grn,plt,fon,gle,hun,oci,por,deu,dik,run,fij,pol,ewe,kik,lim,kon,kmb,lit,lin,ita,ibo,ilo,lvs,mlt,kac,ban,war,vie,yor,cat,sag,crh,dan,slk,scn,cjk,spa,tat,rus,mkd,acq,ars,hin,mag,kat,asm,kor,ben,jpn,ory,mni,amh,ell,kan",10,0.05714285714285714,0.0,0.0,0.2893999112592708,0.28244449446951675,"plt,hun,dik,kik,sag,slk,ars,mag,ell,kan"
random,sib200_xlm-r::ars,ars,lrl,nya,lrl,aeb,lrl,0.0571428571428571,0.8818802920845104,0.9352033857023975,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8801245906903847,0.0019908613559961163,"scn,yor,zsm,nya,spa,sag,srd,xho,lim,lmo,oci,mlt,tgl,min,tso,pol,lua,nus,ltz,uzn,nso,lus,lug,luo,cym,deu,fij,bug,hun,isl,glg,fra,kin,ban,bam,kmb,kon,ast,arb,rus,bak,ukr,urd,prs,mar,mai,lao,pan,kan,khm,mni,jpn,sin,tel,tha,ell",10,0.05714285714285714,1.0,0.0,0.8604081632653061,0.02434812186181225,"nya,srd,oci,pol,kin,kmb,prs,mai,tha,ell"
random,sib200_xlm-r::ary,ary,lrl,spa,hrl,urd,mrl,0.7839755605346053,0.8416522801155377,0.06852796688558235,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8355714669120466,0.0072248520525083505,"lij,vie,pap,spa,zsm,sag,lin,wol,yor,ron,sun,mlt,tgl,tum,por,min,slk,uzn,quy,ltz,som,nso,umb,ssw,cym,eus,fao,ces,ilo,isl,gle,fra,ban,bam,kik,azj,ast,knc,bem,bel,bak,ukr,aeb,prs,mar,mag,kat,yue,hye,mni,mya,sin,tel,tir,asm,ell",10,0.05714285714285714,1.0,0.0,0.8355714669120466,0.0072248520525083505,"spa,lin,sun,min,ban,azj,prs,mag,asm,ell"
random,sib200_xlm-r::arz,arz,mrl,wol,lrl,ars,lrl,0.2740064698166315,0.8517926622740016,0.6783178795117514,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8420872935011358,0.011394050691814818,"zsm,spa,lij,wol,war,lit,pap,pag,vie,ron,mlt,tgl,smo,tum,tso,slv,slk,ltz,sot,nus,lus,tur,lua,umb,cym,dik,est,bjn,ind,hun,kam,fur,kin,kik,bam,ast,kon,knc,kbp,rus,bak,ukr,apc,prs,mar,mag,ydd,kat,khm,jpn,mni,ben,tel,tha,tir,amh",10,0.05714285714285714,1.0,0.0,0.8420872935011358,0.011394050691814818,"wol,pap,mlt,slv,kin,ast,prs,mag,tir,amh"
random,sib200_xlm-r::asm,asm,lrl,tur,mrl,amh,lrl,0.6472018306770628,0.7220400165911813,0.10364825244373103,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.7010823388027035,0.029025645818663837,"bjn,lug,ilo,tur,lua,kbp,cjk,scn,bos,cat,ceb,taq,lim,ban,bam,kin,lit,tso,ast,kon,lmo,azj,kab,xho,afr,pap,kac,wol,mos,dik,cym,sag,min,glg,fur,est,ace,eng,eus,bul,rus,kaz,apc,ckb,mar,mag,tel,kor,heb,ben,mya,ydd,mni,kan,tam,bod",10,0.05714285714285714,0.0,0.0,0.6749702346693324,0.06518999063801176,"tur,cjk,ceb,kin,min,est,ckb,mag,tam,bod"
random,sib200_xlm-r::ast,ast,lrl,gle,lrl,prs,lrl,0.6330606871723177,0.8564911011571356,0.26086717501554796,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,56.0,56,56,0.32,1.0,0.0,0.8414057985785733,0.01761291221611257,"grn,glg,fra,gle,fur,hrv,pag,nus,dik,deu,run,fao,fij,eus,est,ewe,kea,lim,knc,kon,kmb,lit,ibo,ind,ilo,lvs,kab,srd,war,yor,arb,als,cym,crh,sag,cjk,slk,scn,sot,tgk,tat,rus,acq,arz,hin,mar,kat,asm,kor,ben,heb,guj,mni,ell,dzo,ydd",10,0.05714285714285714,1.0,0.0,0.8292922791720203,0.03175610575331037,"gle,pag,run,ewe,cym,cjk,arz,mar,dzo,ydd"
