method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,1.6427780545691606e-38,3.45408164868168e-93
random,single_new_typ,6.031976530677043e-05,0.6014411140740092
random,single_new_geo,1.8216273056998854e-13,2.3918836211214966e-08
random,single_script,0.00010198519495219436,4.615128009560925e-57
random,single_distals_asjp,5.991159620771691e-09,1.8597801556037917e-21
random,single_distals_wiki_size,3.870933673568466e-21,5.698644335222949e-87
random,composite_equal,1.0388554063889448e-18,2.528662897605755e-37
random,rrf_equal,1.0864316290037249e-10,1.694429501376582e-21
random,lightgbm_lambdarank,6.389339363666225e-176,3.9568225465642656e-153
random,mlp_listnet,2.602729930656513e-117,8.856472820725085e-135
single_new_gen,single_new_typ,3.099629162300933e-91,5.269750539523504e-61
single_new_gen,single_new_geo,3.321417338499643e-112,2.9454784279193374e-99
single_new_gen,single_script,1.186049682106499e-61,1.391596066123212e-08
single_new_gen,single_distals_asjp,1.0534426398468845e-17,3.689401488447047e-24
single_new_gen,single_distals_wiki_size,6.544966795564521e-19,0.061858082676294814
single_new_gen,composite_equal,6.857330403460502e-127,9.38946386263189e-146
single_new_gen,rrf_equal,1.8068588915634854e-101,9.434927237327299e-123
single_new_gen,lightgbm_lambdarank,2.737029522139265e-262,4.534342980837601e-266
single_new_gen,mlp_listnet,1.2225260806485896e-219,1.5931254728799572e-248
single_new_typ,single_new_geo,1.6617954904917834e-06,1.36482085617594e-08
single_new_typ,single_script,2.9616221182293657e-28,1.6804027415176553e-34
single_new_typ,single_distals_asjp,1.5378317391784506e-32,8.011665315205291e-16
single_new_typ,single_distals_wiki_size,8.486494674662546e-67,3.1827862197360895e-49
single_new_typ,composite_equal,2.6978861010800224e-13,2.3430035319022495e-36
single_new_typ,rrf_equal,3.241297078869704e-05,3.618115461958659e-22
single_new_typ,lightgbm_lambdarank,2.4754707816334357e-208,1.61765897646499e-139
single_new_typ,mlp_listnet,2.6416629607039038e-138,4.340129108068376e-123
single_new_geo,single_script,5.09659301217745e-53,1.6031894213677232e-68
single_new_geo,single_distals_asjp,3.0632405632551563e-53,5.363547430287688e-44
single_new_geo,single_distals_wiki_size,7.539785028310561e-84,3.0234097883977246e-86
single_new_geo,composite_equal,0.0010253915831382066,2.4537132236900264e-16
single_new_geo,rrf_equal,0.5820743221689769,7.6115033194546e-07
single_new_geo,lightgbm_lambdarank,1.0118698101453075e-180,1.3852328013790978e-112
single_new_geo,mlp_listnet,4.384740202419813e-106,2.8528949570278023e-97
single_script,single_distals_asjp,1.0336792551936572e-05,2.252043691385026e-07
single_script,single_distals_wiki_size,1.3155211130589715e-41,6.579153815910582e-07
single_script,composite_equal,6.281235025188504e-63,2.852857225506423e-112
single_script,rrf_equal,1.0517228759926843e-40,1.309811426531753e-90
single_script,lightgbm_lambdarank,5.326275158021479e-265,1.100167978189606e-237
single_script,mlp_listnet,9.093185225817316e-215,2.660404847542105e-220
single_distals_asjp,single_distals_wiki_size,0.035317030026986135,3.364299681020947e-16
single_distals_asjp,composite_equal,1.366626963034972e-75,3.448835187773471e-92
single_distals_asjp,rrf_equal,1.2689528117730533e-58,8.323076630800198e-73
single_distals_asjp,lightgbm_lambdarank,9.361759883141366e-213,1.613506015548588e-200
single_distals_asjp,mlp_listnet,5.889219171993945e-157,1.1537752909855094e-183
single_distals_wiki_size,composite_equal,1.024416226383224e-87,3.964935201264472e-129
single_distals_wiki_size,rrf_equal,8.905501165397719e-65,2.7424004763726885e-106
single_distals_wiki_size,lightgbm_lambdarank,1.0659722198950759e-266,1.9768763321253955e-261
single_distals_wiki_size,mlp_listnet,5.438042556717073e-214,1.212132305069413e-239
composite_equal,rrf_equal,1.7149739396074387e-08,2.131558095677226e-09
composite_equal,lightgbm_lambdarank,9.852600805903598e-167,3.3121087322225483e-73
composite_equal,mlp_listnet,6.319394526942252e-97,6.416618108618352e-62
rrf_equal,lightgbm_lambdarank,1.3862547211418266e-174,2.9568143463701726e-88
rrf_equal,mlp_listnet,2.337632821155236e-104,2.7873450719024474e-77
lightgbm_lambdarank,mlp_listnet,1.5238453731198107e-83,0.0008633454760374576
