method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,3.963637415685949,18.45351564513532,66.53393458570517,11.318934717072,12.07154554867994,42.574141548275755,,,,10.399522554398743,12.983255562459279,47.029474964326674
single_new_gen,9.75736319467575,11.048630949102595,67.65113648920831,22.328407852967665,17.54067772941791,27.73805472209426,,4.496682146673964,62.19558267693026,14.471504941535219,14.292514981327637,65.50587615226097
single_new_typ,23.42525053318264,17.694312699597088,41.01859438414992,13.448084240804375,18.086483713903647,31.90914089687476,,26.01493417640515,60.34995325446738,15.942375813898943,18.35563655133918,47.37087817798075
single_new_geo,16.2740629980421,11.696391937012775,39.838933144570596,18.0219212440715,10.834710433052415,40.65738341653265,,9.25935453560647,,17.36647440181047,10.727470980037516,40.48602743672792
single_script,18.00867300128234,24.61915257014324,48.79990770833094,15.088537831278865,20.750258300330056,62.160366089059984,,4.496682146673964,45.26129012733628,15.453554727529301,20.722472619101364,61.654240687360705
single_distals_asjp,15.072040900010009,16.154380516977344,67.18607007077725,28.983874923587273,13.601074529926615,52.44598266659474,,3.63537906125792,62.786254937498875,25.50591641769295,13.253997137457526,56.98299147071235
single_distals_wiki_size,11.902367248949794,11.457809608961817,,14.552575311834715,17.881611620266455,64.43260247305442,,14.347335605623588,,13.227471280392253,16.35583168810746,64.43260247305442
composite_equal,11.568301636035406,11.734421951722835,42.95396938235317,18.401506553493103,17.228918396759852,22.25845376866817,,3.63537906125792,57.93927310277153,15.839054709446465,15.66925525368432,30.559629646775406
rrf_equal,15.88668324329729,14.568447922616299,41.251682243917344,24.67137257203054,16.527625912972454,27.69978954614487,,11.095230766306996,62.76841755888016,20.279027907663917,15.735671648291568,34.53567408811764
lightgbm_lambdarank,19.78597907787454,12.638210193144234,34.76897902394393,6.830306356732054,15.330831733470143,9.156913018766728,,11.640690730072723,41.586532203227264,14.92760180744611,14.490259903157629,9.733040781816419
mlp_listnet,18.00867300128234,26.249242899859553,36.51779890607173,17.85560750635765,17.500928784330068,8.736285811398616,,4.496682146673964,39.05344932792296,17.874740693223234,18.598690353615467,11.366352056319528
