method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,17.394322854827475,32.179069397480056,24.942136939302646,35.60446075117489,1.515991754941078,,,,24.942136939302646,21.03635043409696,16.847530576210566
single_new_gen,,14.639053752174563,42.8563925516113,40.898845768600914,,,30.48581244815713,,5.68297627455251,35.69232910837902,14.639053752174563,24.269684413081904
single_new_typ,,,,8.811906677060948,6.905716142682373,10.052537279182673,,21.716494773427,,8.811906677060948,9.8678718688313,10.052537279182673
single_new_geo,,,11.053234380059006,0.0,16.154418957912352,19.28509679335258,30.48581244815713,21.716494773427,,15.242906224078565,17.26683412101528,15.169165586705793
single_script,,6.129615896659091,11.053234380059006,8.63838524411752,13.811432285364747,19.28509679335258,16.387638375596623,14.887448773801593,,12.513011809857073,12.705475602998357,15.169165586705793
single_distals_asjp,,5.446948903202366,11.053234380059006,0.0,20.87421211778348,19.28509679335258,16.387638375596623,20.05087572419235,,8.193819187798312,17.459424917430805,15.169165586705793
single_distals_wiki_size,,5.841722255434767,,3.6447861356394315,16.420380366090768,15.597517345130635,,21.716494773427,,3.6447861356394315,15.363871625426812,15.597517345130635
composite_equal,,6.372447219499433,11.053234380059006,0.0,6.460997558987912,19.28509679335258,16.387638375596623,21.716494773427,,8.193819187798312,9.494386933978035,15.169165586705793
rrf_equal,,6.372447219499433,11.053234380059006,0.0,6.460997558987912,19.28509679335258,,21.716494773427,,0.0,9.494386933978035,15.169165586705793
lightgbm_lambdarank,,,,10.822938441388619,11.086749572536274,10.052537279182673,,,,10.822938441388619,11.086749572536274,10.052537279182673
mlp_listnet,,5.446948903202366,,30.31011023883803,11.239908591533283,9.64254839667629,,18.385256674957695,,30.31011023883803,11.510386270551983,9.64254839667629
