method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.665568319249058,0.5588972836170769
random,single_new_typ,0.019333175214926907,0.10984611304438004
random,single_new_geo,0.6460722917359967,0.7177849801842423
random,single_script,0.9088792991228966,0.9491599326059502
random,single_distals_asjp,0.8784032249088269,0.9871337063332022
random,single_distals_wiki_size,0.44663961279155334,0.8898639765856939
random,composite_equal,0.6745967661836203,0.3834286050773783
random,rrf_equal,0.259448125577881,0.05971078842199654
random,lightgbm_lambdarank,0.17720553346037504,0.9014545526534127
random,mlp_listnet,0.1673359273444707,0.11645992097883272
single_new_gen,single_new_typ,0.005163702455492036,0.017471249117535764
single_new_gen,single_new_geo,0.23797155135375125,0.3808192806883694
single_new_gen,single_script,0.5797462148225856,0.6055910158100084
single_new_gen,single_distals_asjp,0.4138648181482979,0.7048993841938183
single_new_gen,single_distals_wiki_size,0.05825872929041961,0.6329406986849083
single_new_gen,composite_equal,0.16205386893644988,0.08180736727070169
single_new_gen,rrf_equal,0.07982753808955274,0.015705047714314472
single_new_gen,lightgbm_lambdarank,0.004062104446646145,0.5614188213790643
single_new_gen,mlp_listnet,0.009160114974302191,0.01152585624493487
single_new_typ,single_new_geo,0.049243710061754466,0.2204332947406738
single_new_typ,single_script,0.0005662696238120487,0.11533525896758662
single_new_typ,single_distals_asjp,0.008653638883143995,0.096960568632714
single_new_typ,single_distals_wiki_size,0.07627648391168218,0.2643947845784091
single_new_typ,composite_equal,0.010330637538208324,0.5402437274964188
single_new_typ,rrf_equal,0.0666112069913462,0.1415769533575259
single_new_typ,lightgbm_lambdarank,0.3585071294617235,0.2470181672521757
single_new_typ,mlp_listnet,0.1211266478508743,0.8751701196457554
single_new_geo,single_script,0.4688805125025058,0.06932353932908508
single_new_geo,single_distals_asjp,0.5472811531601853,0.1074658718309721
single_new_geo,single_distals_wiki_size,0.5563705937179899,0.7597593124330747
single_new_geo,composite_equal,0.8497645548722866,0.49759944670772627
single_new_geo,rrf_equal,0.35886079556568273,0.17321955589651367
single_new_geo,lightgbm_lambdarank,0.1412866594884932,0.5546294027240128
single_new_geo,mlp_listnet,0.32251564276545874,0.22147243926826488
single_script,single_distals_asjp,0.6811970074907419,0.6951977717138724
single_script,single_distals_wiki_size,0.15543277902344438,0.8840408847027129
single_script,composite_equal,0.2606499128326098,0.21228437876921782
single_script,rrf_equal,0.05260192032029338,0.10592570721258625
single_script,lightgbm_lambdarank,0.05686758503641746,0.8327692927586685
single_script,mlp_listnet,0.04998589968177878,0.12749145051582467
single_distals_asjp,single_distals_wiki_size,0.11199021906593432,0.8138872069001903
single_distals_asjp,composite_equal,0.4433260621046872,0.1802935941900518
single_distals_asjp,rrf_equal,0.06895550694765573,0.08964061282625642
single_distals_asjp,lightgbm_lambdarank,0.08784953907386792,0.724101992260488
single_distals_asjp,mlp_listnet,0.09427944900809239,0.12382480709361765
single_distals_wiki_size,composite_equal,0.18596401829466874,0.5483205012404738
single_distals_wiki_size,rrf_equal,0.4758999517487221,0.1888627524645752
single_distals_wiki_size,lightgbm_lambdarank,0.39699289481169425,0.9752420853197354
single_distals_wiki_size,mlp_listnet,0.46000611291213633,0.2560315277717982
composite_equal,rrf_equal,0.12046223483835326,0.3465935070873343
composite_equal,lightgbm_lambdarank,0.16477195086349794,0.32226972229339323
composite_equal,mlp_listnet,0.1748851900354493,0.5133281993129718
rrf_equal,lightgbm_lambdarank,0.8022202747272449,0.20178911931636614
rrf_equal,mlp_listnet,0.9509714004631455,0.5512380762789701
lightgbm_lambdarank,mlp_listnet,0.7779430472961503,0.17301961406882102
