method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
rrf_equal,80.36578133565135,6.074639967040471,44.44444444444444,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
mlp_listnet,80.61434942725086,7.830870383521798,11.11111111111111,55.55555555555556,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_typ,86.77820090780699,8.283008154012226,22.22222222222222,88.88888888888889,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
composite_equal,74.49764036437901,11.046684398216339,33.33333333333333,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_geo,75.38477189223039,14.76089949006439,22.22222222222222,33.33333333333333,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,77.76759917375395,16.613042012510814,22.22222222222222,77.77777777777779,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,81.96540392707558,16.85886634544742,11.11111111111111,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_script,70.57545721311368,17.539466556195677,22.22222222222222,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
random,71.15696792847761,18.159236370693417,22.22222222222222,44.44444444444444,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_distals_asjp,72.52784303470968,18.31725284450988,11.11111111111111,66.66666666666666,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
single_new_gen,68.32682428059354,21.293272179192925,0.0,11.11111111111111,9,8.0,100.0,100.0,100.0,0.0,8.0,100.0,100.0,100.0,0.0
