method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,40.67778049677971,23.84021204778957,17.687074829931973,33.33333333333333,147,18.802721088435373,25.932526739767447,79.59183673469387,65.98639455782312,6.179122512289554,10.0,13.79311237432568,68.70748299319727,55.10204081632652,9.720949715478959
composite_equal,38.07219463318131,27.10029327308211,16.3265306122449,27.89115646258503,147,26.1156462585034,36.01999399455368,84.35374149659864,70.06802721088435,4.814486071927087,10.0,13.79311237432568,66.66666666666666,48.97959183673469,9.822595566099908
single_distals_asjp,34.98039900493769,27.259520750372985,20.408163265306122,30.612244897959183,147,34.72789115646258,47.888904420215574,84.35374149659864,70.06802721088435,6.671924402073069,10.0,13.79311237432568,61.904761904761905,46.93877551020408,12.05890599162104
mlp_listnet,38.70307608967369,27.3337792995801,18.367346938775512,32.6530612244898,147,16.897959183673468,23.304108553619315,80.95238095238095,65.3061224489796,6.317392892041461,10.0,13.79311237432568,70.74829931972789,53.74149659863946,8.841350298962618
rrf_equal,37.41837148255709,27.4829139336312,12.925170068027212,28.57142857142857,147,19.39455782312925,26.74869795711283,78.2312925170068,62.585034013605444,6.522376931373162,10.0,13.79311237432568,70.06802721088435,50.34013605442177,9.198723518317701
random,10.996115782886674,30.838998416126234,4.081632653061225,5.442176870748299,147,52.89795918367347,72.9672081922571,93.87755102040816,77.55102040816327,1.6713490892690253,10.0,13.79311237432568,47.61904761904761,20.408163265306122,12.718646965683094
single_new_gen,35.70307950911789,32.08431609011275,17.687074829931973,29.25170068027211,147,26.571428571428573,36.646165315441245,81.63265306122449,64.62585034013605,6.5754451101928995,10.0,13.79311237432568,67.3469387755102,44.21768707482993,11.201506047226271
single_new_typ,25.971775798670784,32.62863144537262,10.204081632653061,17.006802721088434,147,28.244897959183675,38.94454280951346,82.31292517006803,67.3469387755102,5.551416509707611,10.0,13.79311237432568,60.544217687074834,38.775510204081634,11.570329780534703
single_new_geo,27.258638488404298,34.267519601161275,8.843537414965986,23.809523809523807,147,28.653061224489797,39.5162250592779,82.31292517006803,65.3061224489796,5.333923927348903,10.0,13.79311237432568,65.3061224489796,40.816326530612244,9.568208368200793
single_script,14.992229932934768,43.05611251253385,1.3605442176870748,12.925170068027212,147,50.35374149659864,69.4553163731246,88.43537414965986,75.51020408163265,2.672512418339825,10.0,13.79311237432568,48.29931972789115,24.489795918367346,11.26163771431989
single_distals_wiki_size,10.64896069687328,43.68277951964941,3.4013605442176873,8.16326530612245,147,51.36054421768708,70.84187556301057,89.1156462585034,81.63265306122449,2.618676775315308,10.0,13.79311237432568,36.734693877551024,19.047619047619047,15.989265019787727
