method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,27.448916631248863,11.499183867405458,35.72930365278264,45.107124773288845,33.121804181596666,43.069630830802055,35.016720120694565,13.661445898824581,37.417578903727104
single_new_gen,28.84097199734005,49.67926020768375,48.79394078819294,,4.174064759806573,14.176891105444236,25.15135393594025,39.23927911607162,30.33771442551791,26.73261881939731,25.97629615161966,34.902142874460075
single_new_typ,,1.1804918188435598,43.867025158434586,6.3180534007851925,6.733607689643445,31.88597029194065,39.56560935339115,22.766626127008337,47.2371006847837,25.316656802274313,12.60716170688528,41.14905756578444
single_new_geo,11.881273682111274,39.452859381082476,46.09932932335209,11.062497477901942,14.12949782614818,29.24387956223655,42.40601847744563,59.68859955708861,40.27516162091136,29.090048935385386,29.063396423177025,36.711591818959285
single_script,,68.33707083885287,72.86750033241405,68.8973807170024,32.28525220300133,34.973000000626115,34.94013013594408,34.39361507306559,45.6841007781445,44.64220173053217,35.87995157434853,45.815550642548104
single_distals_asjp,0.0,30.056697221816485,47.81618786199592,20.7934594228016,8.410817649837481,22.421940354852012,28.39447583169544,31.366388637588344,35.550031150319946,23.2522626544684,15.805893650067917,32.12147965720833
single_distals_wiki_size,20.30225750646084,36.80002406727959,,21.4585641289899,30.76121968796758,17.52696935676486,,48.6384220306215,52.383241519987536,20.797817487544727,34.65056091522807,48.89761430366527
composite_equal,0.0,34.6685816709117,29.47023900819784,1.9906794203964018,12.528814991453437,11.710569281627798,0.0,32.209062692346386,39.342424933813895,1.4219138717117155,18.80181714850612,32.21717028100842
rrf_equal,37.2319400834965,37.12457409522119,34.14601708075949,6.260594022104361,9.94201352955889,12.431378260516913,,41.872507113052556,35.77489687680829,15.109550039644972,19.16506662826964,31.676188328354847
lightgbm_lambdarank,,27.0366070999228,30.374593991848702,4.3860757928125285,4.484261641733514,16.829501977335664,40.34892711862136,30.09529580118711,36.48609629347501,19.798726361016314,14.422806435388521,27.89007829082411
mlp_listnet,,67.71423543448898,41.988168107458804,5.343731946851526,3.711522912690567,18.107800816522413,24.438245228487155,33.70914689926563,35.90925644900513,21.71045761682492,19.86102196050731,30.716514753002084
