method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,19.9548622205132,17.456561459310908,26.27800698856959,55.653598644500605,65.57163008095617,64.79034508396583,35.25432068793637,22.268068321475436,35.13584475051073
single_new_gen,18.52384996378329,42.50569336299194,45.706413498345626,,16.03770612452644,20.879634745223203,32.402522590520135,44.486314734649376,31.005553040387788,26.454520036204343,30.32952369905232,35.465216385396914
single_new_typ,,0.24355845699225526,41.89102944578797,20.92819656014262,24.834553577254677,33.863872764880334,37.723090051634784,32.507193187169484,49.858151314317,30.525278555280995,27.097018552966173,43.38136902398083
single_new_geo,25.14724185414175,31.563024814941887,39.960300026910986,44.66349787776052,34.56314578069923,29.79203012856917,47.522448334635136,61.30035250603865,49.2518876729034,43.50914727831476,42.434301750013184,41.59592782172361
single_script,,83.12342889423647,72.49182880773746,65.37659566181641,37.226252894148914,27.928240492742123,43.63845561983393,51.624158576010174,38.858229446300555,49.84935277468607,51.759331523735355,39.34604695448859
single_distals_asjp,0.0,45.72450033490622,37.25917824528946,19.348698438635143,20.505538186874062,27.807781507189954,33.94189948995979,44.62314068539462,37.66792569735196,27.008313698347724,28.39882698136883,33.457178070633304
single_distals_wiki_size,17.96442950004522,46.18176213878394,,44.41444959034026,41.38409164014133,37.70508283615433,,57.52994241143967,50.5855968906206,29.300152395885952,44.765503355564604,49.29754548517398
composite_equal,0.0,30.280638716452053,16.57855879653173,8.610023304176643,16.255652421836313,20.667417602781644,54.09824505303275,44.79662723347331,40.537214924553396,13.878337367702281,22.640546587774228,34.5705307609271
rrf_equal,19.289189278492323,33.62872709259475,25.869057485288206,21.6985197083054,14.603495493541905,24.284936262012035,,44.3660867513827,34.25804236502486,21.010139585501662,22.726970896485046,31.891495537133746
lightgbm_lambdarank,,27.742173317558162,22.990201138810892,15.69985626956826,10.642252647730988,26.35319631642868,35.80606880388244,38.8498736096489,30.2735543355601,27.18912057489065,20.109340479241133,27.71379800372368
mlp_listnet,,50.321311410396,24.823326194111548,12.462215524737747,11.013293269862164,26.77277866556903,38.0694206712749,48.24166587765452,34.17389039018644,27.094904179901835,29.73146185039541,29.865377663459846
