method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,ud_pos_xlm-r::abk,abk,lrl,por,mrl,eus,mrl,0.1302232657473829,0.2152451207333807,0.3950001500443416,0.0,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,0.0,0.0,0.1920717373582283,0.10766043521077884,"pcm,oci,ron,rus,por,lav,lat,lit,nld,nds,mar,mlt,urd,vie,tur,tha,zho,yrl,wol,slk,say,sdh,snd,tel,est,dan,ell,fao,fra,fin,fas,afr,cym,cat,cop,ces,isl,jpn,ind,kor,kat,got,gle,glg,gla,hin,hat,heb",10,0.136986301369863,0.0,0.0,0.1769500140899004,0.17791393604185612,"ron,por,nld,vie,zho,yrl,snd,fao,fin,heb"
random,ud_pos_xlm-r::abq,abq,lrl,pol,mrl,got,lrl,0.0874728720827226,0.1291293661134021,0.32259504777632486,0.3557205596264981,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,1.0,1.0,0.1291293661134021,0.0,"pcm,oci,por,ron,pol,lav,lat,lit,nds,nld,mar,myv,urd,tha,uig,ukr,zho,wol,vie,slk,say,snd,sdh,tel,eng,dan,deu,fra,fao,fin,fas,afr,ces,cym,cat,cop,ita,isl,hye,ind,kor,got,glv,glg,gla,hrv,hat,heb",10,0.136986301369863,0.0,0.0,0.0958045238642253,0.2580733047191661,"por,pol,nds,tha,zho,wol,sdh,fra,fin,heb"
random,ud_pos_xlm-r::afr,afr,mrl,pol,mrl,dan,mrl,0.6210493124624152,0.7582776049718557,0.18097368511171294,0.20326889121514177,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6666666666666666,1.0,1.0,0.7582776049718557,0.0,"pcm,oci,ron,por,pol,lav,lat,naq,nld,mlt,mar,myv,vie,ukr,uig,zho,wol,wuu,slv,sme,snd,tam,swe,eng,spa,dan,fao,fra,eus,fin,bul,bor,bel,cop,ces,kir,isl,jpn,ita,kat,kor,got,gle,glg,gla,hat,hun,glv",10,0.1388888888888889,1.0,0.0,0.7229368811480809,0.046606577316874016,"ron,pol,nld,mar,ukr,wol,wuu,swe,fra,fin"
random,ud_pos_xlm-r::aii,aii,lrl,pcm,lrl,wuu,lrl,0.0362637362637362,0.1274423068434221,0.7154497814584408,0.2564967828862255,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,1.0,1.0,0.1274423068434221,0.0,"oci,por,ron,rus,pcm,lav,lat,naq,nld,mar,mlt,myv,urd,tur,uig,yrl,wol,wuu,tha,slk,say,sdh,tam,eng,deu,fra,fao,fas,eus,bor,bul,bel,dan,cym,cop,isl,jpn,ita,kor,kir,kat,got,gle,glg,gla,hun,hin,heb",10,0.136986301369863,1.0,1.0,0.1274423068434221,0.0,"ron,pcm,nld,tur,wol,wuu,tam,fas,bor,heb"
random,ud_pos_xlm-r::ajp,ajp,lrl,pol,mrl,ell,mrl,0.4622271072143845,0.5562826297901622,0.16907866170701177,0.2286775026170345,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,1.0,0.0,0.5498937339574588,0.01148498171714151,"pcm,oci,por,ron,pol,lav,lat,naq,nld,mar,myv,mlt,vie,ukr,uig,yrl,wol,wuu,slk,sdh,snd,tam,swe,spa,est,fra,fao,eus,fin,bor,bul,afr,cym,ces,cop,ita,isl,jpn,ind,kor,kir,got,glv,gle,gla,hrv,hat,heb",10,0.136986301369863,1.0,0.0,0.5498937339574588,0.01148498171714151,"por,pol,nld,ukr,wol,wuu,swe,eus,bor,heb"
random,ud_pos_xlm-r::aln,aln,lrl,pol,mrl,ron,mrl,0.4041417756384923,0.5193238912702663,0.2217924450770762,0.0,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,1.0,1.0,0.5193238912702663,0.0,"pcm,oci,ron,por,pol,lav,lit,nds,nld,mar,myv,mlt,vie,tha,ukr,uig,zho,wol,wuu,sme,sdh,snd,swe,eng,deu,fao,fra,eus,fas,bor,bul,bel,dan,cat,cop,isl,jpn,ita,kor,kir,kat,got,glg,glv,gle,hat,hin,heb",10,0.136986301369863,1.0,1.0,0.5193238912702663,0.0,"ron,pol,nld,tha,zho,wol,swe,eus,bor,heb"
random,ud_pos_xlm-r::amh,amh,lrl,por,mrl,ron,mrl,0.3352086624900859,0.4175347972343049,0.19717191307056658,0.0,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,1.0,1.0,0.4175347972343049,0.0,"oci,ron,rus,pol,por,lav,lat,lit,nld,nds,mar,myv,urd,tur,ukr,uig,yrl,wuu,wol,slk,sdh,snd,tam,swe,spa,ell,fra,fao,eus,fas,bor,afr,dan,cym,cat,cop,ita,isl,ind,kor,kat,got,glg,glv,gle,hin,hat,heb",10,0.136986301369863,1.0,0.0,0.3966656174627233,0.049981893508795734,"rus,por,nld,tur,yrl,wuu,tam,fao,fas,heb"
random,ud_pos_xlm-r::apu,apu,lrl,por,mrl,isl,lrl,0.1507436051352167,0.2254839931690705,0.331466491183756,0.02540861140189272,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,0.0,0.0,0.2086511054998603,0.07465225106506214,"oci,ron,rus,pol,por,lit,lav,kir,naq,nld,mar,myv,urd,tha,uig,ukr,zho,yrl,wol,slv,sdh,say,snd,tel,ell,deu,fao,fra,eus,fin,bor,afr,cym,cat,ces,cop,kat,ita,hye,ind,kor,glg,got,glv,gle,hat,hin,heb",10,0.136986301369863,0.0,0.0,0.2086511054998603,0.07465225106506214,"rus,por,naq,tha,zho,yrl,snd,fra,fin,heb"
random,ud_pos_xlm-r::aqz,aqz,lrl,pol,mrl,yrl,lrl,0.1629658223502557,0.2035556876199769,0.19940423057841258,0.0,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6575342465753424,0.0,0.0,0.1887891125983412,0.07254317083590305,"pcm,oci,por,ron,pol,lav,lat,lit,naq,nld,mar,myv,urd,uig,ukr,zho,wol,wuu,vie,slk,snd,sdh,tam,tel,est,dan,deu,fao,fra,eus,fin,afr,cym,cat,cop,ces,ita,isl,ind,kor,kat,glg,got,gle,gla,hat,hin,heb",10,0.136986301369863,0.0,0.0,0.1885246746155638,0.07384226488662335,"por,pol,naq,uig,wol,wuu,tam,fao,eus,heb"
random,ud_pos_xlm-r::ara,ara,hrl,pol,mrl,hrv,mrl,0.3178966850354753,0.3690167448486739,0.1385304610883224,0.0,0.0,0.0,ud_pos_xlm-r,0.1,0.05,48.0,48,48,0.6666666666666666,1.0,0.0,0.3615518799873206,0.020229068099374522,"oci,ron,por,rus,pol,lav,lat,lit,nld,nds,mar,mlt,ukr,tur,tha,uig,yrl,wol,vie,slk,sme,say,snd,tel,spa,deu,ell,fra,fao,eus,fin,bor,afr,cat,ces,cop,ita,isl,jpn,kor,kat,got,glg,glv,gle,gla,hun,heb",10,0.1388888888888889,0.0,0.0,0.3178966850354753,0.1385304610883224,"por,pol,nld,mar,tur,yrl,wol,snd,fra,eus"
