method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
rrf_equal,39.231539564771204,15.038618077634228,19.727891156462583,40.816326530612244,147,19.244897959183675,26.54342558941385,89.1156462585034,78.2312925170068,1.8157776167434292,10.0,13.79311237432568,75.51020408163265,60.544217687074834,3.7629670627495186
composite_equal,38.6566488378503,15.728837210493579,23.809523809523807,41.49659863945578,147,17.564625850340136,24.2251162260947,85.71428571428571,72.78911564625851,2.2162451655260313,10.0,13.79311237432568,76.19047619047619,61.904761904761905,3.38020163850545
mlp_listnet,39.93483613105517,17.482170645633445,25.170068027210885,45.57823129251701,147,16.639455782312925,22.950770871514507,85.03401360544217,73.46938775510205,2.254089999784855,10.0,13.79311237432568,76.87074829931973,64.62585034013605,3.242820623296842
lightgbm_lambdarank,37.952466609845985,18.972950367772857,18.367346938775512,38.775510204081634,147,11.591836734693878,15.98639455782313,80.95238095238095,65.3061224489796,2.749845144689221,10.0,13.79311237432568,78.91156462585033,63.26530612244898,2.936411719816831
single_distals_asjp,34.76226238059129,19.612310837449375,19.047619047619047,31.97278911564626,147,27.993197278911566,38.61023100259891,84.35374149659864,71.42857142857143,1.8353551322181656,10.0,13.79311237432568,73.46938775510205,58.50340136054422,4.0131648262265065
single_new_gen,33.110763349135105,22.15973567456027,19.047619047619047,33.33333333333333,147,22.829931972789115,31.4873057289887,80.27210884353741,62.585034013605444,2.6569335587361373,10.0,13.79311237432568,64.62585034013605,51.70068027210885,5.533744632385957
random,8.049717223391058,24.29167066611681,2.0408163265306123,4.761904761904762,147,56.83673469387755,78.40278424916389,88.43537414965986,76.19047619047619,1.5848857442735762,10.0,13.79311237432568,31.292517006802722,15.646258503401361,10.89800457187869
single_new_typ,25.72339385850741,24.30471363475599,11.564625850340136,19.047619047619047,147,44.136054421768705,60.875811511819336,91.15646258503402,85.71428571428571,1.040834447252411,10.0,13.79311237432568,63.94557823129252,44.89795918367347,5.348548249675124
single_new_geo,22.38640015636845,26.87319700569762,5.442176870748299,28.57142857142857,147,29.65986394557823,40.90692593628014,89.79591836734694,77.55102040816327,1.7510154198978205,10.0,13.79311237432568,63.26530612244898,45.57823129251701,5.727135998689463
single_script,17.07561528101765,27.332240385927815,4.761904761904762,14.965986394557824,147,59.61224489795919,82.22530260201493,95.23809523809523,91.15646258503402,0.8260209915153971,10.0,13.79311237432568,50.34013605442177,34.01360544217687,8.265572055909821
single_distals_wiki_size,11.291861674800758,28.73508496603795,4.761904761904762,10.884353741496598,147,56.17687074829932,77.48643597469429,93.19727891156462,89.79591836734694,0.999811309702844,10.0,13.79311237432568,44.21768707482993,24.489795918367346,8.826047331490836
