method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.0003170752256445212,0.008303558566509552
random,single_new_typ,0.00021258872949927307,0.5233929721163503
random,single_new_geo,4.579765416062056e-07,0.4713114651811569
random,single_script,0.09438680214840137,0.030035489536254765
random,single_distals_asjp,2.280299570862896e-06,0.10235313557031275
random,single_distals_wiki_size,0.6724047112894622,0.03545104053212857
random,composite_equal,2.0337672764283239e-07,0.8997467130587942
random,rrf_equal,2.7855168583290314e-06,0.45237436049711605
random,lightgbm_lambdarank,3.205828751511695e-08,0.8453467059580111
random,mlp_listnet,5.0101364125962756e-08,0.821323868165554
single_new_gen,single_new_typ,0.7792686253442695,0.00021125482109396755
single_new_gen,single_new_geo,0.086085268550338,0.03179883637846505
single_new_gen,single_script,0.005668118909480956,0.34401708060937375
single_new_gen,single_distals_asjp,0.04690203495250797,0.23501275160733937
single_new_gen,single_distals_wiki_size,3.9832323067313835e-05,0.2754162927808652
single_new_gen,composite_equal,0.011176679470809076,0.0002680967534999448
single_new_gen,rrf_equal,0.0894974661503425,0.006338561048011284
single_new_gen,lightgbm_lambdarank,0.0165924920345922,0.00799199196724837
single_new_gen,mlp_listnet,0.0017960405067811974,0.0011433103355083314
single_new_typ,single_new_geo,0.043466447252634766,0.1207317974963281
single_new_typ,single_script,0.0034238059828745953,0.0012259284398836272
single_new_typ,single_distals_asjp,0.05200427410306232,0.009526765509208114
single_new_typ,single_distals_wiki_size,1.0870586507944892e-05,0.024094292487541306
single_new_typ,composite_equal,0.01108683727826083,0.3207228848893978
single_new_typ,rrf_equal,0.06772089980630658,0.07236230675582896
single_new_typ,lightgbm_lambdarank,0.010561720384138102,0.43740769171339744
single_new_typ,mlp_listnet,0.0025024857468535894,0.30497379400754854
single_new_geo,single_script,5.200906222755454e-08,0.10502030740733184
single_new_geo,single_distals_asjp,0.6285809069680585,0.21106643897976618
single_new_geo,single_distals_wiki_size,1.3627206975711705e-09,0.5308253544838188
single_new_geo,composite_equal,0.9157142253222507,0.3669177429305627
single_new_geo,rrf_equal,0.5814410825084985,0.8918316011216509
single_new_geo,lightgbm_lambdarank,0.702750153920153,0.4747440636358494
single_new_geo,mlp_listnet,0.4888286231402139,0.38370501918551886
single_script,single_distals_asjp,1.657909706066822e-06,0.965418350378379
single_script,single_distals_wiki_size,0.022165792291113262,0.648615268423322
single_script,composite_equal,3.333754964433377e-08,0.004688663711990262
single_script,rrf_equal,1.7486272866796285e-06,0.058470945322254636
single_script,lightgbm_lambdarank,4.3259129515497524e-08,0.04121226014637804
single_script,mlp_listnet,7.298639454049807e-10,0.012135663989963642
single_distals_asjp,single_distals_wiki_size,4.1630987978677706e-08,0.735559134055937
single_distals_asjp,composite_equal,0.3653759934300726,0.007457386017463815
single_distals_asjp,rrf_equal,0.9158804634944961,0.10687987459445748
single_distals_asjp,lightgbm_lambdarank,0.34079216492904046,0.09459715681322375
single_distals_asjp,mlp_listnet,0.12240684390082517,0.015785076990315543
single_distals_wiki_size,composite_equal,8.075875634272945e-10,0.18535198790844604
single_distals_wiki_size,rrf_equal,1.1904569298611883e-08,0.4102640717853698
single_distals_wiki_size,lightgbm_lambdarank,4.936639015348713e-10,0.23519946057437927
single_distals_wiki_size,mlp_listnet,1.6881880143620655e-10,0.22338290729826357
composite_equal,rrf_equal,0.16507670295884577,0.18085126071152569
composite_equal,lightgbm_lambdarank,0.7541705470559733,0.9390855321588454
composite_equal,mlp_listnet,0.22920313664875056,0.8200558913936814
rrf_equal,lightgbm_lambdarank,0.2556083777729515,0.5336682524327221
rrf_equal,mlp_listnet,0.049053252517211814,0.42908683579442447
lightgbm_lambdarank,mlp_listnet,0.7461323455287862,0.9648329649883868
