method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,wikiann_mt5::ace,ace,lrl,pol,mrl,ell,mrl,0.5352014652014652,0.657950937950938,0.18656326128472814,0.2540861140189272,0.0,1.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,1.0,0.657950937950938,0.0,"nld,msa,pol,ltz,kat,mal,lav,ukr,yue,slv,rus,swe,deu,ell,hin,ind,hye,glg",10,0.18181818181818182,1.0,1.0,0.657950937950938,0.0,"msa,pol,mal,lav,ukr,slv,rus,ell,hin,ind"
random,wikiann_mt5::afr,afr,mrl,ron,mrl,nld,mrl,0.7898241985826351,0.82486061993562,0.0424755655758175,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.3333333333333333,1.0,1.0,0.82486061993562,0.0,"nld,msa,ron,ltz,kor,mkd,lav,zho,urd,rus,swe,tam,deu,eng,hin,ita,ind,fin",10,0.18518518518518517,1.0,0.0,0.8049604678087651,0.024125472408184693,"msa,ron,mkd,lav,zho,rus,swe,eng,hin,ita"
random,wikiann_mt5::als,als,lrl,pol,mrl,deu,hrl,0.694244854560644,0.8047948849396218,0.1373642308714122,0.06412419572155638,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,1.0,0.8047948849396218,0.0,"nld,msa,pol,ltz,kat,mal,lav,zho,urd,slv,rus,tam,deu,eng,hin,ind,hye,heb",10,0.18181818181818182,1.0,0.0,0.7816342940685047,0.02877825307358245,"msa,pol,mal,lav,zho,slv,rus,eng,hin,ind"
random,wikiann_mt5::amh,amh,lrl,ron,mrl,ell,mrl,0.6132987012987013,0.6212099567099567,0.012735236011275233,0.3557205596264981,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,0.0,0.6132987012987013,0.012735236011275233,"nld,msa,ron,ltz,kat,mal,lav,yue,ukr,slv,slk,rus,cym,eng,hye,jpn,ita,glg",10,0.18181818181818182,1.0,0.0,0.6132987012987013,0.012735236011275233,"msa,ron,mal,lav,yue,slv,slk,eng,hye,jpn"
random,wikiann_mt5::ara,ara,hrl,pol,mrl,por,mrl,0.7515572247781459,0.8119526787746137,0.07438297277079708,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.3333333333333333,1.0,0.0,0.796000457824769,0.019646737262964096,"nld,msa,pol,ltz,lat,lit,lav,zho,urd,slv,rus,tam,eng,ell,hin,ind,ita,fin",10,0.18518518518518517,0.0,0.0,0.7587759840443353,0.06549235703062382,"msa,pol,lit,lav,zho,slv,rus,ell,hin,ind"
random,wikiann_mt5::arg,arg,lrl,ltz,lrl,por,mrl,0.8520635402179519,0.8820859493447729,0.034035695896893134,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,0.0,0.8810497123791241,0.0011747573651054522,"nld,mar,ltz,lat,kor,lav,tur,zho,slk,ron,swe,slv,ell,aze,hun,jpn,ita,glg",10,0.18181818181818182,1.0,0.0,0.8726147076178036,0.010737322971763377,"mar,ltz,lav,tur,zho,ron,swe,aze,hun,jpn"
random,wikiann_mt5::arz,arz,mrl,pol,mrl,heb,mrl,0.7618314463314462,0.813535964035964,0.0635552944064217,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,0.0,0.7929968919968919,0.02524666756854531,"mar,msa,pol,ltz,kor,mal,lav,tha,zho,slk,slv,rus,cym,eng,hye,hrv,jpn,glg",10,0.18181818181818182,1.0,0.0,0.7929968919968919,0.02524666756854531,"msa,pol,mal,lav,tha,slk,slv,eng,hye,hrv"
random,wikiann_mt5::asm,asm,lrl,ltz,lrl,hin,mrl,0.6641133180544944,0.758427738927739,0.12435518379982491,0.07622583420567818,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,0.0,0.7546282051282052,0.005009750572817332,"nld,por,ltz,kor,kat,mal,lav,tam,zho,slk,slv,rus,eng,ell,hun,ita,jpn,heb",10,0.18181818181818182,1.0,0.0,0.7519822399822399,0.008498501063017121,"por,ltz,mal,lav,tam,slk,slv,ell,hun,ita"
random,wikiann_mt5::ast,ast,lrl,ltz,lrl,glg,mrl,0.837212858495134,0.8595133505383505,0.025945486511929947,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.32727272727272727,1.0,0.0,0.8435742705007411,0.01854430769181901,"nld,msa,ltz,kor,lat,lav,ukr,zho,slk,rus,swe,slv,eng,ara,hin,jpn,ind,heb",10,0.18181818181818182,1.0,0.0,0.8401782506537152,0.022495403791604772,"msa,ltz,lav,ukr,zho,rus,swe,ara,hin,jpn"
random,wikiann_mt5::aze,aze,lrl,pol,mrl,kat,mrl,0.8146430125430124,0.8174957415133886,0.003489594900023609,0.40653778243028355,0.0,0.0,wikiann_mt5,0.1,0.05,18.0,18,18,0.3333333333333333,1.0,1.0,0.8174957415133886,0.0,"nld,msa,pol,lat,ltz,mal,tur,zho,tam,rus,swe,slv,ell,deu,hrv,kat,ind,fin",10,0.18518518518518517,1.0,1.0,0.8174957415133886,0.0,"msa,pol,mal,tur,zho,rus,swe,deu,hrv,kat"
