method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_typ,23.9325357301437,8.868161601091554,11.11111111111111,20.833333333333336,144,21.52777777777778,39.428077066965955,95.83333333333334,59.72222222222222,1.1513880146514535,10.0,18.310419004863444,86.80555555555556,42.36111111111111,2.0809587406971293
random,14.169566255354596,9.498327390898528,6.25,12.5,144,16.79861111111111,30.759913954358392,90.97222222222221,34.72222222222222,1.7949559400263242,10.0,18.310419004863444,76.38888888888889,22.22222222222222,3.284365540262187
composite_equal,29.373416405811415,9.653420215093844,18.055555555555554,31.944444444444443,144,26.51388888888889,48.55031799476244,96.52777777777779,79.16666666666666,0.581789255344771,10.0,18.310419004863444,89.58333333333334,51.388888888888886,1.7444863244150444
lightgbm_lambdarank,29.951110144666426,9.734252322878202,13.194444444444445,25.0,144,18.194444444444443,33.31719977553311,93.75,62.5,1.2181198290650006,10.0,18.310419004863444,88.88888888888889,44.44444444444444,1.8992958928600385
mlp_listnet,30.55602438085991,9.782628403317652,20.13888888888889,32.63888888888889,144,15.291666666666666,28.008791619902734,95.13888888888889,61.80555555555556,1.116077399325289,10.0,18.310419004863444,86.80555555555556,49.30555555555556,1.7902568329551762
rrf_equal,27.92861297112747,10.367594578413113,14.583333333333334,30.555555555555557,144,26.041666666666668,47.69032921810699,95.13888888888889,79.86111111111111,0.6834839995280998,10.0,18.310419004863444,93.05555555555556,52.083333333333336,1.5276418987904292
single_new_geo,29.14533897153872,10.483561559842263,15.972222222222221,29.166666666666668,144,19.71527777777778,36.10549943883277,94.44444444444444,63.19444444444444,0.97999633894604,10.0,18.310419004863444,87.5,50.69444444444444,1.8557673047166294
single_distals_wiki_size,13.349968362674442,11.403380271932468,1.3888888888888888,8.333333333333332,144,34.3125,62.83366068088291,92.36111111111111,75.69444444444444,0.9709227218851633,10.0,18.310419004863444,79.16666666666666,28.47222222222222,2.988171448624683
single_distals_asjp,28.098331821406703,11.93350059193577,14.583333333333334,26.38888888888889,144,32.27777777777778,59.10657500935278,95.83333333333334,70.83333333333334,0.7669683352084403,10.0,18.310419004863444,87.5,41.66666666666667,2.1003086599780416
single_script,17.769304507474757,11.981881960130197,2.7777777777777777,12.5,144,27.354166666666668,50.08955293677517,94.44444444444444,68.05555555555556,0.9469565214129387,10.0,18.310419004863444,83.33333333333334,31.944444444444443,2.621322596992882
single_new_gen,24.559782387278883,13.058547356936778,14.583333333333334,22.22222222222222,144,14.04861111111111,25.72741301907968,90.27777777777779,49.30555555555556,1.7066571168863052,10.0,18.310419004863444,84.02777777777779,41.66666666666667,2.372936290622614
