method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,wikiann_xlm-r::ace,ace,lrl,pol,mrl,ltz,lrl,0.487283807192589,0.5376550868486353,0.09368697681498393,0.52933802184816,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.5376550868486353,0.0,"nld,mar,msa,por,pol,ltz,kat,kor,mkd,mal,lit,lav,tgl,tha,ukr,urd,yue,slk,slv,rus,swe,dan,eng,deu,ell,aze,afr,ara,bel,ben,hun,hin,hrv,jpn,ind,hye,ita,eus,glg,fin,fra",10,0.18181818181818182,1.0,0.0,0.5319966735629386,0.010524243932783095,"msa,pol,mal,lav,ukr,slv,rus,ell,hin,ind"
random,wikiann_xlm-r::afr,afr,mrl,ron,mrl,nld,mrl,0.7560786641994803,0.8314223507291897,0.09062023226057131,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7592592592592593,1.0,1.0,0.8314223507291897,0.0,"nld,mar,msa,pol,ron,ltz,kor,lat,lit,mkd,mal,lav,tgl,tha,zho,ukr,urd,slk,rus,swe,tam,dan,cym,deu,eng,ell,aze,bel,bul,hye,hun,hin,hrv,jpn,ita,ind,eus,fas,spa,fin,fra",10,0.18518518518518517,1.0,0.0,0.7991718652740997,0.0387895338955046,"msa,ron,mkd,lav,zho,rus,swe,eng,hin,ita"
random,wikiann_xlm-r::als,als,lrl,pol,mrl,deu,hrl,0.7224698762630357,0.7826245166180055,0.07686270884397925,0.3557205596264981,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.7826245166180055,0.0,"nld,mar,msa,por,pol,ltz,kat,kor,mkd,mal,lit,lav,tgl,tha,zho,ukr,urd,slk,slv,rus,tam,dan,ell,deu,eng,aze,afr,ara,bul,ben,hun,hin,hrv,jpn,ind,hye,ita,fas,heb,fin,fra",10,0.18181818181818182,0.0,0.0,0.7224698762630357,0.07686270884397925,"msa,pol,mal,lav,zho,slv,rus,eng,hin,ind"
random,wikiann_xlm-r::amh,amh,lrl,ron,mrl,mkd,lrl,0.4877777777777778,0.5399898931813826,0.0966909122983654,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.5399898931813826,0.0,"nld,mar,msa,pol,ron,ltz,kat,kor,mkd,mal,lit,lav,tur,tam,yue,zho,ukr,urd,slv,slk,rus,deu,cat,cym,eng,ell,aze,bel,bos,bul,hun,hye,hin,hrv,jpn,ita,ind,fas,glg,fin,fra",10,0.18181818181818182,1.0,0.0,0.514590061101689,0.04703760644490755,"msa,ron,mal,lav,yue,slv,slk,eng,hye,jpn"
random,wikiann_xlm-r::ara,ara,hrl,pol,mrl,mkd,lrl,0.5185904720214413,0.6373517386582536,0.18633551841692206,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7592592592592593,1.0,1.0,0.6373517386582536,0.0,"nld,mar,msa,por,pol,ltz,lat,kor,mal,lit,mkd,lav,tgl,tha,zho,ukr,urd,slk,slv,rus,tam,deu,ces,eng,ell,aze,afr,bos,bel,hun,hye,hin,hrv,jpn,ind,ita,eus,fas,spa,fin,fra",10,0.18518518518518517,1.0,0.0,0.628232292521579,0.014308341193000835,"msa,pol,lit,lav,zho,slv,rus,ell,hin,ind"
random,wikiann_xlm-r::arg,arg,lrl,ltz,lrl,spa,hrl,0.8083583507001334,0.8898687090838369,0.0915981847115653,0.09618629358233458,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,0.0,0.8689724613894786,0.02348239406672921,"nld,msa,mar,por,ltz,lat,kor,mal,lit,lav,tgl,tur,ukr,tha,zho,urd,slk,rus,ron,swe,slv,dan,deu,ell,aze,bel,afr,ara,bul,hrv,hye,hun,hin,kat,jpn,ita,ind,fas,glg,fin,fra",10,0.18181818181818182,1.0,0.0,0.8466190642479817,0.048602276262059776,"mar,ltz,lav,tur,zho,ron,swe,aze,hun,jpn"
random,wikiann_xlm-r::arz,arz,mrl,pol,mrl,ara,hrl,0.566750208855472,0.7096296296296295,0.2013436514040842,0.2564967828862255,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,0.0,0.0,0.6631135805929504,0.06554975594939116,"mar,nld,msa,por,pol,ltz,kor,lat,mkd,mal,lit,lav,tgl,tur,tha,yue,zho,urd,slk,slv,rus,deu,cat,cym,eng,ell,aze,afr,bul,ben,hun,hye,hin,heb,hrv,jpn,ita,eus,glg,fin,fra",10,0.18181818181818182,0.0,0.0,0.6328648096089956,0.10817589460110207,"msa,pol,mal,lav,tha,slk,slv,eng,hye,hrv"
random,wikiann_xlm-r::asm,asm,lrl,ltz,lrl,ben,mrl,0.4071794871794871,0.7512657186121535,0.4580086950703836,0.1270430570094636,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.7512657186121535,0.0,"nld,msa,por,ron,ltz,kor,kat,mkd,mar,mal,lit,lav,tgl,ukr,tam,yue,zho,urd,slk,slv,rus,deu,ces,eng,ell,aze,bel,afr,cat,ben,hrv,hun,hye,hin,ita,jpn,ind,fas,heb,fin,fra",10,0.18181818181818182,0.0,0.0,0.6298788884906337,0.1615764264417164,"por,ltz,mal,lav,tam,slk,slv,ell,hun,ita"
random,wikiann_xlm-r::ast,ast,lrl,ltz,lrl,cat,mrl,0.8320977180553069,0.8617444945274658,0.034403209606132336,0.05081722280378544,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.8617444945274658,0.0,"nld,mar,msa,por,ltz,kor,lat,mal,lit,lav,tgl,ukr,tur,tha,zho,urd,slk,ron,rus,swe,slv,dan,ell,eng,ara,aze,bel,afr,cat,hun,hye,hin,hrv,kat,jpn,ind,ita,fas,heb,fin,fra",10,0.18181818181818182,1.0,0.0,0.8320977180553069,0.034403209606132336,"msa,ltz,lav,ukr,zho,rus,swe,ara,hin,jpn"
random,wikiann_xlm-r::aze,aze,lrl,pol,mrl,hrv,mrl,0.7377304488130538,0.7442340568602009,0.008738659548294187,0.5081722280378544,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7592592592592593,1.0,1.0,0.7442340568602009,0.0,"nld,mar,msa,por,pol,lat,ltz,lit,mkd,mal,lav,tur,tgl,tha,zho,urd,tam,slk,rus,swe,slv,cym,spa,ell,deu,bel,afr,ara,bul,hun,hin,hrv,jpn,ita,kat,ind,hye,eus,fas,fin,fra",10,0.18518518518518517,1.0,1.0,0.7442340568602009,0.0,"msa,pol,mal,tur,zho,rus,swe,deu,hrv,kat"
random,wikiann_xlm-r::bak,bak,lrl,kat,mrl,ron,mrl,0.5662828018221452,0.6299054889468813,0.10100354456524072,0.32062097860778194,0.0,1.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.6299054889468813,0.0,"nld,msa,por,pol,kat,lat,kor,mkd,mar,lit,lav,tur,tha,yue,ukr,urd,slk,slv,ron,rus,swe,dan,eng,deu,ell,aze,bel,afr,cat,ben,hun,hin,hrv,jpn,hye,ita,ind,fas,heb,fin,fra",10,0.18181818181818182,1.0,1.0,0.6299054889468813,0.0,"por,kat,lit,tur,ukr,ron,rus,ell,hin,hye"
random,wikiann_xlm-r::bar,bar,lrl,pol,mrl,slv,mrl,0.5415820481667716,0.8180395504339167,0.33795126668448056,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,41.0,41,41,0.7454545454545455,1.0,1.0,0.8180395504339167,0.0,"nld,mar,msa,por,pol,ltz,lat,mal,mkd,lit,lav,tur,tha,yue,ukr,urd,slk,slv,rus,tam,swe,ces,eng,deu,ell,aze,bel,afr,ben,hun,hin,hrv,ita,kat,jpn,hye,ind,fas,heb,fin,fra",10,0.18181818181818182,1.0,0.0,0.7915634189050781,0.03236534408977511,"msa,pol,lit,tur,ukr,rus,tam,ell,hrv,jpn"
