method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
composite_equal,34.03956338219885,13.396856109135305,22.22222222222222,34.02777777777778,144,26.083333333333332,47.772633744855966,90.97222222222221,75.69444444444444,1.4324347027981736,10.0,18.310419004863444,75.69444444444444,50.69444444444444,3.6734293475579562
mlp_listnet,33.89585977896016,14.042981089180934,20.833333333333336,31.25,144,24.77777777777778,45.3734100261878,90.27777777777779,71.52777777777779,1.7004550171840735,10.0,18.310419004863444,73.61111111111111,51.388888888888886,3.705447275327716
lightgbm_lambdarank,34.485740872335555,14.45310674838663,21.52777777777778,35.41666666666667,144,22.375,40.96427235316125,89.58333333333334,73.61111111111111,1.9614385481802974,10.0,18.310419004863444,75.0,52.77777777777778,3.9918806364784545
single_distals_asjp,34.46682367780348,15.297917062412456,20.13888888888889,34.72222222222222,144,22.930555555555557,41.98957164234942,88.88888888888889,66.66666666666666,2.0391958204996965,10.0,18.310419004863444,73.61111111111111,49.30555555555556,3.409389804106986
rrf_equal,32.18179636973478,15.858538650160604,15.972222222222221,29.86111111111111,144,26.86111111111111,49.19215301159746,88.88888888888889,75.69444444444444,1.515999090747164,10.0,18.310419004863444,78.47222222222221,54.166666666666664,3.158461527617403
single_new_geo,31.76889986715971,16.39649124082884,15.277777777777779,32.63888888888889,144,20.54861111111111,37.63023756079311,86.80555555555556,63.888888888888886,1.9674625377002222,10.0,18.310419004863444,72.22222222222221,41.66666666666667,4.129864369015027
single_new_typ,24.478187269337543,16.721127038271337,10.416666666666668,20.833333333333336,144,37.18055555555556,68.09039468761691,93.05555555555556,79.16666666666666,0.9719753033056104,10.0,18.310419004863444,68.75,36.80555555555556,5.4795895863830655
random,15.015649393347353,17.75218835458565,3.4722222222222223,8.333333333333332,144,32.99305555555556,60.40567714178825,83.33333333333334,59.02777777777778,2.255294023888989,10.0,18.310419004863444,55.55555555555556,21.52777777777778,6.670528815733287
single_new_gen,27.915655654010973,18.24512900319921,18.75,27.77777777777778,144,32.71527777777778,59.90881032547699,91.66666666666666,73.61111111111111,1.432561085289763,10.0,18.310419004863444,66.66666666666666,40.27777777777778,5.228364598010657
single_script,20.889504760078108,18.25242785516845,10.416666666666668,19.444444444444446,144,24.770833333333332,45.35166479610925,85.41666666666666,66.66666666666666,2.5631072828980637,10.0,18.310419004863444,69.44444444444444,36.11111111111111,5.774285259884994
single_distals_wiki_size,13.120734770752446,21.3645109280423,1.3888888888888888,9.722222222222223,144,34.104166666666664,62.4518331462776,87.5,70.83333333333334,2.2734915654761116,10.0,18.310419004863444,59.02777777777778,27.77777777777778,5.899831869560515
