method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.0005230096043195856,0.08623218705393242
random,single_new_typ,0.000507944390151221,0.3538225952968688
random,single_new_geo,0.012701390411349408,0.09367531967223687
random,single_script,0.49554837075020797,0.7260838246443837
random,single_distals_asjp,0.5724911492158024,0.9762634195442134
random,single_distals_wiki_size,0.03816661193356261,0.23476234073850646
random,composite_equal,0.07194393907524195,0.10591961627658168
random,rrf_equal,0.11503576537247705,0.10776007527158178
random,lightgbm_lambdarank,0.0011255235804397234,0.11368660224577534
random,mlp_listnet,0.6530986259929258,0.9448344207580649
single_new_gen,single_new_typ,0.5556126184200753,0.37374556381093305
single_new_gen,single_new_geo,0.5058494138875478,0.47294055179521777
single_new_gen,single_script,0.00011066756214438921,0.05212742572418765
single_new_gen,single_distals_asjp,0.004792428339740916,0.08894631401238218
single_new_gen,single_distals_wiki_size,0.10214574958379097,0.6754425774752486
single_new_gen,composite_equal,0.0237816059703761,0.21216413802468978
single_new_gen,rrf_equal,0.0099008367437689,0.18485678115322485
single_new_gen,lightgbm_lambdarank,0.9535458397880895,0.9209644567931696
single_new_gen,mlp_listnet,0.006959139371583496,0.06237728014788866
single_new_typ,single_new_geo,0.79358287676377,0.47077095934269564
single_new_typ,single_script,0.0003164505584325452,0.0007194491657624622
single_new_typ,single_distals_asjp,0.011032644944235673,0.1500900306987639
single_new_typ,single_distals_wiki_size,0.1778762272771362,0.8056146662974426
single_new_typ,composite_equal,0.18897369566375571,0.49599539557444017
single_new_typ,rrf_equal,0.0652398324159584,0.5042196937127768
single_new_typ,lightgbm_lambdarank,0.5403036686763756,0.5805064557813521
single_new_typ,mlp_listnet,0.005443790822878588,0.11736017105203811
single_new_geo,single_script,0.015084476438551576,0.08318165386003176
single_new_geo,single_distals_asjp,0.01778635271043041,0.09325542783683338
single_new_geo,single_distals_wiki_size,0.3041225072200614,0.7564863767014961
single_new_geo,composite_equal,0.27448871984461165,0.4424796758846111
single_new_geo,rrf_equal,0.07652569379933577,0.3572177746471498
single_new_geo,lightgbm_lambdarank,0.5304197499091895,0.969761643007945
single_new_geo,mlp_listnet,0.02710658828661673,0.09637882077528963
single_script,single_distals_asjp,0.9885503730651586,0.6261419283528982
single_script,single_distals_wiki_size,0.20258518655530397,0.34220281167046485
single_script,composite_equal,0.07314542704577663,0.08310886804918081
single_script,rrf_equal,0.08985097379077153,0.08518788897518202
single_script,lightgbm_lambdarank,0.00640352824556972,0.17872115606952652
single_script,mlp_listnet,0.8126966827416254,0.6042495149517361
single_distals_asjp,single_distals_wiki_size,0.24761640552858807,0.2930412548012956
single_distals_asjp,composite_equal,0.1554306119797708,0.09608843552852854
single_distals_asjp,rrf_equal,0.2526536707866768,0.09816359806027927
single_distals_asjp,lightgbm_lambdarank,0.029859714439219087,0.18775762087137685
single_distals_asjp,mlp_listnet,0.8638919794210357,0.9525046549329982
single_distals_wiki_size,composite_equal,0.960492476552671,0.8018705234244161
single_distals_wiki_size,rrf_equal,0.7743789223159885,0.8102251709322176
single_distals_wiki_size,lightgbm_lambdarank,0.05959549961372055,0.7434049123140765
single_distals_wiki_size,mlp_listnet,0.1004499404126987,0.2677969651499925
composite_equal,rrf_equal,0.4452490525267583,0.33428194339465755
composite_equal,lightgbm_lambdarank,0.14745656342609115,0.9137291793546619
composite_equal,mlp_listnet,0.1501941494587894,0.0876633075917552
rrf_equal,lightgbm_lambdarank,0.09044739251241303,0.9025332845493441
rrf_equal,mlp_listnet,0.23209708014960906,0.08941824141963065
lightgbm_lambdarank,mlp_listnet,0.0007428767323998031,0.15932816140910008
