method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.38388368048110644,0.7534086931080003
random,single_new_typ,0.017971516452184408,0.40498875337095624
random,single_new_geo,0.003939463348544503,0.1845105390326954
random,single_script,0.2903956300547943,0.969512472507523
random,single_distals_asjp,0.5761953420135353,0.9724623545133584
random,single_distals_wiki_size,0.01573011638079099,0.2515960477875771
random,composite_equal,0.0875016158207806,0.17058222662936862
random,rrf_equal,0.02409956867980946,0.19374466080558406
random,lightgbm_lambdarank,0.009718278955539113,0.18631869239183532
random,mlp_listnet,0.02508834456986253,0.41181055980850567
single_new_gen,single_new_typ,0.0017788442925414712,0.16280548001811465
single_new_gen,single_new_geo,0.027287707850283095,0.025160317424910518
single_new_gen,single_script,0.7144723447123436,0.42419175599482195
single_new_gen,single_distals_asjp,0.6682939138338477,0.6810987538144282
single_new_gen,single_distals_wiki_size,0.053047072628962764,0.23780084773316912
single_new_gen,composite_equal,0.07773267554868331,0.004935488538479213
single_new_gen,rrf_equal,0.012910249481256644,0.012451148868462152
single_new_gen,lightgbm_lambdarank,0.0036362724028588225,0.006425017654674422
single_new_gen,mlp_listnet,0.009226334579855559,0.12425664442820047
single_new_typ,single_new_geo,0.9813456260293016,0.3568841097988238
single_new_typ,single_script,0.005229325576686523,0.003289974989052966
single_new_typ,single_distals_asjp,0.014717306766029125,0.252902174689713
single_new_typ,single_distals_wiki_size,0.6702790045020967,0.7058928667664653
single_new_typ,composite_equal,0.559118612062486,0.2733369372073756
single_new_typ,rrf_equal,0.5611484019079291,0.3587880038126857
single_new_typ,lightgbm_lambdarank,0.28343750274416835,0.22932150852724525
single_new_typ,mlp_listnet,0.7879661774411991,0.8837759153777179
single_new_geo,single_script,0.005676551624525528,0.004631207882665138
single_new_geo,single_distals_asjp,0.022709123081116386,0.12011118622538702
single_new_geo,single_distals_wiki_size,0.511841809695725,0.9321795839616527
single_new_geo,composite_equal,0.5760224996660933,0.5231114603992291
single_new_geo,rrf_equal,0.6461436567896836,0.8110872555084915
single_new_geo,lightgbm_lambdarank,0.47171121333646426,0.7470359070507929
single_new_geo,mlp_listnet,0.8056584663196356,0.3732980632911372
single_script,single_distals_asjp,0.5366966763216295,0.9156738629436824
single_script,single_distals_wiki_size,0.022185983344679604,0.11527637374913875
single_script,composite_equal,0.03874870237989281,0.007931285694107781
single_script,rrf_equal,0.0025612254327428653,0.011167913073054423
single_script,lightgbm_lambdarank,0.0007528591060117889,0.0015140525156108662
single_script,mlp_listnet,0.0008971475184985125,0.004960397713851001
single_distals_asjp,single_distals_wiki_size,0.033080907561537504,0.28878858315439343
single_distals_asjp,composite_equal,0.05547001452143015,0.09085714972122182
single_distals_asjp,rrf_equal,0.013404102481551378,0.11450249523656121
single_distals_asjp,lightgbm_lambdarank,0.028424586536968333,0.12004817828642288
single_distals_asjp,mlp_listnet,0.040824213792386294,0.21259842930330947
single_distals_wiki_size,composite_equal,0.8225571789366609,0.8170866087199075
single_distals_wiki_size,rrf_equal,0.3916364024843223,0.8920681587333333
single_distals_wiki_size,lightgbm_lambdarank,0.27808716053282084,0.8631849692933199
single_distals_wiki_size,mlp_listnet,0.9038070942296799,0.7228473493867743
composite_equal,rrf_equal,0.03925665149799053,0.3342819433946576
composite_equal,lightgbm_lambdarank,0.20620897178553607,0.791784365758691
composite_equal,mlp_listnet,0.6870861835483034,0.2918601529405324
rrf_equal,lightgbm_lambdarank,0.7739881205155154,0.9161412657071538
rrf_equal,mlp_listnet,0.41615647569187825,0.3675606841618938
lightgbm_lambdarank,mlp_listnet,0.19210179776721575,0.2486732811292712
