method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xnli_xlm-r::ara,ara,hrl,tur,mrl,rus,mrl,0.7262793531628291,0.7417191208821169,0.020816192119903116,0.4464587011835963,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7417191208821169,0.0,"swa,tha,rus,vie,zho,tur,urd,hin,deu,ell,bul,fra,spa,eng",10,0.7142857142857143,1.0,1.0,0.7417191208821169,0.0,"swa,rus,vie,tur,urd,hin,ell,fra,spa,eng"
random,xnli_xlm-r::bul,bul,mrl,tur,mrl,rus,mrl,0.7825974157977043,0.7984178416261095,0.01981471981661176,0.5934622175697164,0.0,1.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7984178416261095,0.0,"tha,swa,rus,vie,zho,tur,urd,hin,deu,ell,ara,fra,eng,spa",10,0.7142857142857143,1.0,1.0,0.7984178416261095,0.0,"tha,rus,vie,tur,urd,hin,ell,fra,eng,spa"
random,xnli_xlm-r::deu,deu,hrl,zho,hrl,bul,mrl,0.7760998296387567,0.7869679960943629,0.013810175902379401,0.5081722280378544,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7869679960943629,0.0,"tha,swa,rus,tur,vie,zho,urd,ell,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.7869679960943629,0.0,"tha,rus,tur,zho,urd,ell,bul,hin,eng,spa"
random,xnli_xlm-r::ell,ell,mrl,zho,hrl,bul,mrl,0.7688448909711666,0.780717501677489,0.015207306971871778,0.2286775026170345,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.780717501677489,0.0,"tha,rus,swa,tur,vie,zho,urd,deu,ara,bul,fra,hin,eng,spa",10,0.7142857142857143,1.0,1.0,0.780717501677489,0.0,"tha,swa,tur,zho,urd,deu,bul,hin,eng,spa"
random,xnli_xlm-r::eng,eng,hrl,zho,hrl,bul,mrl,0.8262392457503688,0.8371474035940626,0.013030151914540534,0.39564147837981095,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.8371474035940626,0.0,"ara,tha,tur,rus,swa,zho,vie,urd,deu,ell,bul,fra,hin,spa",10,0.7142857142857143,1.0,0.0,0.8367705868818228,0.0004501199079421498,"ara,tur,rus,zho,vie,urd,ell,fra,hin,spa"
random,xnli_xlm-r::fra,fra,hrl,vie,mrl,bul,mrl,0.7848392594987552,0.7954825614241767,0.013379679758619074,0.40653778243028355,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7954825614241767,0.0,"tha,tur,rus,swa,zho,vie,urd,deu,ell,ara,bul,hin,eng,spa",10,0.7142857142857143,1.0,0.0,0.7901812765609159,0.006664237684569498,"tha,rus,swa,vie,urd,deu,ara,hin,eng,spa"
random,xnli_xlm-r::hin,hin,mrl,tur,mrl,tur,mrl,0.7300473656013301,0.7300473656013301,0.0,0.8275878722119872,1.0,1.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7300473656013301,0.0,"swa,tha,rus,vie,zho,tur,urd,deu,bul,ara,spa,fra,ell,eng",10,0.7142857142857143,1.0,1.0,0.7300473656013301,0.0,"swa,rus,vie,tur,urd,deu,ara,fra,ell,eng"
random,xnli_xlm-r::rus,rus,mrl,urd,mrl,bul,mrl,0.7175277035585085,0.7785474896017157,0.07837644698388706,0.08287932066456363,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7785474896017157,0.0,"swa,tha,vie,zho,tur,urd,deu,ell,ara,bul,fra,eng,spa,hin",10,0.7142857142857143,1.0,1.0,0.7785474896017157,0.0,"swa,vie,zho,urd,deu,ell,bul,eng,spa,hin"
random,xnli_xlm-r::spa,spa,hrl,vie,mrl,bul,mrl,0.7847041022209152,0.7988212634862295,0.017672490594083465,0.3393761035507892,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.7988212634862295,0.0,"tha,rus,swa,tur,zho,vie,urd,deu,ell,ara,bul,fra,hin,eng",10,0.7142857142857143,1.0,0.0,0.7981804055152665,0.0008022545220769205,"tha,swa,tur,vie,urd,deu,ara,fra,hin,eng"
random,xnli_xlm-r::swa,swa,lrl,urd,mrl,ell,mrl,0.6046691238815929,0.6745397200708009,0.10358262695319743,0.21657586413291272,0.0,0.0,xnli_xlm-r,0.1,0.05,inf,14,14,1.0,1.0,1.0,0.6745397200708009,0.0,"tha,hin,rus,vie,tur,urd,zho,bul,deu,ara,spa,fra,ell,eng",10,0.7142857142857143,1.0,1.0,0.6745397200708009,0.0,"tha,rus,vie,urd,zho,bul,ara,fra,ell,eng"
