method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.2614073179417765,0.9311212088528388
random,single_new_typ,0.2536326194468784,0.299776499938404
random,single_new_geo,0.32930714468484895,0.06540725355386812
random,single_script,0.13290121563373217,0.8016265912949367
random,single_distals_asjp,0.015640382032591278,0.023107444446047013
random,single_distals_wiki_size,0.03831157287634588,0.06274003187516264
random,composite_equal,0.1269703111357152,0.09082638686303948
random,rrf_equal,0.03811906615526254,0.16475327672706197
random,lightgbm_lambdarank,0.19864902155728947,0.33225336974277014
random,mlp_listnet,0.9161026817313482,0.5144130926925754
single_new_gen,single_new_typ,0.6506022678224168,0.33634932889660235
single_new_gen,single_new_geo,0.7391026618606007,0.06323534967947697
single_new_gen,single_script,0.740547527040983,0.8248089181141339
single_new_gen,single_distals_asjp,0.153656702812874,0.03765680386512772
single_new_gen,single_distals_wiki_size,0.17202864160702913,0.09578198416754655
single_new_gen,composite_equal,0.349530973200618,0.0266629419075344
single_new_gen,rrf_equal,0.18683378359436711,0.05638000526966241
single_new_gen,lightgbm_lambdarank,0.060170293284070274,0.5618879807625713
single_new_gen,mlp_listnet,0.30185420062567014,0.5487842368535606
single_new_typ,single_new_geo,0.8942190874931841,0.37051871479354015
single_new_typ,single_script,0.6930262278557815,0.22504214380022738
single_new_typ,single_distals_asjp,0.5650627737047238,0.5806764605227555
single_new_typ,single_distals_wiki_size,0.2671692479502304,0.613401960096504
single_new_typ,composite_equal,0.7100547910379297,0.9465728349859188
single_new_typ,rrf_equal,0.20002926505232344,0.8192283868554522
single_new_typ,lightgbm_lambdarank,0.04802929771611614,0.12166343141891889
single_new_typ,mlp_listnet,0.11866728647070264,0.485884114693135
single_new_geo,single_script,0.9235890912862983,0.04460491428674418
single_new_geo,single_distals_asjp,0.463640440733265,0.9744581177099578
single_new_geo,single_distals_wiki_size,0.18801965862639894,0.8700844136686048
single_new_geo,composite_equal,0.6436918036889651,0.3647341777570851
single_new_geo,rrf_equal,0.4284103827168207,0.2854382471155646
single_new_geo,lightgbm_lambdarank,0.03937768969106324,0.022331958218966216
single_new_geo,mlp_listnet,0.20329713485403644,0.12609457019214182
single_script,single_distals_asjp,0.32691428909410886,0.06525810310910064
single_script,single_distals_wiki_size,0.15400951981950975,0.07279852475332836
single_script,composite_equal,0.4564438402516235,0.10068774265578102
single_script,rrf_equal,0.09409369652790484,0.1572030425998894
single_script,lightgbm_lambdarank,0.025207651472589496,0.17338921329056028
single_script,mlp_listnet,0.06840966945102457,0.4495939513733398
single_distals_asjp,single_distals_wiki_size,0.6459552183986215,0.9127697201837481
single_distals_asjp,composite_equal,0.649178973952669,0.3076590010910007
single_distals_asjp,rrf_equal,0.9522790176217568,0.22799757122752673
single_distals_asjp,lightgbm_lambdarank,0.021363235935350566,0.03599030118116602
single_distals_asjp,mlp_listnet,0.10444450838170369,0.18470267718268832
single_distals_wiki_size,composite_equal,0.38459219278250706,0.5255299638445318
single_distals_wiki_size,rrf_equal,0.6522412632593333,0.4460894238277499
single_distals_wiki_size,lightgbm_lambdarank,0.006473114819135989,0.024492493101118003
single_distals_wiki_size,mlp_listnet,0.033246714176026676,0.11187938507271766
composite_equal,rrf_equal,0.3715751498620959,0.33880069619620184
composite_equal,lightgbm_lambdarank,0.019947709719720073,0.06996273304920539
composite_equal,mlp_listnet,0.0767898966293978,0.38383962233207575
rrf_equal,lightgbm_lambdarank,0.008421189408995135,0.10214374225927686
rrf_equal,mlp_listnet,0.022601323844304196,0.4954138179994079
lightgbm_lambdarank,mlp_listnet,0.11263981317000556,0.025509038779277075
