method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xquad_mt5::ara,ara,hrl,tur,mrl,deu,hrl,14.046454041100729,32.93189316126936,0.57346958547708,0.6497275923987381,0.0,1.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.93189316126936,0.0,"tha,ron,rus,vie,zho,tur,ell,deu,spa,hin,eng",10,0.9090909090909091,1.0,1.0,32.93189316126936,0.0,"tha,ron,rus,vie,tur,ell,deu,spa,hin,eng"
random,xquad_mt5::deu,deu,hrl,tur,mrl,ell,mrl,26.65111674306635,40.04023977927974,0.33439167972071115,0.6618292308828599,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,40.04023977927974,0.0,"tha,rus,ron,vie,zho,tur,ell,ara,hin,eng,spa",10,0.9090909090909091,1.0,1.0,40.04023977927974,0.0,"tha,rus,ron,vie,tur,ell,ara,hin,eng,spa"
random,xquad_mt5::ell,ell,mrl,vie,mrl,eng,hrl,15.985878190956628,25.733025106307675,0.3787796761198445,0.5414396603322819,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,25.733025106307675,0.0,"tha,ron,rus,zho,tur,vie,ara,deu,hin,eng,spa",10,0.9090909090909091,1.0,1.0,25.733025106307675,0.0,"tha,ron,rus,zho,vie,ara,deu,hin,eng,spa"
random,xquad_mt5::eng,eng,hrl,ron,mrl,deu,hrl,28.53533200892216,32.94123411992265,0.1337503657258495,0.6231136465631963,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.94123411992265,0.0,"tha,rus,zho,vie,tur,ron,ell,ara,deu,hin,spa",10,0.9090909090909091,1.0,1.0,32.94123411992265,0.0,"tha,rus,zho,vie,ron,ell,ara,deu,hin,spa"
random,xquad_mt5::hin,hin,mrl,vie,mrl,deu,hrl,14.80122394995411,26.69290555583801,0.4454997070666617,0.4385998802910618,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,zho,tur,vie,ell,ara,deu,spa,eng",10,0.9090909090909091,1.0,1.0,26.69290555583801,0.0,"rus,ron,tha,zho,vie,ell,ara,deu,spa,eng"
random,xquad_mt5::ron,ron,mrl,hin,mrl,deu,hrl,23.48742504386244,40.57646302812292,0.42115642194876207,0.5468878123575182,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,40.57646302812292,0.0,"rus,tha,zho,vie,tur,hin,ell,ara,deu,eng,spa",10,0.9090909090909091,1.0,1.0,40.57646302812292,0.0,"rus,tha,zho,vie,hin,ell,ara,deu,eng,spa"
random,xquad_mt5::rus,rus,mrl,ell,mrl,ell,mrl,24.74725961896745,24.74725961896745,0.0,0.8396895106961091,1.0,1.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,24.74725961896745,0.0,"tha,ron,tur,vie,deu,ell,ara,eng,spa,hin,zho",10,0.9090909090909091,1.0,1.0,24.74725961896745,0.0,"tha,ron,tur,vie,ell,ara,eng,spa,hin,zho"
random,xquad_mt5::spa,spa,hrl,tur,mrl,deu,hrl,18.51403248909221,32.31041120227868,0.42699483540505007,0.5160310489303891,0.0,1.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.31041120227868,0.0,"ara,tha,ron,rus,zho,tur,vie,deu,ell,hin,eng",10,0.9090909090909091,1.0,1.0,32.31041120227868,0.0,"ara,tha,ron,rus,tur,vie,deu,ell,hin,eng"
random,xquad_mt5::tha,tha,mrl,deu,hrl,ell,mrl,22.71487273093799,29.622106185131397,0.23317833684832454,0.7967311087848582,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,29.622106185131397,0.0,"rus,ron,tur,vie,hin,deu,ell,ara,eng,spa,zho",10,0.9090909090909091,1.0,1.0,29.622106185131397,0.0,"rus,ron,tur,vie,deu,ell,ara,eng,spa,zho"
random,xquad_mt5::tur,tur,mrl,deu,hrl,ara,hrl,27.67970593293264,30.164682221336147,0.08238032378958153,0.7955257743512091,0.0,0.0,xquad_mt5,0.1,0.05,inf,11,11,1.0,1.0,1.0,30.164682221336147,0.0,"rus,tha,ron,zho,vie,deu,ara,ell,hin,spa,eng",10,0.9090909090909091,1.0,1.0,30.164682221336147,0.0,"rus,tha,ron,zho,deu,ara,ell,hin,spa,eng"
