method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,73.02886397075358,21.084130690654124,25.0,41.66666666666667,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
single_new_gen,59.674477529954416,27.099360065918752,25.0,50.0,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,91.66666666666666,91.66666666666666,2.2425111620841305
random,65.5023065363617,27.791309373579388,16.666666666666664,33.33333333333333,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
single_script,57.65050708574974,29.018909699003174,0.0,25.0,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
mlp_listnet,66.17247618344201,32.64744320178504,0.0,25.0,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,83.33333333333334,83.33333333333334,1.7663729544019287
rrf_equal,50.82686480616895,39.08217853735448,8.333333333333332,25.0,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
composite_equal,53.79602380424816,40.89172213692265,8.333333333333332,16.666666666666664,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
single_new_typ,55.787651191952314,41.659236264940276,25.0,33.33333333333333,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,91.66666666666666,83.33333333333334,0.6358908140886503
single_distals_wiki_size,47.791813182755,49.02533946916056,8.333333333333332,33.33333333333333,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,91.66666666666666,91.66666666666666,0.4545488117793254
single_distals_asjp,51.159539129113206,50.15698490571167,16.666666666666664,25.0,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
single_new_geo,56.91665450899405,50.50660607161378,8.333333333333332,41.66666666666667,12,11.0,100.0,100.0,100.0,0.0,10.0,90.90909090909088,100.0,100.0,0.0
