method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,20.69716177885226,,29.372129326573816,31.13589512838171,,,,,29.372129326573816,26.662152264297657,
single_new_gen,27.11294273304788,27.128012894341968,,26.844459598439784,,,,,,27.059246106126256,27.128012894341968,
single_new_typ,0.0,48.93617955648412,,52.23270665475566,38.62152988945847,,,,,41.786165323804525,41.56857265146579,
single_new_geo,8.705937239075556,73.27281326155362,,67.93363007180032,51.93228248404328,,,,,44.24255293871042,54.98092973797333,
single_script,,43.1421447885001,,26.181054685293187,29.02991636217868,,,,,26.181054685293187,31.045948994510308,
single_distals_asjp,14.101970264847516,49.02783125245076,,44.32079696469559,68.53236498797133,,,,,32.23326628475636,62.95964106353688,
single_distals_wiki_size,0.0,67.04755972136049,,41.12834779217505,57.939112603701105,,,,,32.90267823374003,60.54152606588951,
composite_equal,0.0,77.16671582903018,,46.4738129741398,30.094396417690444,,,,,37.17905037931183,43.54363053521609,
rrf_equal,0.0,77.16671582903018,,41.04518217543527,30.094396417690444,,,,,32.836145740348215,43.54363053521609,
lightgbm_lambdarank,34.691085236477925,22.44878648771463,,16.311559629535285,0.0,,,,,23.663369872312344,19.241816989469683,
mlp_listnet,41.178229943260824,57.318493033927794,,25.276127282845064,26.969918655784763,,,,,28.456547814928218,35.640939906682775,
