method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.007473328536336355,0.4953684103853097
random,single_new_typ,0.10384736242032497,0.4757405673292614
random,single_new_geo,0.7880731570044243,0.11776508455045162
random,single_script,0.0424425662062935,0.21429617122836533
random,single_distals_asjp,0.5692254360621898,0.14331865583923029
random,single_distals_wiki_size,0.958274689998604,0.09054076144502314
random,composite_equal,0.5615170251042289,0.2542814902402762
random,rrf_equal,0.16855757091493093,0.29602317141126705
random,lightgbm_lambdarank,0.00351425103142214,0.21730818285505765
random,mlp_listnet,0.005337620279697732,0.3091099941674171
single_new_gen,single_new_typ,0.07682333233526888,0.7221734579430008
single_new_gen,single_new_geo,0.038029375740850406,0.056056138260999956
single_new_gen,single_script,0.06292048009018092,0.08847956118639362
single_new_gen,single_distals_asjp,0.007193886184282157,0.0395338945727868
single_new_gen,single_distals_wiki_size,0.0062003703612073715,0.03033871310564127
single_new_gen,composite_equal,0.019397643480534237,0.023482223450559392
single_new_gen,rrf_equal,0.02264995542495016,0.04691919073288084
single_new_gen,lightgbm_lambdarank,0.2696589024836135,0.04475633898405825
single_new_gen,mlp_listnet,0.36444465255255726,0.049194555369869775
single_new_typ,single_new_geo,0.24824240420803365,0.1869800368391806
single_new_typ,single_script,0.9903840485463549,0.29242021963460346
single_new_typ,single_distals_asjp,0.05966705460279135,0.1480974010480636
single_new_typ,single_distals_wiki_size,0.054403787153992716,0.06916692145691385
single_new_typ,composite_equal,0.2612890336481939,0.32809616114412493
single_new_typ,rrf_equal,0.5857308214981349,0.3849122812561484
single_new_typ,lightgbm_lambdarank,0.029127641193256407,0.053957403361212006
single_new_typ,mlp_listnet,0.0962193657025531,0.14411509613950313
single_new_geo,single_script,0.16830247550222485,0.5260717714969
single_new_geo,single_distals_asjp,0.08554351139275426,0.9048901120427691
single_new_geo,single_distals_wiki_size,0.749552262576191,0.6632048849210624
single_new_geo,composite_equal,0.7734134867430759,0.4433497091831283
single_new_geo,rrf_equal,0.24516438695469575,0.3282035260646638
single_new_geo,lightgbm_lambdarank,0.009754933133194185,0.01581370664878234
single_new_geo,mlp_listnet,0.03848948502637087,0.015472929676439921
single_script,single_distals_asjp,0.03489791302613858,0.5663524179789559
single_script,single_distals_wiki_size,0.019503301083640533,0.26612749109103906
single_script,composite_equal,0.110245180675543,0.8431688482618196
single_script,rrf_equal,0.5541614830522147,0.6546326911862221
single_script,lightgbm_lambdarank,0.004216195170611769,0.014418578621435132
single_script,mlp_listnet,0.025956826080779496,0.023510847002278172
single_distals_asjp,single_distals_wiki_size,0.3352427614107268,0.770360563451453
single_distals_asjp,composite_equal,0.07565996696047168,0.18488079753357553
single_distals_asjp,rrf_equal,0.008958872010491935,0.10947408721425385
single_distals_asjp,lightgbm_lambdarank,0.003168588196529156,0.009561342455605921
single_distals_asjp,mlp_listnet,0.010504531423493705,0.012278565519745547
single_distals_wiki_size,composite_equal,0.47940868657689917,0.2634342936091243
single_distals_wiki_size,rrf_equal,0.0841758678778332,0.15148957077370417
single_distals_wiki_size,lightgbm_lambdarank,0.00013124152369054087,0.005843827600287543
single_distals_wiki_size,mlp_listnet,0.004702503979129712,0.010919292378414958
composite_equal,rrf_equal,0.26667878973420206,0.3388006961962017
composite_equal,lightgbm_lambdarank,0.004352203351535569,0.022706584979837782
composite_equal,mlp_listnet,0.011711966847135913,0.02386119017809919
rrf_equal,lightgbm_lambdarank,0.01825265536833768,0.021934412892420617
rrf_equal,mlp_listnet,0.05508859620295215,0.02300546000423961
lightgbm_lambdarank,mlp_listnet,0.8451296076808525,0.9473753053294334
