method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,xquad_xlm-r::ara,ara,hrl,tur,mrl,ell,mrl,9.847684738895452,35.32510070645856,0.7212269875540658,0.2486379619936909,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,zho,tur,ell,deu,spa,hin,eng",10,0.9090909090909091,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,tur,ell,deu,spa,hin,eng"
random,xquad_xlm-r::deu,deu,hrl,tur,mrl,ell,mrl,11.439797446267796,37.86111966864121,0.6978484116056688,0.36357938051903277,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.86111966864121,0.0,"tha,rus,ron,vie,zho,tur,ell,ara,hin,eng,spa",10,0.9090909090909091,1.0,1.0,37.86111966864121,0.0,"tha,rus,ron,vie,tur,ell,ara,hin,eng,spa"
random,xquad_xlm-r::ell,ell,mrl,vie,mrl,spa,hrl,14.276595421724087,16.70873912751686,0.14556117533652715,0.6364206194809672,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,16.70873912751686,0.0,"tha,ron,rus,zho,tur,vie,ara,deu,hin,eng,spa",10,0.9090909090909091,1.0,1.0,16.70873912751686,0.0,"tha,ron,rus,zho,vie,ara,deu,hin,eng,spa"
random,xquad_xlm-r::eng,eng,hrl,ron,mrl,ell,mrl,15.21148480906322,37.21925105811074,0.5913006206032089,0.3944361439461618,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.21925105811074,0.0,"tha,rus,zho,vie,tur,ron,ell,ara,deu,hin,spa",10,0.9090909090909091,1.0,1.0,37.21925105811074,0.0,"tha,rus,zho,vie,ron,ell,ara,deu,hin,spa"
random,xquad_xlm-r::hin,hin,mrl,vie,mrl,ell,mrl,14.2362824185355,32.76183949527238,0.565461444233318,0.457355005234069,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.76183949527238,0.0,"rus,ron,tha,zho,tur,vie,ell,ara,deu,spa,eng",10,0.9090909090909091,1.0,1.0,32.76183949527238,0.0,"rus,ron,tha,zho,vie,ell,ara,deu,spa,eng"
random,xquad_xlm-r::ron,ron,mrl,hin,mrl,ell,mrl,16.22516138979482,36.86915193824919,0.5599258313028258,0.4894171030948472,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,36.86915193824919,0.0,"rus,tha,zho,vie,tur,hin,ell,ara,deu,eng,spa",10,0.9090909090909091,1.0,1.0,36.86915193824919,0.0,"rus,tha,zho,vie,hin,ell,ara,deu,eng,spa"
random,xquad_xlm-r::rus,rus,mrl,ell,mrl,ell,mrl,35.99140371320732,35.99140371320732,0.0,0.7247480921707672,1.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.99140371320732,0.0,"tha,ron,tur,vie,deu,ell,ara,eng,spa,hin,zho",10,0.9090909090909091,1.0,1.0,35.99140371320732,0.0,"tha,ron,tur,vie,ell,ara,eng,spa,hin,zho"
random,xquad_xlm-r::spa,spa,hrl,tur,mrl,ell,mrl,12.536939081635964,38.0146164367012,0.6702074029206255,0.6055638560538382,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,38.0146164367012,0.0,"ara,tha,ron,rus,zho,tur,vie,deu,ell,hin,eng",10,0.9090909090909091,1.0,1.0,38.0146164367012,0.0,"ara,tha,ron,rus,tur,vie,deu,ell,hin,eng"
random,xquad_xlm-r::tha,tha,mrl,deu,hrl,ell,mrl,13.29956165929968,35.56999353538498,0.6261016565530355,0.27949472542081993,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.56999353538498,0.0,"rus,ron,tur,vie,hin,deu,ell,ara,eng,spa,zho",10,0.9090909090909091,1.0,1.0,35.56999353538498,0.0,"rus,ron,tur,vie,deu,ell,ara,eng,spa,zho"
random,xquad_xlm-r::tur,tur,mrl,deu,hrl,ell,mrl,14.1478065984628,27.938567817405197,0.49361017032344134,0.6872378422847527,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,27.938567817405197,0.0,"rus,tha,ron,zho,vie,deu,ara,ell,hin,spa,eng",10,0.9090909090909091,1.0,1.0,27.938567817405197,0.0,"rus,tha,ron,zho,deu,ara,ell,hin,spa,eng"
random,xquad_xlm-r::vie,vie,mrl,deu,hrl,ell,mrl,16.0968155151741,36.26849116097559,0.5561763117266357,0.7326069130633018,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,36.26849116097559,0.0,"rus,tha,ron,zho,tur,deu,ara,ell,spa,hin,eng",10,0.9090909090909091,1.0,1.0,36.26849116097559,0.0,"rus,tha,ron,zho,deu,ara,ell,spa,hin,eng"
random,xquad_xlm-r::zho,zho,hrl,ell,mrl,ell,mrl,30.04052903212568,30.04052903212568,0.0,0.7126464536866454,1.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,30.04052903212568,0.0,"tha,ron,rus,vie,tur,ell,deu,ara,spa,hin,eng",10,0.9090909090909091,1.0,1.0,30.04052903212568,0.0,"tha,ron,rus,vie,ell,deu,ara,spa,hin,eng"
single_new_gen,xquad_xlm-r::ara,ara,hrl,eng,hrl,ell,mrl,12.823131450330346,35.32510070645856,0.636996605986013,0.5402343258986326,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,zho,tur,ell,deu,spa,hin,eng",10,0.9090909090909091,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,zho,tur,ell,spa,hin,eng"
single_new_gen,xquad_xlm-r::deu,deu,hrl,eng,hrl,ell,mrl,15.453520511856064,37.86111966864121,0.5918366744801905,0.9050190408513146,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.86111966864121,0.0,"tha,rus,ron,vie,zho,tur,ell,ara,hin,eng,spa",10,0.9090909090909091,1.0,1.0,37.86111966864121,0.0,"rus,ron,vie,zho,tur,ell,ara,hin,eng,spa"
single_new_gen,xquad_xlm-r::ell,ell,mrl,eng,hrl,spa,hrl,14.712010099581548,16.70873912751686,0.11950207688903293,0.8287932066456364,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,16.70873912751686,0.0,"tha,ron,rus,zho,tur,vie,ara,deu,hin,eng,spa",10,0.9090909090909091,1.0,1.0,16.70873912751686,0.0,"ron,rus,zho,tur,vie,ara,deu,hin,eng,spa"
single_new_gen,xquad_xlm-r::eng,eng,hrl,deu,hrl,ell,mrl,16.453672146198382,37.21925105811074,0.5579257594273157,0.9558362636551,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.21925105811074,0.0,"tha,rus,zho,vie,tur,ron,ell,ara,deu,hin,spa",10,0.9090909090909091,1.0,1.0,37.21925105811074,0.0,"rus,zho,vie,tur,ron,ell,ara,deu,hin,spa"
single_new_gen,xquad_xlm-r::hin,hin,mrl,eng,hrl,ell,mrl,14.00755580614347,32.76183949527238,0.5724429390430047,0.7447085515474237,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.76183949527238,0.0,"rus,ron,tha,zho,tur,vie,ell,ara,deu,spa,eng",10,0.9090909090909091,1.0,1.0,32.76183949527238,0.0,"rus,ron,zho,tur,vie,ell,ara,deu,spa,eng"
single_new_gen,xquad_xlm-r::ron,ron,mrl,spa,hrl,ell,mrl,20.43777241121328,36.86915193824919,0.44566741200221344,0.751362038006309,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,36.86915193824919,0.0,"rus,tha,zho,vie,tur,hin,ell,ara,deu,eng,spa",10,0.9090909090909091,1.0,1.0,36.86915193824919,0.0,"rus,zho,vie,tur,hin,ell,ara,deu,eng,spa"
single_new_gen,xquad_xlm-r::rus,rus,mrl,eng,hrl,ell,mrl,15.283045000763703,35.99140371320732,0.5753695765093075,0.8475483315886436,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.99140371320732,0.0,"tha,ron,tur,vie,deu,ell,ara,eng,spa,hin,zho",10,0.9090909090909091,1.0,1.0,35.99140371320732,0.0,"ron,tur,vie,deu,ell,ara,eng,spa,hin,zho"
single_new_gen,xquad_xlm-r::spa,spa,hrl,ron,mrl,ell,mrl,16.342054709767574,38.0146164367012,0.5701112824068865,0.61766549453796,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,38.0146164367012,0.0,"ara,tha,ron,rus,zho,tur,vie,deu,ell,hin,eng",10,0.9090909090909091,1.0,1.0,38.0146164367012,0.0,"ara,ron,rus,zho,tur,vie,deu,ell,hin,eng"
single_new_gen,xquad_xlm-r::tha,tha,mrl,eng,hrl,ell,mrl,14.214674461584988,35.56999353538498,0.6003745559457511,0.48276361663596173,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.56999353538498,0.0,"rus,ron,tur,vie,hin,deu,ell,ara,eng,spa,zho",10,0.9090909090909091,1.0,1.0,35.56999353538498,0.0,"rus,ron,tur,vie,hin,ell,ara,eng,spa,zho"
single_new_gen,xquad_xlm-r::tur,tur,mrl,eng,hrl,ell,mrl,15.542545290767372,27.938567817405197,0.4436885457999511,0.7247480921707672,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,27.938567817405197,0.0,"rus,tha,ron,zho,vie,deu,ara,ell,hin,spa,eng",10,0.9090909090909091,1.0,1.0,27.938567817405197,0.0,"rus,tha,ron,zho,vie,ara,ell,hin,spa,eng"
single_new_gen,xquad_xlm-r::vie,vie,mrl,eng,hrl,ell,mrl,16.117143744638813,36.26849116097559,0.5556158188907334,0.5910515487024182,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,36.26849116097559,0.0,"rus,tha,ron,zho,tur,deu,ara,ell,spa,hin,eng",10,0.9090909090909091,1.0,1.0,36.26849116097559,0.0,"rus,ron,zho,tur,deu,ara,ell,spa,hin,eng"
single_new_gen,xquad_xlm-r::zho,zho,hrl,eng,hrl,ell,mrl,13.40583412852321,30.04052903212568,0.5537417428905177,0.7247480921707672,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,30.04052903212568,0.0,"tha,ron,rus,vie,tur,ell,deu,ara,spa,hin,eng",10,0.9090909090909091,1.0,1.0,30.04052903212568,0.0,"tha,ron,rus,vie,tur,ell,ara,spa,hin,eng"
single_new_typ,xquad_xlm-r::ara,ara,hrl,ron,mrl,ell,mrl,12.640803385821632,35.32510070645856,0.6421580368344005,0.7459138859810728,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,zho,tur,ell,deu,spa,hin,eng",10,0.9090909090909091,1.0,1.0,35.32510070645856,0.0,"tha,ron,rus,vie,zho,tur,ell,deu,spa,hin"
single_new_typ,xquad_xlm-r::deu,deu,hrl,ron,mrl,ell,mrl,14.360960630934294,37.86111966864121,0.6206937154362901,0.6442794403735018,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.86111966864121,0.0,"tha,rus,ron,vie,zho,tur,ell,ara,hin,eng,spa",10,0.9090909090909091,1.0,1.0,37.86111966864121,0.0,"tha,rus,ron,vie,zho,tur,ell,ara,hin,spa"
single_new_typ,xquad_xlm-r::ell,ell,mrl,rus,mrl,spa,hrl,12.257626981406457,16.70873912751686,0.26639425704959807,0.6509329268323873,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,16.70873912751686,0.0,"tha,ron,rus,zho,tur,vie,ara,deu,hin,eng,spa",10,0.9090909090909091,1.0,1.0,16.70873912751686,0.0,"tha,ron,rus,zho,tur,vie,ara,deu,hin,spa"
single_new_typ,xquad_xlm-r::eng,eng,hrl,deu,hrl,ell,mrl,16.453672146198382,37.21925105811074,0.5579257594273157,0.8275878722119872,0.0,0.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,37.21925105811074,0.0,"tha,rus,zho,vie,tur,ron,ell,ara,deu,hin,spa",10,0.9090909090909091,1.0,1.0,37.21925105811074,0.0,"tha,rus,vie,tur,ron,ell,ara,deu,hin,spa"
single_new_typ,xquad_xlm-r::hin,hin,mrl,ron,mrl,ell,mrl,12.063434314229928,32.76183949527238,0.6317839748903381,0.6255243154304947,0.0,1.0,xquad_xlm-r,0.1,0.05,inf,11,11,1.0,1.0,1.0,32.76183949527238,0.0,"rus,ron,tha,zho,tur,vie,ell,ara,deu,spa,eng",10,0.9090909090909091,1.0,1.0,32.76183949527238,0.0,"rus,ron,tha,zho,tur,vie,ell,ara,deu,spa"
