task_lang,transfer_lang,bleu,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
gla,ara,53.75012861960521,24.762276,0.06137980082058503,0.251826156205362,0.578,0.48745303923349426,0.9875026267294426
tgk,nld,0.7583602360457748,20.878822,0.10361512573748688,0.25875508196789354,0.3776,0.4376039953706214,0.9472636639293748
urd,nld,0.5162703902970186,21.63758,0.09359688037409564,0.309543654061422,0.4681,0.435080385335952,0.8942373952123336
kat,nld,0.364903131983903,20.11025,0.12351417406799359,0.1628751843745394,0.2804,0.4941704352895044,0.9156965074267363
amh,nld,0.3168972528922416,22.684826,0.11260036831774745,0.2879504764111347,0.572,0.49647746278003696,0.9929697022660262
aze,nld,0.305955259038072,20.449997,0.09977634545462144,0.22176973866959093,0.658,0.5004236864252747,1.0
hau,nld,0.1515906915144189,21.034338,0.09274256188034569,0.2306683341359332,0.3776,0.5003198778158316,0.968293566590292
uig,nld,0.1136871860438676,22.127262,0.11093532468651357,0.37371184491033094,0.3776,0.4687495710463237,0.9956309835589529
tat,nld,0.0788038992776411,22.984924,0.10852496835669412,0.25109975993081923,0.3776,0.4878919905100397,0.7709873458282015
gla,slk,59.062676284169726,25.64534,0.0888975147038159,0.11238753946904058,0.2566,0.4698379374610142,0.9374281311357432
slk,slk,37.27481414291155,0.0004472136,0.0,4.29086500823652e-21,0.0,0.0,0.0
ces,slk,26.62864738455812,16.69736,0.13289808190092733,0.009283941004555448,0.0,0.15108166411810392,0.5569084767851542
tuk,slk,19.93331829914601,25.547392,0.12106196833062033,0.17953074714402,0.3776,0.5012708158917766,0.9727621893505011
jpn,nld,0.7977234792980563,18.094847,0.1147879659342359,0.45340843681949716,0.3455,0.5045118280320249,0.3296343025367513
ron,slk,15.426977534409446,24.253485,0.12885409805807058,0.034527250783157465,0.0,0.45795247242736414,0.5050401215746629
pol,slk,13.5817955105969,20.62354,0.1929186126833805,0.025940024668929935,0.0,0.25743949557663226,0.8467871161048689
ibo,slk,13.389718631577876,24.778664,0.12319585769226993,0.22597934213035017,0.0,0.4869241070342707,0.830205652510619
deu,slk,13.004607277577945,26.960472,0.14769680650054595,0.04752844821058137,0.0,0.4861150018488739,0.9162088600853727
zul,slk,12.10573974392834,27.944185,0.12135150417944984,0.4356851819158291,0.0,0.4958856882888445,0.9541408199504056
ukr,slk,10.92498836089031,21.180004,0.13581159802223308,0.054057411519562545,0.3498,0.2972874550348588,0.8161841939716376
est,slk,9.36233328663648,26.926687,0.12191018205982873,0.06324839837453215,0.658,0.48280863557855996,0.00350055148352979
mlt,slk,8.971807246723246,25.698565,0.1357092538721133,0.11921038998969223,0.0,0.4876086739282459,0.9702942027738448
fry,slk,8.678052774463183,26.937002,0.13292481397479838,0.049503067015867236,0.0,0.4536759104879879,0.7732424884814255
bel,slk,8.563896272283564,21.11467,0.14447416362891174,0.0585819154468163,0.3776,0.27882972032703907,0.6493503445794253
slv,slk,8.347096209785995,19.407135,0.14567984474679652,0.025862799918174372,0.0,0.2447923319499126,0.23714965150934397
rus,slk,13.838372628530692,19.81226,0.15505388656141206,0.1928431904552735,0.3498,0.2693377068989081,0.8760919988097419
afr,slk,8.305539811155262,26.656569,0.26166197725354234,0.43295175087841026,0.3776,0.45853318473714777,0.5057455979098383
sin,nld,0.843358321535951,21.348478,0.11410978948341577,0.41997317687040575,0.554,0.45072422787011185,0.9889374992603759
fas,nld,1.1036806461777464,18.45418,0.08553467740939558,0.22230289264020106,0.658,0.47569965521585195,1.0
ell,nld,2.749064296071024,19.153864,0.09629987685822616,0.1163868053165202,0.2736,0.47433080843208314,0.8824634898787562
kur,nld,2.644542145813397,18.139135,0.10515635110553723,0.1531617047038694,0.3776,0.4697411096811066,1.0
mkd,nld,2.6426342035094987,20.468565,0.08405597420812083,0.11602788509464033,0.3498,0.40688061343020293,0.9294589774890285
fin,nld,2.6305618107928006,22.469017,0.08722687631609327,0.09699556839886866,0.0,0.4944723802476373,0.7254069297998873
xho,nld,2.616306341847856,22.896696,0.1061457035798008,0.46062356106316105,0.0,0.47355585952506046,0.9989563335035606
tur,nld,2.604741681292166,21.438683,0.09569113666285345,0.13582781015170026,0.0,0.49560538238646673,0.7056874134639806
bul,nld,2.5747501981066128,20.213018,0.08083129099713571,0.0962123210473044,0.0,0.4629800146489431,0.8608450740124767
kan,nld,2.5458747495755683,21.94556,0.13388437953337817,0.35522379581624386,0.554,0.49126841176391955,0.9845448148481927
ukr,nld,2.473714730952989,21.246597,0.07408906190873543,0.10292524521442388,0.3498,0.4706534381805821,0.36691590860886036
eus,nld,2.393498510791286,20.30392,0.11710619596004102,0.07295327974663861,0.0,0.5044377365477772,0.7851917697361295
mal,nld,0.8697915465415212,22.24874,0.1401454991731408,0.35239681108811377,0.615,0.4920330582491566,0.9602901511199957
ara,nld,2.360961592253965,23.573877,0.10108784012985883,0.1961481560491299,0.5335,0.4941793289763882,0.4173541757128383
bos,nld,2.252586630288277,25.545197,0.08989207741057359,0.07550597180099873,0.0,0.4355812887767182,0.9564004110944525
heb,nld,1.8635923999906137,23.526102,0.08901095867588549,0.17222359048975436,0.5829,0.49089376714731164,0.8258460616951183
tel,nld,1.717846436066626,20.499813,0.13025499489446757,0.35393935207408617,0.5096,0.5014890313768935,0.9473191926308862
tha,nld,1.5939673061189152,23.653048,0.10567695092984597,0.45764482652277677,0.6327,0.4412508010875964,0.9198038107254142
kor,nld,1.569685005347204,20.62026,0.12636287993982231,0.4241516109037895,0.2566,0.49125093767076156,0.6717247851904042
hin,nld,1.5613769756826126,20.88874,0.1183123046272524,0.35371223967077836,0.4287,0.46778598552411343,0.9241842059987383
isl,nld,1.368592192327752,22.13765,0.06305291758563814,0.10152439450868335,0.1864,0.385127435168046,0.9724450197582044
ben,nld,1.330493594289074,19.797161,0.09857083989865545,0.3731484752391319,0.6185,0.47632605860086064,0.9199872375017182
hye,nld,1.3180445427059289,18.4404,0.0935813999165317,0.18075794895756278,0.195,0.4929538003702155,0.8532540274238961
mar,nld,2.2914276680554844,21.424208,0.12026919971040873,0.3551811016126961,0.6019,0.4277306999693611,0.9542821276777806
kin,nld,2.7722951654192003,23.08512,0.1072489824783378,0.32434727594485446,0.0,0.4883197447475162,0.9962386132025405
bos,slk,8.18854018805586,24.786135,0.13115478980937234,0.038183470674082245,0.0,0.1887923773960156,0.6253392992639064
cym,slk,8.026594215914837,24.900137,0.12211738643815351,0.10018575916175154,0.2566,0.48656809986593963,0.0948086938357886
spa,slk,4.043706481154653,23.124994,0.12814828791123012,0.4431799233431002,0.0,0.4690001145132151,0.8759565585481996
ell,slk,3.924326733524228,23.857197,0.1569332242064958,0.08130360910637402,0.2736,0.4823709496021787,0.009917323368249797
khm,slk,3.80532841969209,27.317053,0.10782171905646742,0.42986533476384636,0.6502,0.49921818561905945,0.9542464231795177
swe,slk,3.593350058027731,25.524527,0.15641975681808584,0.07765345349299264,0.1864,0.4701145560302826,0.9022723884733143
mon,slk,3.4537545769061846,24.233381,0.11080299566148466,0.2989539849623722,0.5253,0.4902725596142046,1.0
asm,slk,3.432559510116116,25.583443,0.09522844595550284,0.3044382558263497,0.6185,0.47230734744452535,0.9235080610464889
yor,slk,3.317215775337187,25.3576,0.07927292656013707,0.22578733827098055,0.3776,0.512302826584964,0.8600561652729648
arg,slk,3.134724315648198,25.892298,0.0928586422849702,0.08212563459090234,0.0,0.45747766211103935,0.8043602399931162
glg,slk,2.9941145684845014,29.147667,0.1662941557185904,0.1013473957680224,0.0,0.45124012765008603,0.11344133545061286
tam,slk,2.874074491585544,26.116798,0.14995230780856772,0.309404045176667,0.6022,0.5053052434046108,0.308858155307149
fin,slk,2.808596030783546,26.5774,0.12833890551670568,0.08809217545527472,0.0,0.48281736499081596,0.5762061203584299
nld,slk,4.072165000253492,24.488085,0.15632790305088473,0.05505759801396527,0.0,0.4627023569242712,0.8836291374572042
tur,slk,2.714651370318508,25.667595,0.15109584937552722,0.0845625615772103,0.0,0.4847300811521447,0.604601135437496
xho,slk,2.6223009116375544,26.833876,0.13007108817062796,0.4357892676361258,0.0,0.48826576507853525,0.9910315479868895
kur,slk,2.421453373733533,21.580608,0.11823326497770437,0.10207370261968132,0.3776,0.459017659864451,1.0
eus,slk,2.3146782401493864,25.024809,0.1553137725560868,0.09484809616991044,0.0,0.501435911803633,0.45825696529483184
pan,slk,2.288855625258594,24.356422,0.1818685796208015,0.2990292631632841,0.5722,0.4576713863775052,0.7690926727003919
ben,slk,2.2176106525589474,23.700579,0.13479635918189792,0.32404920984768965,0.6185,0.4748761980988133,0.312433020174128
kin,slk,2.1890243310789352,27.023958,0.08961892915660785,0.29016850943349315,0.0,0.51040255832131,0.9676775894302901
kan,slk,2.122500385753015,25.691584,0.14389592196393375,0.3040645828170686,0.554,0.4892046037310065,0.8671902500840915
mya,slk,1.946952694575384,26.472708,0.1561791881500969,0.3724923923576577,0.6185,0.492750940349732,0.5713564930340982
tel,slk,1.81406185381408,24.246819,0.15888439109212849,0.30327561418150945,0.5096,0.49121810524674747,0.5473024241807927
hye,slk,1.7146196595865275,22.973896,0.15425441489268998,0.14003263458587736,0.195,0.47788034300766313,0.20699109829099593
sme,slk,2.706031194896504,26.610718,0.09003404176417562,0.07493752425737424,0.0,0.4825188896812485,0.9690895437158257
hrv,slk,8.095496166508891,24.768272,0.1316216605353726,0.03036082782400379,0.0,0.2162873378477339,0.95504431424392
ori,slk,4.08420113873141,24.508644,0.12710794639779366,0.30446344335585745,0.658,0.448113880493149,0.9226319453679295
dan,slk,4.272276059260009,24.891726,0.13724648045023502,0.04841611079928421,0.1864,0.4852018530264603,0.17694967196966283
kaz,slk,8.025108959691565,27.199753,0.016699529492947396,0.1958303644053408,0.3776,0.511027792648507,0.06081572627643017
lim,slk,7.619479670448743,25.233044,0.0,0.05190816176082979,0.0,0.46724038722807687,0.9408504580051159
bul,slk,7.568385627979694,18.950493,0.1222292040399997,0.046525636081646296,0.0,0.26049226458231645,0.1637316342417542
dzo,slk,6.850349876015164,28.35571,0.09822831382130259,0.32518296559971976,0.6996,0.5095252891650137,0.9987288500199473
kir,slk,6.586488546212348,28.207052,0.128943844623147,0.22074465294314874,0.3776,0.490265331146302,0.7026721528196063
lav,slk,6.355702278770073,20.682882,0.1344077637896941,0.05291631384881002,0.0,0.42790858146381844,0.46230746966840586
oci,slk,6.212895833468936,23.641304,0.13153430790042797,0.054360297261437575,0.0,0.44935555797735144,0.6473282383034646
fra,slk,6.135029216798075,24.936111,0.15925598777688643,0.1374414275921836,0.0,0.47176652114432144,0.9056395077402295
ita,slk,5.9224532939663055,24.682335,0.14776748347359336,0.0614840078349993,0.0,0.46865514441008177,0.8678816384342821
cat,slk,4.212719914146475,23.431812,0.1594967082122961,0.10772844100436366,0.0,0.4606757531889269,0.6726564130402775
mkd,slk,5.491970059377227,19.038717,0.1395250030034777,0.0790505739877483,0.3498,0.1770264121451199,0.39382573120458086
gle,slk,5.360649220028318,24.924772,0.1663302575349519,0.09879839075735472,0.1864,0.475800527306554,0.7561621439802249
bre,slk,5.17903614374748,26.15951,0.16450725166097357,0.08313718751286939,0.2566,0.48444054145965265,0.6508092336334551
guj,slk,5.052333173193646,23.663307,0.12959683673414846,0.2990608779182972,0.6185,0.48740416430334427,0.8800581991129328
vie,slk,4.848580930562584,26.759108,0.12877779293846103,0.4196935512415339,0.3455,0.4880439540192535,0.8027734858027982
ind,slk,4.831886915245964,28.069756,0.1006676494163592,0.5426308613459934,0.3776,0.49247703831629747,0.6559947364667861
msa,slk,4.772134347407524,29.951746,0.10096252332005806,0.5030344716062944,0.658,0.4920382463750347,0.40871226312551745
wln,slk,4.7628493002627525,25.59273,0.0,0.05048578202323505,0.0,0.4345063253922706,0.9502061218583039
por,slk,4.545570605220577,24.56061,0.15901203047390378,0.4520078966389975,0.0,0.4692206206638765,0.7787401009227745
heb,slk,4.48418153608605,27.282297,0.13927126142943924,0.12996763369472167,0.5829,0.49138657189243123,0.3317931039890023
