,task_lang,transfer_lang,accuracy,f1_score,new_gen,new_typ,new_geo,script
0,scot1245,achi1257,0.25,0.0571428571428571,23.394573,0.08376348422083335,0.6113525961371657,0.4477
1,nucl1301,achi1257,0.25,0.0571428571428571,21.925661,0.12050851938029616,0.47885240993250433,0.3776
3,tata1255,achi1257,0.25,0.0580535002845759,23.484055,0.11194400676299021,0.37373436044794484,0.0
4,telu1262,achi1257,0.25,0.0571428571428571,20.457226,0.13584087968642367,0.24761601210159837,0.4867
5,stan1306,achi1257,0.25,0.0578231292517006,21.243746,0.04101472589637167,0.041334341927678944,0.5765
6,guja1252,achi1257,0.25,0.0571428571428571,21.923286,0.10243779398211217,0.253884007779394,0.5893
7,kore1280,achi1257,0.25,0.0575945793337097,21.562477,0.11910286440157558,0.23545331689772897,0.4477
8,nucl1643,achi1257,0.25,0.0571428571428571,18.800127,0.11858165138925514,0.2489096886500732,0.4973
9,fiji1243,achi1257,0.25,0.0573678290213723,19.93942,0.09260435203994011,0.279087186173429,0.3776
10,cent2142,achi1257,0.25,0.0578231292517006,24.728283,0.11858268784333503,0.895973939382245,0.3776
11,kamb1297,achi1257,0.25,0.0575945793337097,24.289272,0.10770808021110856,0.44094292396596496,0.3776
12,urdu1245,achi1257,0.25,0.0571428571428571,24.13785,0.0980444249488498,0.29180399450323086,0.2952
13,sout3123,achi1257,0.25,0.0571428571428571,24.124954,0.10341516245092974,0.4615876578382316,0.2851
15,hait1244,achi1257,0.2549019607843137,0.0698588333443105,24.923056,0.17970500550494084,0.8762455246031543,0.3776
16,limb1263,achi1257,0.25,0.0571428571428571,22.477962,0.12712952355708695,0.5862972668053668,0.3776
17,yuec1235,achi1257,0.25,0.0573678290213723,21.459734,0.10985206946560655,0.21684279573942092,0.4973
18,ewee1241,achi1257,0.2401960784313725,0.0557768924302788,22.463955,0.09140240523914955,0.6571154553280081,0.3776
19,plat1254,achi1257,0.2549019607843137,0.0665844188831234,21.976109,0.08843443562053588,0.3944410794802349,0.5765
20,chha1249,achi1257,0.25,0.0571428571428571,21.91119,0.12712952355708695,0.22898989966969996,0.571
21,pedi1238,achi1257,0.2450980392156862,0.0805698065972038,23.074333,0.08281262717242355,0.5052236734002968,0.3776
22,stan1295,achi1257,0.25,0.0573678290213723,24.212803,0.10846793641344399,0.5699560163779597,0.3776
23,tosk1239,achi1257,0.25,0.0571428571428571,22.646572,0.11396663886383396,0.5411748306726749,0.3776
24,afri1274,achi1257,0.25,0.0573678290213723,23.768133,0.22442291105902779,0.5050534980985835,0.0
25,lith1251,achi1257,0.25,0.0573678290213723,22.244015,0.1346559168352497,0.5244088278665909,0.3776
26,cebu1242,achi1257,0.25,0.0573678290213723,19.764303,0.062040067996475434,0.08376479850738379,0.3776
27,stan1288,achi1257,0.25,0.0573678290213723,20.869202,0.10487330236789616,0.7899698734344833,0.3776
28,tokp1240,achi1257,0.2598039215686274,0.075614861329147,26.82044,0.22973035917030238,0.1710139661107127,0.3776
29,najd1235,achi1257,0.25,0.0571428571428571,22.557457,0.12333743492221427,0.4255883586230936,0.2851
30,vene1258,achi1257,0.25,0.0573678290213723,22.16519,0.12712952355708695,0.7439054566452237,0.3776
31,nucl1235,achi1257,0.25,0.0571428571428571,20.01388,0.11971850236759474,0.44146834265158935,0.4196
32,kabi1261,achi1257,0.25,0.0571428571428571,23.553736,0.08225580154229917,0.6471533362260062,0.3776
33,soma1255,achi1257,0.25,0.0571428571428571,23.41878,0.12250749195839328,0.4205474214235268,0.3776
34,banj1239,achi1257,0.2549019607843137,0.0688121402407116,18.584372,0.12712952355708695,8.182389233484262e-05,0.0
35,panj1256,achi1257,0.25,0.0571428571428571,22.430347,0.11637479739372103,0.2580733176811747,0.4065
36,dari1249,achi1257,0.25,0.0571428571428571,23.997536,0.12702471240399027,0.3329220468783031,0.2851
37,gand1255,achi1257,0.2549019607843137,0.0681765899157203,23.775427,0.09195674370797446,0.47268344797744205,0.0
38,sile1253,achi1257,0.25,0.0573678290213723,27.016241,0.12712952355708695,0.5458982797032744,0.3776
