task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
afr,zsm,0.833748093733597,27.825003,0.2183108241123144,0.4876278946942939,0.5765,0.5110798650168739,1.0
deu,grn,0.8708556260658782,26.451456,0.1142506880064653,0.5295254969143018,0.658,0.5005545631560894,0.9980487165411748
ast,grn,0.7849424808509413,24.624743,0.1223389451702184,0.4540355417062732,0.658,0.4897103743309011,0.9567189567189568
quy,pap,0.5705150425026579,27.725258,0.2156395424247644,0.2560624703112919,0.0,0.4727901419750941,1.0
fij,grn,0.4875436729415955,24.443348,0.0744828148451829,0.6682703083219111,0.658,0.4965461564669836,0.7336244541484715
bam,pap,0.3803784098430359,27.756874,0.1676694601665468,0.3084692073163856,0.405,0.5133499537576917,0.8171253822629969
run,grn,0.6600797183239473,28.90311,0.0833062037902496,0.4860865090883129,0.658,0.5115439662079615,0.8819281155525697
luo,pap,0.4201044293736214,31.201637,0.1893860797128257,0.5161617880834282,0.0,0.5146593897177475,1.0
dan,grn,0.8238541110830268,24.595293,0.1075729227720557,0.5459269450934473,0.641,0.5040248090437527,0.9808332421243748
lmo,grn,0.7071349333979996,24.450071,0.0899820496112963,0.515856090480334,0.658,0.4743333391113019,0.9244483358077328
mlt,grn,0.7562249255196389,23.469097,0.0812264241499121,0.516351427490212,0.658,0.5025462614996415,0.2160631994733377
kac,pap,0.428821026766352,27.332893,0.1887194286656847,0.6851430155077725,0.0,0.4700765083034161,1.0
jav,grn,0.7492512951529343,22.365595,0.0791514895307762,0.854616094659417,0.658,0.4928427565662343,0.5726078529897352
eng,grn,0.846510665555893,22.289879,0.2074248521215733,0.581109785094395,0.641,0.5003109410397636,0.999156323099063
cym,pap,0.7080945574876185,25.717432,0.1526405465390273,0.2656787923660719,0.2566,0.4528523660083173,0.9826342789773874
sun,grn,0.8052603718313226,22.357857,0.0714465786863473,0.8137773158241435,0.5765,0.4992267660087663,0.9041347330456624
bem,grn,0.5014372105164944,24.48815,0.0966540860957454,0.4533364854913465,0.658,0.5060536061023149,1.0
dyu,grn,0.4366441400254304,25.58521,0.0969360552437343,0.3466869460489058,0.561,0.5073017694817247,1.0
fon,grn,0.4810724547538156,25.140303,0.1000610793087458,0.3790991989591101,0.658,0.5060013129770786,0.4753107154853879
glg,grn,0.8612044344556182,28.97457,0.1092152760909428,0.4542398647642294,0.658,0.4949254659010349,0.9737327392244232
kea,pap,0.7247706204698419,19.624859,0.0810014140365703,0.2000165720533143,0.0,0.2375253876485954,1.0
crh,grn,0.7265894236482472,26.802803,0.0862607972004184,0.638447234073112,0.658,0.5103147964716834,0.7988105697100764
fin,grn,0.817012634342845,24.539787,0.0933092309902747,0.6043392588710472,0.658,0.4925209551088184,0.9901309137441198
fra,grn,0.866512487092777,24.741508,0.1042602564981354,0.4690765392889656,0.658,0.5038606234468933,0.9978025830905188
pap,grn,0.7640174056177644,28.97005,0.1943867201775976,0.2978275942018012,0.658,0.4920986718724177,0.1761840779308028
kbp,grn,0.4245413980194887,25.433252,0.0919689514990894,0.3698814821623279,0.658,0.5063489776130508,0.7122942559623782
lvs,pap,0.8681969558586318,30.236956,0.1798288087180467,0.3430429241296352,0.0,0.5021379658519416,0.96432052606311
luo,grn,0.4291063190938632,27.831905,0.0726879632504944,0.5336480281652592,0.658,0.4878509295672666,1.0
min,grn,0.2334700850231817,24.612768,0.0610531956047925,0.8232146332819691,0.5765,0.5117951446367118,0.9739443615405824
nso,pap,0.62359674224081,27.835243,0.1853308041645505,0.5282816082583719,0.0,0.524181699630516,0.4391080617495712
kmr,pap,0.6796730823064613,24.60734,0.2093302552155838,0.4182073560150239,0.0,0.4402124741669123,1.0
tso,grn,0.4589003010677088,25.463858,0.0752335498281169,0.4338961084144007,0.658,0.507073664917435,0.8407793080282163
ban,glg,0.7734000874914723,27.468012,0.1000375419438837,0.651774674174221,0.405,0.4992115086611604,0.8553447743415538
fao,glg,0.7471727742414979,30.58585,0.0651301322376579,0.1160121263554524,0.1864,0.4369810227691671,0.9374862134380376
nso,glg,0.6443253968720251,27.831663,0.1263352664744704,0.4110052017869616,0.0,0.5133622284374617,0.9614196850046324
war,glg,0.7907110813624517,29.347565,0.0830774389157619,0.6111558790117335,0.0,0.4954207653922372,0.821064032346937
fur,glg,0.7320141601919887,20.997751,0.1008608063469312,0.0752742439343744,0.0,0.3268769894005012,0.978537080337054
kam,pap,0.4492934233902459,29.100824,0.2091892005231981,0.5223156200207507,0.0,0.5197199507896868,1.0
lim,glg,0.7342200183348085,26.20289,0.1662941557185904,0.0705715472153107,0.0,0.4540890345227096,0.9332818635020074
lmo,glg,0.7088334499984983,20.893995,0.0395920392789218,0.0665710900675243,0.0,0.2816126889979737,0.6523271716592403
kin,pap,0.7393458877608768,28.195013,0.1880804536090267,0.4864045002449303,0.0,0.4895887677868107,0.4064617618586641
umb,pap,0.4468019900633613,28.781574,0.2008029111260908,0.448001376122457,0.0,0.4781340457180713,1.0
hun,glg,0.8426197512035056,26.820433,0.092815319162209,0.1081174519872529,0.0,0.4887130717869405,0.5957922592978302
ita,glg,0.8651553244576503,21.008865,0.0376145611388022,0.0882873854740069,0.0,0.1991514760199199,0.882869321807844
luo,glg,0.4073758691766553,31.192394,0.0866913764350117,0.3040120661501853,0.0,0.4901265668135771,1.0
ron,glg,0.887868850966243,21.568382,0.0693788863169079,0.1265143237194866,0.0,0.3237898295206151,0.5611890311777061
nld,pap,0.8772032466411235,25.497776,0.1753192571627192,0.2764072306576596,0.0,0.4411973953117408,0.9977674731072678
fij,glg,0.5126637172976211,27.08716,0.0961179098255037,0.861525418333788,0.0,0.4928842616999609,0.9930030440728812
sot,glg,0.670755691441126,30.09691,0.0969582609941172,0.4121943623734278,0.0,0.4999518795834717,0.993417743856708
ind,glg,0.8980912587528765,28.8927,0.091167379485989,0.6371311657859792,0.3776,0.4794813386988596,0.6950191529640339
ceb,glg,0.829040716510863,27.013094,0.0945616884801821,0.602387940489361,0.0,0.4995915893941317,0.9629386433192272
lij,pap,0.7256205568235643,20.562098,0.2256105884220971,0.3161248810146359,0.0,0.3574405510751876,0.5711287925155197
mri,grn,0.7014089613204327,25.789621,0.101260809980247,0.5651573805914343,0.658,0.5052754597651352,0.25565695711964
lin,grn,0.5604242612913831,28.9269,0.1734660304901619,0.4536038010601461,0.658,0.5191440104461362,0.1921397379912663
tur,grn,0.8207931041843403,24.069084,0.1061752349760941,0.5939547561189177,0.658,0.4883547596385552,0.9907921617387566
oci,grn,0.7936083651872072,23.555334,0.0930349992152898,0.5033396529683056,0.658,0.4913142368561702,0.9339684370459914
fon,pap,0.4338017205923372,28.531084,0.1857914016034936,0.3465155679905448,0.0,0.4963791372463665,0.3630988786952089
bam,grn,0.4187246615818044,24.78649,0.0872834828512948,0.3754802016223859,0.561,0.5019024037167317,0.8493449781659389
ewe,grn,0.4735026114061696,24.049587,0.1045417416477575,0.3600159847962073,0.658,0.4996448425982737,0.7929123278468256
scn,pap,0.7311488601829973,21.462086,0.1579195145830447,0.3326057522107138,0.0,0.3484788358541542,0.8130431468211617
ace,grn,0.2636698470528041,24.480198,0.0661344160970666,0.8546448027002438,0.5765,0.5091181603288608,0.5417532517509428
zsm,pap,0.8449456194739213,30.753572,0.1716155035631323,0.8061499271353058,0.658,0.462438238304061,1.0
scn,glg,0.7253560819911071,20.790668,0.0448914514578338,0.078110976341602,0.0,0.2880568849451926,0.8842546433140689
min,pap,0.2937677055708491,26.847626,0.16745918279996,0.8026092334481454,0.3776,0.4726930494199144,0.9785349501774532
plt,pap,0.7954313455269678,27.06424,0.1858435452697363,0.5979391826239103,0.658,0.4640628923786175,1.0
lua,grn,0.5206277630623546,26.13256,0.0821909655116985,0.4427510597982156,0.658,0.5024539048126059,1.0
tuk,pap,0.6194347574524907,26.592691,0.2120441017368211,0.5030925892732337,0.3776,0.5044272971462124,0.2956634118322803
kmb,pap,0.4445760651981625,28.128588,0.2256105884220971,0.4412101465085099,0.0,0.5139995302218235,1.0
lug,grn,0.5040624947448334,25.54892,0.0824392189670264,0.5087111740462466,0.5765,0.4945045700356756,0.3407793080282163
afr,grn,0.8418093426158133,26.035908,0.2395665220037162,0.4104333393302943,0.5765,0.4949140480706261,0.9528836414282096
gaz,grn,0.423446745239058,25.918154,0.118658086096965,0.5473931712746295,0.0,0.4964401357486468,1.0
crh,pap,0.7906900009756939,29.464045,0.2011761974762986,0.4228179475330756,0.0,0.5204873633344278,0.8342569439751301
dik,grn,0.497629647769633,23.563427,0.0782337799413894,0.5035954746539216,0.6244,0.5057410206418985,1.0
mlt,pap,0.7548010607405018,26.837885,0.1702274966171855,0.3616220635478199,0.0,0.475995426437,0.3541803818301514
pol,grn,0.8456462560649368,26.04457,0.1262956050380185,0.5614767026761375,0.658,0.5019284059947374,0.9964320599250936
sag,grn,0.5356322770787348,28.98712,0.1963594300507984,0.4598566179871587,0.658,0.498463788005675,0.9398723547195162
kon,grn,0.5632479103373463,26.29568,0.0801774859359797,0.4446314073210926,0.0,0.5117179320546414,1.0
bug,grn,0.6253751505182837,24.002466,0.0694333256370295,0.8547060858356021,0.658,0.5188596842214818,0.6267552657973922
kab,pap,0.3283404950828483,27.567982,0.2084910402366711,0.2996971894691926,0.405,0.4977293236484665,0.2980824270177447
bos,pap,0.7945076768491516,30.248394,0.1715758384820671,0.3408113802957869,0.0,0.4523129610481551,0.948794771951436
kmb,grn,0.4906254672322869,25.265419,0.1223389451702184,0.3974063498228602,0.658,0.5020989572850918,1.0
spa,grn,0.8517804847784944,23.036457,0.0662022287789514,0.2759379596134988,0.658,0.4965112573240557,0.997111342371911
azj,grn,0.8044779606681117,23.076231,0.1038173232608674,0.6634546659085095,0.0,0.4896719298062771,1.0
srd,grn,0.6911396180121903,25.36706,0.1223389451702184,0.4987945835337926,0.0,0.480099056560623,1.0
tsn,grn,0.5887085413215384,24.759228,0.072012368732214,0.4105836750944581,0.658,0.4967610235284091,0.5959019146792073
fur,pap,0.724192299675431,21.531069,0.1760815729365527,0.314268864102338,0.0,0.3586860628489975,0.0081549439347604
tum,grn,0.6113105168368663,23.743921,0.1223389451702184,0.4783498130412246,0.658,0.519962028888779,0.6833820792342462
est,grn,0.8535556777356215,24.880554,0.0834175519056905,0.5962856123867852,0.0,0.5053399679687517,0.9766307270222429
sna,pap,0.6409900543440916,26.913425,0.2151822654624575,0.5248816634519718,0.0,0.5183722899680058,1.0
pag,grn,0.7043735197340671,28.679777,0.0755546612311219,0.9324128642273328,0.658,0.5021928221208023,0.5604635539133356
tgl,grn,0.7964773845673274,24.77188,0.0889700730514654,0.8826060088912957,0.561,0.4976921214192349,0.8781116934163118
war,pap,0.7891432248223482,29.324764,0.1821890181377782,0.7604284660250439,0.0,0.5006368658359454,0.9961279352303424
lij,grn,0.7196714845615578,24.389917,0.1223389451702184,0.515848973764286,0.658,0.4958799003853862,0.4794089359097665
grn,grn,0.7565698121530623,0.0055242646,0.0,7.0839977967625e-18,0.0,0.0,0.0
ilo,grn,0.7034305961602756,26.802336,0.0942521804649696,0.9269441179981064,0.658,0.4914620975962518,0.6140782991962666
lvs,grn,0.8599010949294807,29.168642,0.100593738178804,0.5899797778450825,0.658,0.4975017311249343,0.9566899922894512
slk,grn,0.8423848650963768,28.085228,0.1223389451702184,0.5523474840019913,0.658,0.4994362654780845,0.976712532365434
hat,grn,0.7372468504466739,27.092823,0.1909355436768567,0.2638239588307272,0.658,0.5050066215621353,0.916203397463865
nso,grn,0.6324209594381427,24.769503,0.0786788901953354,0.4098725487068382,0.658,0.5075989314377872,0.3191538021726701
cjk,grn,0.4884655361902864,26.807056,0.1223389451702184,0.4310126546537487,0.658,0.5120055681386637,1.0
nya,grn,0.6910877104754656,24.881132,0.0725364636497791,0.4772983852657493,0.658,0.5318616596154047,0.8174336580450118
kam,grn,0.4728674183220538,26.115835,0.0931300877279315,0.5307122940910766,0.658,0.5138357072059421,1.0
