task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
afr,zsm,0.8448364692417696,27.825003,0.2183108241123144,0.48762789469429396,0.5765,0.5110798650168739,1.0
deu,grn,0.7415017115918454,26.451456,0.11425068800646532,0.5295254969143018,0.658,0.5005545631560894,0.9980487165411748
ast,grn,0.7725192890566672,24.624743,0.12233894517021848,0.45403554170627325,0.658,0.48971037433090114,0.9567189567189567
quy,pap,0.4031265619812809,27.725258,0.21563954242476446,0.2560624703112919,0.0,0.47279014197509417,1.0
fij,grn,0.3182176088826334,24.443348,0.07448281484518293,0.6682703083219111,0.658,0.4965461564669836,0.7336244541484715
bam,pap,0.2802737779452537,27.756874,0.16766946016654682,0.3084692073163856,0.405,0.5133499537576917,0.8171253822629969
run,grn,0.3624927311336615,28.90311,0.08330620379024967,0.48608650908831297,0.658,0.5115439662079615,0.8819281155525697
luo,pap,0.3420621035447788,31.201637,0.18938607971282573,0.5161617880834282,0.0,0.5146593897177475,1.0
dan,grn,0.7269711158970459,24.595293,0.10757292277205577,0.5459269450934473,0.641,0.5040248090437527,0.9808332421243747
lmo,grn,0.5849763662182832,24.450071,0.0899820496112963,0.515856090480334,0.658,0.47433333911130193,0.9244483358077328
mlt,grn,0.4645013496408694,23.469097,0.0812264241499121,0.516351427490212,0.658,0.5025462614996415,0.21606319947333774
kac,pap,0.3901534268352954,27.332893,0.1887194286656847,0.6851430155077725,0.0,0.4700765083034161,1.0
jav,grn,0.6748995332601709,22.365595,0.07915148953077622,0.854616094659417,0.658,0.4928427565662343,0.5726078529897352
eng,grn,0.7227695896801982,22.289879,0.20742485212157336,0.581109785094395,0.641,0.5003109410397636,0.999156323099063
cym,pap,0.7508352016266648,25.717432,0.15264054653902737,0.2656787923660719,0.2566,0.4528523660083173,0.9826342789773874
sun,grn,0.6764380859513416,22.357857,0.0714465786863473,0.8137773158241435,0.5765,0.49922676600876636,0.9041347330456624
bem,grn,0.4272660449526098,24.48815,0.09665408609574544,0.4533364854913465,0.658,0.5060536061023149,1.0
dyu,grn,0.3826086158989622,25.58521,0.09693605524373439,0.3466869460489058,0.561,0.5073017694817247,1.0
fon,grn,0.3231223030580976,25.140303,0.10006107930874586,0.37909919895911015,0.658,0.5060013129770786,0.47531071548538795
glg,grn,0.7047939461835246,28.97457,0.10921527609094284,0.45423986476422945,0.658,0.4949254659010349,0.9737327392244232
kea,pap,0.6907971307429425,19.624859,0.08100141403657035,0.20001657205331438,0.0,0.2375253876485954,1.0
crh,grn,0.6207620306999189,26.802803,0.08626079720041846,0.638447234073112,0.658,0.5103147964716834,0.7988105697100764
fin,grn,0.6491388585223747,24.539787,0.09330923099027477,0.6043392588710472,0.658,0.4925209551088184,0.9901309137441198
fra,grn,0.6912268743914314,24.741508,0.10426025649813542,0.46907653928896564,0.658,0.5038606234468933,0.9978025830905188
pap,grn,0.6734471845815707,28.97005,0.19438672017759762,0.29782759420180127,0.658,0.4920986718724177,0.17618407793080282
kbp,grn,0.2144139956474888,25.433252,0.09196895149908946,0.3698814821623279,0.658,0.5063489776130508,0.7122942559623782
