task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
mxt,arz,0.0564814814814814,25.994595,0.15592158354701835,0.6335475604538835,0.5335,0.5043822507644548,1.0
agd,rus,0.0623292349726775,25.510498,0.12558965953858536,0.47728441224416607,0.3498,0.49590920109212544,1.0
gng,rus,0.0487179487179487,23.384634,0.1144888256011467,0.4188609634026443,0.3498,0.4909512265738075,1.0
nsn,rus,0.0732886904761904,23.911118,0.11357655054995441,0.4901255841905513,0.3498,0.4919499774000552,1.0
yuj,rus,0.0487179487179487,22.319036,0.11162517386582593,0.45368529998162604,0.3498,0.502373788942891,1.0
jiv,rus,0.0617777777777777,24.434423,0.11696680770897017,0.6557460955250263,0.3498,0.4700425641801959,1.0
kwi,rus,0.0614193548387096,24.33649,0.10947367382463535,0.6175315326952154,0.3498,0.49210154654940325,1.0
wol,ron,0.0828125,22.730894,0.07770897495819384,0.2581245707373377,0.3776,0.4849834504555382,0.9966373377471905
sll,ron,0.0607327757865392,23.400595,0.10006322850356875,0.6360377524091234,0.0,0.5017086271494667,1.0
bnp,ron,0.0465116279069767,24.614845,0.1012858863578362,0.651118879446829,0.0,0.49446291403233406,1.0
msy,ron,0.0717013888888888,26.814701,0.12512739239720305,0.6272216493882745,0.0,0.4947038435046497,1.0
mcr,ron,0.0487179487179487,24.30234,0.09748972135037537,0.6435652011777706,0.0,0.5021488666376462,1.0
msa,ron,0.4041655134193547,25.801508,0.0814468558495679,0.4753621547088607,0.658,0.47496901379273987,0.16291198420303743
ata,ron,0.0490956072351421,23.222408,0.08978248234449115,0.6545430484727894,0.0,0.4914341630367792,1.0
huu,ron,0.0490956072351421,23.618256,0.12573596754389005,0.5238856810937917,0.0,0.5079299920497174,1.0
xav,ron,0.0602067183462532,25.424496,0.10681122110650476,0.5122967991632765,0.0,0.5016363442219751,1.0
wsk,ron,0.0490956072351421,26.496893,0.07518485720398094,0.632488489990205,0.0,0.4989845683528342,1.0
poi,ron,0.0625714285714285,25.383282,0.07782105339018108,0.533089529694788,0.0,0.5031973143187848,1.0
kyc,ron,0.0490956072351421,25.031185,0.09968923034438693,0.629732759965079,0.0,0.5031850005968647,1.0
kmk,ron,0.0614412862474878,26.154242,0.07859607076951602,0.4528270158887432,0.0,0.49358385064931454,1.0
nko,ron,0.0487179487179487,27.05993,0.10260627492915353,0.2510338232528687,0.0,0.4749721766724561,1.0
maq,ron,0.0487179487179487,25.36585,0.09668900006299641,0.5391605936164275,0.0,0.49890073396355633,1.0
sna,rus,0.0810574229691876,21.048649,0.13065889215962878,0.49174828107674534,0.3498,0.4862417638122449,1.0
chq,rus,0.0618248456790123,23.187674,0.12057595676971422,0.5582587420893844,0.3498,0.48459735982721025,1.0
alq,rus,0.0613839285714285,22.859768,0.15505388656141206,0.38989032351776515,0.3498,0.4749825275666645,1.0
mbs,rus,0.0889796659404502,23.586985,0.10098795268779337,0.3713930136437429,0.3498,0.4643356589570177,1.0
kpr,rus,0.0731133557800224,23.88395,0.12596356344455228,0.4994336878981421,0.3498,0.49071732684771624,1.0
wnu,rus,0.0599647266313932,25.7939,0.11785388266875596,0.4692929606899807,0.3498,0.47753142674352406,1.0
tar,rus,0.0490956072351421,24.665031,0.09527356253327646,0.5054260995013135,0.3498,0.47499795406887546,1.0
mks,rus,0.0487179487179487,24.506348,0.1578028559890532,0.5586753878458521,0.3498,0.5003919194524217,1.0
nld,rus,0.6346474511385527,19.760813,0.09096897153677985,0.22235756758805222,0.3498,0.46871059135868465,0.06082850643268145
vid,rus,0.1258024691358024,26.034338,0.15505388656141206,0.4217328047144727,0.3498,0.5024704326531932,1.0
pio,rus,0.0890844526787092,25.539593,0.10454261995098268,0.6026021245960242,0.3498,0.4821482823457225,1.0
mps,rus,0.0465116279069767,23.56498,0.13390079415818346,0.47606595006753827,0.3498,0.49086744037369484,1.0
gah,rus,0.0605902777777777,24.794788,0.12734424281204593,0.47517840598048633,0.3498,0.46903502025209176,1.0
fin,ron,0.637962962962963,22.827604,0.06811096785830861,0.10114932025433755,0.0,0.49968716034278593,0.14378134852096314
atb,rus,0.0494791666666666,21.805998,0.12522067341658238,0.18829081252087654,0.3498,0.5019885355693319,1.0
dan,rus,0.5898458323907397,20.151377,0.08006201117433931,0.19428533073375648,0.3918,0.47913334804750934,0.8494527042024447
noa,rus,0.0490956072351421,23.657946,0.12823616629995926,0.5965104052136163,0.3498,0.4941283012399701,1.0
cjo,rus,0.0449735449735449,26.149887,0.1572288301895196,0.688337667581956,0.3498,0.47530572053136333,1.0
aon,rus,0.0487179487179487,21.530485,0.1088837485827816,0.45743250267528546,0.3498,0.4956883945395352,1.0
kpf,rus,0.0487179487179487,22.929943,0.15091358433407187,0.48041460871358854,0.3498,0.5035245831555919,1.0
gum,rus,0.0487179487179487,23.391552,0.12373553865637721,0.6226068144689552,0.3498,0.4910123330887406,1.0
mav,rus,0.0490956072351421,24.180996,0.13273693590939606,0.6226387160875092,0.3498,0.5005614485134929,1.0
ptp,rus,0.0487179487179487,24.57511,0.12363010423928555,0.4825226711430397,0.3498,0.4724662971933576,1.0
gym,rus,0.0729359567901234,23.197758,0.10602887955755591,0.5952518242201641,0.3498,0.46872432999118596,1.0
rkb,rus,0.0446194225721784,23.068392,0.11602322154259648,0.6630700478807381,0.3498,0.50732837540031,1.0
msa,rus,0.4759230535331193,25.260632,0.09933277280682717,0.36183313215455265,0.7125,0.48898457803275086,0.7904438170065397
clu,ron,0.1737956001113896,24.811863,0.12885409805807058,0.47492889323467274,0.0,0.4977320237022946,1.0
kpr,ron,0.0487179487179487,24.694757,0.1110879969159001,0.6628468512758668,0.0,0.5035359323930699,1.0
ssx,ron,0.0487179487179487,25.292236,0.12885409805807058,0.6339651828735191,0.0,0.47962396659189493,1.0
nlc,ron,0.0498687664041994,24.769482,0.11066846985314005,0.609158073584756,0.0,0.48665964631643616,1.0
qvn,ron,0.0787932591969597,25.467867,0.09312709550800802,0.5872790799647704,0.0,0.4938344781640625,1.0
soy,ron,0.0487179487179487,26.99866,0.12885409805807058,0.24222702200491494,0.0,0.5066458124449154,1.0
fuh,ron,0.0487179487179487,21.539028,0.0775843025885189,0.21693904912090584,0.3776,0.503673065340312,1.0
smk,ron,0.1037400585587942,26.707188,0.0816888102950063,0.45238764352450245,0.0,0.4916892725674582,1.0
mic,ron,0.0487179487179487,23.479084,0.07186709533827607,0.3527926326915364,0.0,0.4929518752522622,1.0
ksr,ron,0.0487179487179487,24.310183,0.13127638206996595,0.6462146851718905,0.0,0.48901967567997146,1.0
mks,ron,0.0487179487179487,25.480795,0.12548846001684544,0.545831604365139,0.0,0.5069095255163426,1.0
nho,ron,0.0490956072351421,26.58805,0.09729509056835739,0.6713569209376714,0.0,0.4857159727481023,1.0
qul,ron,0.1060917105006818,23.17531,0.09553803863746924,0.5731122195524034,0.0,0.4918265035503432,1.0
yrb,ron,0.0791536050156739,25.230188,0.08746880729682438,0.6622704745226755,0.0,0.5020988875223635,1.0
dwr,ron,0.0487179487179487,25.611126,0.08644275671899482,0.22832343879014627,0.3064,0.49402985916650394,1.0
tav,ron,0.0490956072351421,25.80634,0.09172214863009265,0.5206630821494861,0.0,0.4990632218294886,1.0
awb,ron,0.0613839285714285,22.714396,0.0829447619373942,0.6401420160729947,0.0,0.5101253121619886,1.0
tar,ron,0.0487179487179487,25.689522,0.08934664722693142,0.5244978537976724,0.0,0.4825794566005447,1.0
amk,ron,0.0490956072351421,23.032019,0.08904401931560124,0.5871457821937207,0.0,0.5022335971714746,1.0
cjo,ron,0.0449735449735449,26.353342,0.12504659039745214,0.579387420344409,0.0,0.4974934654546886,1.0
myu,ron,0.0479999999999999,25.96622,0.11129408726384404,0.5078838873719038,0.0,0.503060788858631,1.0
ubr,ron,0.0472440944881889,26.59336,0.1194412095118701,0.6654530887608938,0.0,0.4880782587690897,1.0
nfa,ron,0.0476190476190476,25.67922,0.09676025183455728,0.5706077041413206,0.0,0.49532950769147976,1.0
bvd,ron,0.0720909886264217,26.526026,0.12507024637511954,0.6999292769803435,0.0,0.49749459539368895,1.0
uig,rus,0.2797419050969847,21.686745,0.11553890717735338,0.17500495425321125,0.5,0.4854370386419121,0.9953480099524188
