task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
rus,ara,59.924587401407,22.763834,0.08532777692673343,0.20494225583818895,0.6738,0.49451344115250867,0.37961721764567335
kor,rus,44.3532682840872,20.000732,0.12234377719130995,0.21596976426670272,0.4259,0.48929121701502626,0.6504629696939738
rus,rus,69.0294337638887,0.0004472136,0.0,4.3043780525945503e-19,0.0,0.0,0.0
ben,rus,48.13752127911419,19.034628,0.11661078392416269,0.218964179477535,0.7532,0.4741748893259835,0.9148049498453537
ind,rus,71.97725336789749,23.378567,0.10263611586180099,0.3955114646841291,0.5,0.48895779443649334,0.6398078334103899
rus,kor,29.64970865529296,20.000732,0.12234377719130995,0.21596976426670272,0.4259,0.48929121701502626,0.6504629696939738
ara,kor,31.846371899833667,22.70164,0.10802231708316357,0.3643794368452893,0.578,0.48945853305197484,0.43657844761657016
kor,kor,39.01907757922819,0.0004472136,2.220446049250313e-16,2.468140445582576e-19,0.0,0.0,0.0
swh,rus,60.37607416585727,22.107891,0.11937726349923428,0.39775080339650815,0.6738,0.49677086342155774,1.0
tel,kor,22.12472880832154,19.896181,0.09989816623152681,0.2436089982325226,0.5574,0.4961127365795662,0.8395224342487463
ind,kor,34.80566112663394,23.71449,0.10485523687303056,0.234727847782275,0.4477,0.5016174306086806,0.029581810133377795
eng,kor,34.9425118270527,18.999586,0.22209485137944773,0.3766924055911939,0.3141,0.4950335641691039,0.8978007437506412
fin,kor,33.118877221592534,22.317928,0.08839352682165003,0.33603342792779023,0.2566,0.5071469655682059,0.16352786377923612
swh,kor,45.88097760712341,21.743933,0.13552191748855746,0.5193471887750385,0.578,0.4814436764156007,1.0
swh,ind,58.41960826831963,25.386667,0.08373790239962475,0.4598061861504946,0.2851,0.4895988398381782,1.0
ben,ind,45.53556571255685,24.207537,0.09625322471839359,0.22207657247148327,0.5893,0.48217418195519235,0.7634733399082649
