task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
ben,afr,0.600561559777246,21.973633,0.2116439859208697,0.4358502898316944,0.5893,0.4328048351296461,0.2811545397143231
snd,pcm,0.5584793358976757,24.966524,0.3757761892633741,0.3585008663569192,0.615,0.4689836369607641,0.9223852831748656
bho,pcm,0.3301945709432605,24.847542,0.3492924451868553,0.4063719531086124,0.6185,0.455208554804425,0.8301865460712267
aze,pcm,0.5181993097722779,25.590502,0.3928741137148308,0.2770919145073461,0.658,0.4903767169427305,1.0
ceb,pcm,0.2401968999067133,27.253586,0.3309888176963168,0.6421384801962532,0.0,0.4927096637015721,0.9997544176215004
gun,pcm,0.0421066318370337,29.231041,0.3600713287902192,0.3809215696835925,0.0,0.4973215792008295,1.0
spa,pcm,0.6467420564382721,24.679466,0.3390200469798378,0.4425999134832889,0.0,0.4766479661183314,0.999271285898994
azz,pcm,0.1885799744947135,31.48987,0.3961989549718727,0.5427664405764894,0.0,0.4978276280598497,1.0
myv,pcm,0.16817884178241,31.536148,0.3517612564229779,0.3663547059813634,0.3498,0.5031066848617423,0.8090516145436054
lav,pcm,0.6230426794978395,25.647396,0.3583798936578173,0.281630398162657,0.0,0.4813990193558354,0.9890742976853804
got,pcm,0.1395346931824136,24.59111,0.3429484840153628,0.2397527934099375,0.658,0.3582725201216591,0.3521970705725699
sab,pcm,0.2298626399768024,28.401382,0.3676418223346545,0.4682772976219764,0.0,0.4920699391641996,1.0
ron,pcm,0.5767828305192575,25.71596,0.3409322332932216,0.2301566906996929,0.0,0.4418817273679815,0.997092274781969
wuu,pcm,0.1630721875885142,26.37562,0.3475835664373683,0.5111234101029158,0.3455,0.5242699968628394,0.9677723898210532
tur,pcm,0.505389124631201,26.580956,0.3829326893661745,0.2259495237990736,0.0,0.5015735653775345,0.9976771627362466
yue,pcm,0.3839154038657083,25.85242,0.3717669240756646,0.5214667542790703,0.3455,0.5004249174872519,0.9897278074134864
zho,pcm,0.3005283817841737,25.643219,0.3823194047941505,0.5130909745753954,0.658,0.4680796468451278,0.9989988715642864
pcm,pcm,0.9531822447599704,0.0004472136,-2.220446049250313e-16,0.0,0.0,0.0,0.0
bar,pcm,0.3966449590785126,21.173916,0.3537284795477541,0.2217066069815093,0.0,0.3871161422161053,0.9447773815213796
est,pcm,0.6255825010339774,28.009533,0.3471381864414992,0.2926218890753409,0.658,0.4928602006518859,0.994104694656938
urb,pcm,0.1459134600267687,30.608809,0.3723486438981301,0.2874436306906987,0.0,0.4815151752532658,1.0
ctn,pcm,0.1428893733035695,30.817049,0.3875679828200223,0.4420286747900975,0.6019,0.5096100149222087,1.0
abk,pcm,0.1069045984957187,28.013758,0.402928141269943,0.2602835578072212,0.0,0.4917979239118267,0.7674922600619195
fin,pcm,0.6080524598725443,27.656313,0.3568044520510067,0.3168140298757234,0.0,0.516709668758549,0.997510351434946
abq,pcm,0.057248216216587,28.21606,0.4039332938158606,0.4027012188341252,0.0,0.4982673455995282,1.0
pay,pcm,0.1307685000059781,28.557266,0.4008332551485639,0.4851018072430056,0.0,0.4988933183596988,1.0
por,pcm,0.6096516629347044,26.0762,0.3463864667436682,0.325265918979607,0.0,0.4578260518518949,0.9987001714354452
cpg,pcm,0.331999665349857,25.917702,0.3990502124875045,0.2238371853210352,0.2736,0.4950330751351218,1.0
ajp,pcm,0.4852107843061182,28.878866,0.3394651499739376,0.2067638660615779,0.5335,0.489087632158856,1.0
cat,pcm,0.5945147810187128,24.935713,0.3520383778106846,0.1793838326418119,0.0,0.4314253220222673,0.9980769649334172
krl,pcm,0.4190242727420484,27.968763,0.3990502124875045,0.4192337875269778,0.0,0.5146948917295102,1.0
ckb,pcm,0.147065792858787,24.863052,0.3908443569112909,0.2606870077581026,0.3776,0.4860927606856678,0.9809240773197184
gsw,pcm,0.2793757789333592,20.954918,0.3370565043301371,0.2061817799385101,0.0,0.3795687024121258,0.9520296381463385
heb,pcm,0.570072131058433,28.729347,0.3552422355978504,0.2169901204759905,0.5829,0.4802813575563856,0.9960745059810208
bel,pcm,0.5835927819678371,26.5267,0.3616005113360031,0.2795398349149583,0.3776,0.4470836062774098,0.9832463302547628
dan,pcm,0.6784003622774524,22.580719,0.3512996104656261,0.2608696462995245,0.1864,0.3466918876973145,0.9951648521449128
ben,pcm,0.5924820019082314,24.84632,0.3671212917193943,0.4378373662864106,0.6185,0.4668900623757039,0.9914558600171792
yor,pcm,0.1267116584482675,26.753794,0.3310435009152119,0.0213936774188411,0.3776,0.4798906821769098,0.9580212409167131
afr,pcm,0.6238778998039426,23.608027,0.2884395956974566,0.2429913067164264,0.3776,0.3373048443994276,0.9881140795138008
ukr,pcm,0.6059506803736644,26.391384,0.3443692853090478,0.2615963034947726,0.3498,0.4602012555348089,0.998920143070259
fao,pcm,0.542832476027725,27.203909,0.3524646234231043,0.2837967560029226,0.1864,0.377905648172237,0.894001411432604
scn,pcm,0.3443141681544351,25.828796,0.3350567263291627,0.1622584352380685,0.0,0.4521328240580464,0.9427504192712304
chu,pcm,0.1867376226947773,29.510883,0.3990502124875045,0.2091068066041049,0.3277,0.4779696267167746,0.129161118508655
yrk,pcm,0.0818974032777071,28.527893,0.38567781664482,0.3997472712372542,0.3498,0.5022652811655265,1.0
olo,pcm,0.342284512553261,31.008966,0.3664252129042519,0.435386149681434,0.0,0.5123982296011267,0.6738327904451683
nap,pcm,0.2698425139327395,26.442451,0.3416224857933427,0.1746613096281515,0.0,0.463217750027875,0.8417614833544037
ess,pcm,0.1169112249108532,28.916098,0.3617044445036491,0.5444877869860986,0.0,0.493449116452984,1.0
urd,pcm,0.5615764811278903,26.660349,0.3609972175151303,0.3712517737375919,0.4681,0.4654027006564211,0.9935360873101602
aqz,pcm,0.165495735732206,31.720825,0.3790043551604225,0.3810490975703743,0.0,0.4987834464599245,1.0
vie,pcm,0.5670495289214521,27.359694,0.3652204679623377,0.5484592126949672,0.3455,0.4904209761533735,0.9988413596051058
glg,pcm,0.5798584332801909,30.610527,0.3562356472533855,0.1738209627180193,0.0,0.4627025548288083,0.9933736268584286
eng,pcm,0.7348528564493104,16.928463,0.3599271250782782,0.3896438537313856,0.1864,0.1293951293352508,0.9997871678358738
aln,pcm,0.475033399881773,25.096624,0.3580176366146708,0.2055614440870191,0.0,0.4625747823176506,1.0
grn,pcm,0.1729312354312354,29.065308,0.3657618071473194,0.3883713477703905,0.658,0.5025116059270772,0.7477326167282499
lit,pcm,0.6026546977974229,25.74049,0.402828818933707,0.2738726679815801,0.0,0.4745092916412983,0.9932829479898037
hau,pcm,0.196150602950438,26.254423,0.3510813145063847,0.0275951561849327,0.3776,0.4820885367767475,0.978438437576262
yrl,pcm,0.1323605212463131,30.590683,0.3712001847442452,0.3768602936466525,0.0,0.4976574710068114,1.0
hun,pcm,0.5511657924079407,26.687176,0.3699205172724582,0.2259118751331963,0.0,0.4912784580205613,0.9973215686833958
bej,pcm,0.0657419928211322,26.98338,0.3879076052278343,0.1529808166402905,0.3776,0.4956579780319039,1.0
nhi,pcm,0.2435037937437658,31.416487,0.3744330765950301,0.5446293559642141,0.0,0.4949002635796504,1.0
