task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
fry,nld,0.839218985039728,18.392782,0.0385077760444926,0.0097908212766028,0.0,0.1685451744585457,0.9736120327965256
mwl,nld,0.6236495726495727,25.39868,0.1563279030508847,0.0789797301868086,0.0,0.457418472837685,0.998052399067482
kir,nld,0.5670238095238095,23.988081,0.1013595503607303,0.2663636101870184,0.3776,0.478819369947237,0.965399701965625
gan,nld,0.6012222222222222,21.440134,0.1594981484882379,0.4476038304336294,0.8416,0.4932863244544397,0.9969181570661184
hrv,nld,0.8254096186261278,25.546099,0.0898392508480867,0.0564520176428821,0.0,0.458798587613411,0.994768468072362
kat,nld,0.7987694844379907,20.11025,0.1235141740679935,0.1628751843745394,0.2804,0.4941704352895055,0.9156965074267364
swa,nld,0.6511682428081035,22.871656,0.1203409186920492,0.3354159389182707,0.5335,0.4983762672307902,1.0
ilo,nld,0.735557609057609,23.971678,0.1124223881479189,0.5356094202473651,0.0,0.4730430799649461,0.9929778950252656
mon,nld,0.7647587967587968,20.294561,0.1087634745449389,0.3322475705404148,0.5253,0.5001461266521166,1.0
tat,nld,0.7719342759579602,22.984924,0.1085249683566941,0.2510997599308192,0.3776,0.4878919905100397,0.7709873458282015
cdo,nld,0.3856224331224331,23.238564,0.1085459441539928,0.3819261191956793,0.3455,0.4886732608386876,0.992411684331166
mal,nld,0.7765614297295411,22.24874,0.1401454991731408,0.3523968110881135,0.615,0.4920330582491566,0.9602901511199956
urd,nld,0.7599458551252669,21.63758,0.0935968803740956,0.3095436540614219,0.4681,0.4350803853359515,0.8942373952123336
min,nld,0.5959498834498834,21.756565,0.1052332057342632,0.5272221957774744,0.3776,0.4799293451692139,0.8959924663027261
hsb,nld,0.7539992784992785,21.151785,0.1563279030508847,0.0246733497896488,0.0,0.4500982088654609,0.9935759664497406
ron,nld,0.8389777329361386,20.539633,0.0760617283744158,0.0854866569471059,0.0,0.455655141200555,0.7648882917277711
cbk,nld,0.6381163836163837,22.30652,0.1869362641595128,0.5612089359486994,0.0,0.450025423967945,0.9985271239500751
kaz,nld,0.7668276057276057,22.985506,0.1399239951352459,0.2387643298440656,0.3776,0.5075919522254888,0.8907063159801589
por,nld,0.8402980821019366,20.920979,0.0708094450934387,0.4164139203679503,0.0,0.4875897802101194,0.4740535314888701
kin,nld,0.7139797979797978,23.08512,0.1072489824783378,0.3243472759448544,0.0,0.4883197447475162,0.9962386132025404
tgl,nld,0.7408792789941396,22.200485,0.111035561917465,0.5076748676241405,0.405,0.4898105029506416,0.9777666720374756
uig,nld,0.4623793983793983,22.127262,0.1109353246865135,0.3737118449103309,0.3776,0.4687495710463237,0.9956309835589529
isl,nld,0.8332204852165378,22.13765,0.0630529175856381,0.1015243945086832,0.1864,0.3851274351680459,0.9724450197582044
ksh,nld,0.6118095238095238,19.527048,0.1563279030508847,0.0180436821195277,0.0,0.2056144919321059,0.9986195200681638
yor,nld,0.6362478632478632,21.596264,0.1070656493075741,0.2390192024312916,0.3776,0.4927096499282203,0.9837146152452684
lin,nld,0.5062341482047364,26.801208,0.1865106862241325,0.3178755795691001,0.0,0.4951025721617772,0.99781071266992
war,nld,0.6880738705738705,24.3639,0.1092277461005318,0.5508581662147254,0.0,0.4806725654357573,0.4234272860756775
pnb,nld,0.7212402597402597,20.596588,0.0870745933394602,0.2931031226832212,0.658,0.453473527349495,0.966056033011358
xmf,nld,0.6227175602175601,22.549778,0.0942887363903374,0.1549596243765768,0.2804,0.5069769738601811,0.9900421562978196
ukr,nld,0.8444207027320805,21.246597,0.0740890619087354,0.1029252452144239,0.3498,0.4706534381805837,0.3669159086088603
dan,nld,0.8772346334375978,17.839035,0.0734605503728218,0.0347228889173343,0.1864,0.3566765726926316,0.858610271353289
ces,nld,0.8558283303478427,20.45585,0.0759445466905396,0.047519022724584,0.0,0.4694519411356863,0.7373660825229329
kor,nld,0.6631411861538874,20.62026,0.1263628799398223,0.4241516109037895,0.2566,0.4912509376707615,0.6717247851904042
sco,nld,0.7493815628815628,15.729477,0.1388789367412092,0.0385047968480567,0.1864,0.2279736656601832,0.9843855111963158
