task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
fry,nld,0.8002071759966745,18.392782,0.038507776044492625,0.009790821276602807,0.0,0.16854517445854572,0.9736120327965255
mwl,nld,0.5106309939959354,25.39868,0.15632790305088473,0.07897973018680862,0.0,0.45741847283768505,0.9980523990674819
kir,nld,0.4559767906436624,23.988081,0.1013595503607303,0.26636361018701843,0.3776,0.47881936994723706,0.965399701965625
gan,nld,0.3684036978154625,21.440134,0.15949814848823796,0.4476038304336294,0.8416,0.4932863244544397,0.9969181570661183
hrv,nld,0.8087149041768326,25.546099,0.08983925084808675,0.05645201764288219,0.0,0.458798587613411,0.9947684680723621
kat,nld,0.7300916833367864,20.11025,0.12351417406799359,0.16287518437453946,0.2804,0.4941704352895055,0.9156965074267363
swa,nld,0.6127568499733614,22.871656,0.12034091869204921,0.33541593891827076,0.5335,0.4983762672307902,1.0
ilo,nld,0.493033838007777,23.971678,0.11242238814791894,0.5356094202473651,0.0,0.47304307996494616,0.9929778950252656
mon,nld,0.7226455026455025,20.294561,0.10876347454493895,0.3322475705404148,0.5253,0.5001461266521166,1.0
tat,nld,0.5171592554445987,22.984924,0.10852496835669412,0.25109975993081923,0.3776,0.4878919905100397,0.7709873458282015
cdo,nld,0.3252873797905138,23.238564,0.10854594415399288,0.38192611919567937,0.3455,0.4886732608386876,0.9924116843311659
mal,nld,0.6741741981215666,22.24874,0.1401454991731408,0.35239681108811355,0.615,0.4920330582491566,0.9602901511199957
urd,nld,0.5825278401043481,21.63758,0.09359688037409564,0.3095436540614219,0.4681,0.43508038533595156,0.8942373952123336
min,nld,0.4346351048478707,21.756565,0.1052332057342632,0.5272221957774744,0.3776,0.47992934516921393,0.8959924663027261
hsb,nld,0.5955308438426324,21.151785,0.15632790305088473,0.02467334978964885,0.0,0.4500982088654609,0.9935759664497406
ron,nld,0.7272330292019658,20.539633,0.07606172837441583,0.08548665694710594,0.0,0.455655141200555,0.7648882917277711
cbk,nld,0.6239972749339037,22.30652,0.1869362641595128,0.5612089359486994,0.0,0.45002542396794504,0.9985271239500751
kaz,nld,0.5636596340367719,22.985506,0.1399239951352459,0.2387643298440656,0.3776,0.5075919522254888,0.8907063159801589
por,nld,0.8158815187253733,20.920979,0.07080944509343878,0.41641392036795033,0.0,0.48758978021011945,0.4740535314888701
kin,nld,0.5312911725955204,23.08512,0.1072489824783378,0.32434727594485446,0.0,0.4883197447475162,0.9962386132025405
tgl,nld,0.6003410299078388,22.200485,0.111035561917465,0.5076748676241405,0.405,0.4898105029506416,0.9777666720374755
