task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
eng,ara,0.7682,22.007307,0.1852686501919939,0.3158497261782654,0.5574,0.4968457211653928,0.8186096079977283
tur,swa,0.6442,22.73243,0.096667468936859,0.2354384819627161,0.5335,0.4870474487922491,1.0
ara,swa,0.6536,24.687376,0.1106941590009226,0.2037247672333052,0.0,0.4691201582377665,1.0
vie,swa,0.6676,23.653004,0.1182046910422303,0.4137766353075474,0.6116,0.4843119618565696,1.0
tha,swa,0.6614,24.99658,0.1020594031526599,0.3792450848003616,0.6654,0.444249606890823,1.0
zho,swa,0.668,21.658253,0.1590975067891786,0.4181682611299643,0.6244,0.4865606444200435,1.0
hin,swa,0.6441,24.559752,0.1390256764280322,0.2825641359353562,0.5464,0.4852047144930588,1.0
swa,swa,0.6453,0.0004472136,0.0,5.479225141876745e-22,0.0,0.0,0.0
urd,swa,0.6311,25.287725,0.1306168960403088,0.2654815332925803,0.403,0.4649096811019278,1.0
eng,tha,0.7735,22.045734,0.1819064804357759,0.4012931995027216,0.6502,0.4770708308945988,0.975033171777378
fra,tha,0.7261,24.721888,0.1084745115185695,0.4833493910482264,0.6327,0.4740073572003558,0.9349721078631285
spa,tha,0.7412,22.971458,0.1085542047582608,0.7599548933671586,0.6327,0.4849018744841159,0.9145163050993006
rus,swa,0.6727,22.107891,0.1193772634992342,0.3977508033965085,0.6738,0.4967708634215623,1.0
deu,tha,0.7269,26.223225,0.107475820390397,0.4405721478906462,0.6327,0.4575928575522295,0.9422559052215022
bul,tha,0.7314,23.460508,0.1061578445531005,0.3836823270263007,0.6327,0.5098844365726763,0.4236913375112844
rus,tha,0.7196,23.037075,0.1271669815012178,0.2808645155319355,0.7196,0.4886696828688793,0.9146096428353344
tur,tha,0.6805,22.51418,0.116023797705316,0.3476306466823882,0.6327,0.4809705592875965,0.7275135589052664
ara,tha,0.6916,25.835157,0.1054322860310956,0.3012116811025173,0.6654,0.4711197814374108,0.8623585960258071
vie,tha,0.7124,24.989452,0.0805699510924922,0.0431735405991628,0.6906,0.4612896785785585,0.8640826877371568
