task_lang,transfer_lang,f1_score,new_gen,new_typ,new_geo,script,distals_asjp,distals_wiki_size
eng,ara,0.8236337159169564,22.007307,0.1852686501919939,0.3158497261782654,0.5574,0.4968457211653928,0.8186096079977283
tur,swa,0.7265005529646134,22.73243,0.09666746893685907,0.23543848196271616,0.5335,0.4870474487922491,1.0
ara,swa,0.7263195600916093,24.687376,0.11069415900092261,0.20372476723330527,0.0,0.4691201582377665,1.0
vie,swa,0.7476069752593251,23.653004,0.1182046910422303,0.4137766353075474,0.6116,0.4843119618565696,1.0
tha,swa,0.7250921485616403,24.99658,0.10205940315265993,0.3792450848003616,0.6654,0.44424960689082305,1.0
zho,swa,0.7386428577431529,21.658253,0.15909750678917867,0.4181682611299643,0.6244,0.4865606444200435,1.0
hin,swa,0.7129491988654421,24.559752,0.1390256764280322,0.28256413593535623,0.5464,0.4852047144930588,1.0
swa,swa,0.7032241289700107,0.0004472136,0.0,5.479225141876745e-22,0.0,0.0,0.0
urd,swa,0.6800106514162926,25.287725,0.1306168960403088,0.26548153329258034,0.403,0.4649096811019278,1.0
eng,tha,0.8226550103167961,22.045734,0.18190648043577595,0.4012931995027216,0.6502,0.4770708308945988,0.9750331717773781
fra,tha,0.7822228163835142,24.721888,0.10847451151856957,0.4833493910482264,0.6327,0.4740073572003558,0.9349721078631283
spa,tha,0.7870034285952815,22.971458,0.10855420475826083,0.7599548933671586,0.6327,0.4849018744841159,0.9145163050993006
rus,swa,0.7508677770486237,22.107891,0.11937726349923428,0.3977508033965085,0.6738,0.4967708634215623,1.0
deu,tha,0.775994750997221,26.223225,0.10747582039039705,0.44057214789064625,0.6327,0.45759285755222956,0.9422559052215022
bul,tha,0.7834463241479558,23.460508,0.10615784455310051,0.38368232702630073,0.6327,0.5098844365726763,0.4236913375112844
rus,tha,0.7614564585771785,23.037075,0.12716698150121786,0.2808645155319355,0.7196,0.48866968286887935,0.9146096428353344
tur,tha,0.73538376712821,22.51418,0.11602379770531601,0.34763064668238824,0.6327,0.4809705592875965,0.7275135589052664
ara,tha,0.732536805130969,25.835157,0.10543228603109567,0.3012116811025173,0.6654,0.4711197814374108,0.8623585960258071
vie,tha,0.7631571378031512,24.989452,0.08056995109249221,0.043173540599162806,0.6906,0.4612896785785585,0.8640826877371568
tha,tha,0.7603316196050378,0.0004472136,0.0,7.500127593629298e-19,0.0,0.0,0.0
zho,tha,0.7530593870412475,22.801903,0.1143343828153286,0.12038919952169971,0.658,0.4708021146313334,0.8825600360459559
hin,tha,0.7274608152455991,25.379229,0.127791252104428,0.12078074286688062,0.615,0.42532233564092936,0.05462099026084588
swa,tha,0.6714348441063261,24.99658,0.10205940315265993,0.3792450848003616,0.6654,0.44424960689082305,1.0
urd,tha,0.699230881041209,26.114227,0.10725696913539817,0.16184584741316885,0.6373,0.45833628136860455,0.2417339811591147
