model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_held_out_tasks,random,single_new_gen,0.0630207685667028,0.3960473650870673,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,single_new_typ,0.0605095545529326,0.682447536164089,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,single_new_geo,0.0341149577150105,0.72351157480627,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,single_script,0.0527518034363909,0.4864902468585674,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,single_distals_asjp,0.1022054514667113,0.7080480170923384,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,single_distals_wiki_size,0.975485027367614,0.2743642743036759,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,composite_equal,0.0161975872428625,0.1977494170662317,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,rrf_equal,0.0235723556152204,0.1504383112374287,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,lightgbm_lambdarank,0.0586116480182806,0.4678770308818395,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
mt5,mT5,paired_held_out_tasks,random,mlp_listnet,0.0148470527931394,0.157314625843516,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_macro_task.csv
