model,model_name,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value,source_artifact
mt5,mT5,paired_target_queries,random,single_new_gen,0.2613408802884473,1.8691857247938e-05,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,single_new_typ,0.6098063109988149,0.0227019240466116,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,single_new_geo,1.884204721176045e-11,0.069622214078023,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,single_script,2.360377067166377e-11,0.8532519982836484,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,single_distals_asjp,0.0012641946336037,0.119605560302325,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,single_distals_wiki_size,9.660824344254638e-07,2.3982798322149364e-11,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,composite_equal,3.833254430229564e-39,6.137920789622318e-35,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,rrf_equal,3.387910653750207e-36,3.1104031592065136e-32,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,lightgbm_lambdarank,2.961684341302796e-05,0.2256328262326233,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,random,mlp_listnet,6.142802024332692e-22,3.3863308176224333e-12,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,single_new_typ,0.3523539379382325,0.0291531771562403,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,single_new_geo,3.256318502113748e-17,1.4135010137189855e-08,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,single_script,4.456139763269965e-12,6.7456223414134e-07,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,single_distals_asjp,1.4046733328197534e-10,0.0015598762101119,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,single_distals_wiki_size,0.0111575427108762,0.0407845139887095,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,composite_equal,2.080425082278964e-61,2.1353255564913e-63,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,rrf_equal,1.3776213311780221e-52,1.2820482642949637e-57,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,lightgbm_lambdarank,4.7297935929953024e-14,4.368540555563248e-12,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_gen,mlp_listnet,2.0011480689164376e-41,1.5039167612096565e-33,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_typ,single_new_geo,1.6429008921985965e-18,3.105761964493022e-05,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
mt5,mT5,paired_target_queries,single_new_typ,single_script,1.6991887506752397e-13,0.0071834896132859,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/pairwise_pooled_query.csv
