dataset,task,model,model_name,metric,metric_name,comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-3.982693410206245,-6.915654102501182,-0.9707035634945487,0.011399430028498575,185,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.02279886005699715,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-3.628347583242686,-6.633983979863423,-0.5588760557233714,0.024998750062496876,185,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.024998750062496876,scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,14.909845376071246,10.928596134505772,19.013177193855814,9.99950002499875e-05,185,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,13.482187715427244,9.685572081791658,17.471566750101694,9.99950002499875e-05,185,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-22.516936125005284,-24.557817562575565,-20.472428993175324,9.99950002499875e-05,762,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-5.460506103733769,-7.24556228936723,-3.7025808215819693,9.99950002499875e-05,762,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-15.041731926082107,-17.13832785802268,-12.943167166566768,9.99950002499875e-05,762,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,4.713327900931235,2.7716930141953044,6.599481699212348,9.99950002499875e-05,762,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-3.44202808859514,-11.979745608968345,3.913463716381036,0.4273786310684466,9,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.8547572621368932,scale-free; suitable for cross-task aggregation
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,2.994859732528172,-6.649800781114703,14.204179560704533,0.6027698615069247,9,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.8547572621368932,scale-free; suitable for cross-task aggregation
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-5.288829866835605,-14.659710428924777,5.126051118151069,0.2862856857157142,9,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.5725713714314284,scale-free; suitable for cross-task aggregation
tydiqa_xlm-r,tydiqa,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-4.8077273244493535,-14.743502640757486,7.16000322993342,0.3820808959552022,9,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.5725713714314284,scale-free; suitable for cross-task aggregation
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-8.67952126185528,-13.285033336464098,-3.808568655847709,0.000599970001499925,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000599970001499925,scale-free; suitable for cross-task aggregation
ud_dep_xlm-r,ud_dep,xlm-r,XLM-R,las,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-13.128521469932283,-17.58441175823522,-8.650822071404797,9.99950002499875e-05,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-2.4415736965138177,-6.5817565286709945,1.725980922916842,0.25568721563921804,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.5113744312784361,scale-free; suitable for cross-task aggregation
ud_pos_mt5,ud_pos,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-1.0574427682637326,-5.234136941112294,2.9747980717533107,0.6206689665516724,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.6206689665516724,scale-free; suitable for cross-task aggregation
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-9.08175310667992,-13.214713477868065,-4.958703996803046,9.99950002499875e-05,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
ud_pos_xlm-r,ud_pos,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-13.420678640542572,-16.8968119431097,-10.013764690668317,9.99950002499875e-05,147,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.000199990000499975,scale-free; suitable for cross-task aggregation
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,Composite-Equal - Always English,Composite-Equal,Always English,performance_loss_pct,-1.8008521904854804,-3.7951833030790727,0.25054323838133424,0.08989550522473877,144,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,Composite-Equal,Always English,0.17979101044947754,scale-free; suitable for cross-task aggregation
wikiann_mt5,wikiann,mt5,mT5,f1_score,F1/LAS,LightGBM - Always English,LightGBM,Always English,performance_loss_pct,-1.605581903025887,-3.7185159124144285,0.5910674461672997,0.14999250037498124,144,PL (%),Fixed method versus Always English within held-out task,method_a minus method_b,LightGBM,Always English,0.17979101044947754,scale-free; suitable for cross-task aggregation
