dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,15.807374467461107,13.144350198943853,18.71569984239477,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,11.21750622097845,9.25045263712913,13.399860613305185,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,English,performance_loss_pct,19.874555211439105,18.135110929041883,21.799366281197823,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,English,raw_oracle_gap_points,13.871100431357462,12.904376692334807,14.955728376312496,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,15.891861801232862,13.276664807775525,18.732440620796485,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,11.360488714509001,9.336985210428042,13.588566269764774,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,15.228708710659115,12.71645652425576,17.942855502805568,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,10.788020867450562,8.965469848280275,12.836108004371285,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,17.407030485080764,14.64364382915998,20.347251053247692,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,12.642565668544648,10.502953010095212,14.967539598393502,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,14.735394997913229,12.397389999855198,17.207807394422467,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,10.314991934135984,8.614447488487075,12.155533347793787,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,16.246207628196423,13.462508067298337,19.236360711570175,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,11.465558054308737,9.43960224113084,13.673726152496362,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,15.436181863492164,12.799186744905672,18.317753166974875,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,11.085630984378446,9.108062531231743,13.333739210780706,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,13.000970456502964,10.803384360276043,15.422625298631008,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,8.860308032511588,7.338960123668246,10.561565427382085,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,17.36471419005596,14.66880375824185,20.26922803358657,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,12.2875354832989,10.346685576488984,14.373392936430262,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,18.344714263838313,15.623996029889845,21.25586902951911,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,13.041472900985811,11.071163537810483,15.260608843388566,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,28.487811458855198,23.76671613921996,33.260388232616656,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,15.722717334800882,12.985648427916015,18.61650515407347,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,English,performance_loss_pct,12.969205699034523,11.311902689475977,14.706012438604631,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Always English,English,raw_oracle_gap_points,6.670690741773768,6.116876254682521,7.2448235596131445,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,27.879051075105767,23.134713539027782,32.709979563043326,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,14.756310688952832,12.158884833437856,17.423560561972497,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,28.926736089134323,24.1884550429305,33.755496611714854,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,15.400443070042034,12.84420522260455,18.054208902645204,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,23.85584549052685,19.694120404853038,28.162025507517576,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,12.19453439613044,10.191167464059285,14.363916799037488,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,31.395053426469747,26.472143281003714,36.39692734622306,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,17.736680575958918,14.738336755547422,20.84863181118422,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,26.451393414461766,21.93006652320973,31.072768214115722,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,13.68083490362461,11.354715369747453,16.137646676812153,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,25.667742014793042,21.22274273813098,30.22236390303112,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,13.500272120295172,11.153113955907122,15.95481794775642,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,performance_loss_pct,26.94486762347889,22.954768891267346,31.226707981023527,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,17.225103861709357,14.260663426574112,20.443927786946556,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,27.622527307132998,23.09792437577718,32.235825826476294,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,15.175807533688417,12.636520142965532,17.87538358059481,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,34.493927442122214,29.838617940021543,39.251315462863374,185,PL (%),scale-free; suitable for cross-task aggregation
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,20.483027306400842,17.46338946554631,23.641536420033663,185,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,55.61386762035412,53.91782952445528,57.29212651065508,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,13.39935125206031,12.887154987195764,13.916698617384531,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,English,performance_loss_pct,57.19606952203163,55.784904600291405,58.579202780207645,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Always English,English,raw_oracle_gap_points,13.166895351546072,12.842258950384291,13.484609645762847,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,34.67913339702634,33.12776131267564,36.23461801604378,762,PL (%),scale-free; suitable for cross-task aggregation
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,9.030177033699488,8.445064830226022,9.637723906476538,762,Raw gap,task-metric points; cross-task averages are secondary descriptive results
