model,model_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability,weighting
mt5,mT5,ASJP,Individual,performance_loss_pct,41.28244175913442,39.680804366699846,42.89154370047342,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,ASJP,Individual,raw_oracle_gap_points,12.03019378674677,11.510162138886825,12.5648633526676,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Always English,English,performance_loss_pct,42.48579819130629,41.08689584368734,43.89652966669712,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Always English,English,raw_oracle_gap_points,12.13279110674667,11.823875815974377,12.45045157837985,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-Equal,Composite,performance_loss_pct,28.146420289942434,26.896264665123432,29.398568119275822,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-Equal,Composite,raw_oracle_gap_points,9.076163518269267,8.54688968548163,9.615574614070871,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-RRF,Composite,performance_loss_pct,28.636412034812473,27.33945141944419,29.936581926865856,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Composite-RRF,Composite,raw_oracle_gap_points,9.162433763895951,8.648119796316772,9.696385533827785,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Genetic,Individual,performance_loss_pct,43.2670033753951,41.67916913713079,44.815098340468424,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Genetic,Individual,raw_oracle_gap_points,12.489194953588715,11.984857174330928,13.00806477734282,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Geographic,Individual,performance_loss_pct,37.68946423753053,36.139978937516226,39.22540279339766,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Geographic,Individual,raw_oracle_gap_points,11.457435864221445,10.897980473085832,12.023003507980897,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,LightGBM,Trained,performance_loss_pct,38.681328395350704,37.18459067129957,40.145521592621485,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,LightGBM,Trained,raw_oracle_gap_points,11.596335769113812,11.071459927907078,12.12572613763269,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,MLP,Trained,performance_loss_pct,33.22236552598314,31.799670068121603,34.63837090594354,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,MLP,Trained,raw_oracle_gap_points,10.238852734793893,9.704163034581082,10.795341801460696,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Script,Individual,performance_loss_pct,38.56708938241149,37.188712665371405,39.96364439007486,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Script,Individual,raw_oracle_gap_points,11.595714380465227,11.10838556145978,12.100931681053645,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Typological,Individual,performance_loss_pct,40.95402219817557,39.4687490525301,42.44828140493246,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Typological,Individual,raw_oracle_gap_points,12.351017651685183,11.813360171247428,12.8967881484488,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
mt5,mT5,Wikipedia size,Individual,performance_loss_pct,42.14294432090453,40.74160688278141,43.52299488102183,1274,PL (%),scale-free; suitable for cross-task aggregation,pooled queries; tasks with more targets receive more weight
mt5,mT5,Wikipedia size,Individual,raw_oracle_gap_points,12.911808850891026,12.40523362936243,13.439985826414278,1274,Raw gap,task-metric points; cross-task averages are secondary descriptive results,pooled queries; tasks with more targets receive more weight
