comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,setup_weighting,setup_definition,included_setups,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
ASJP - Always English,ASJP,Always English,performance_loss_pct,3.111351064663353,-1.5817953387628956,8.745992683743626,0.2311884405779711,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Always English,1.0,scale-free; suitable for cross-task aggregation
ASJP - Composite-Equal,ASJP,Composite-Equal,performance_loss_pct,5.9030545451242515,2.2917000053815184,10.289281450707682,9.99950002499875e-05,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Composite-Equal,0.005499725013749312,scale-free; suitable for cross-task aggregation
ASJP - Composite-RRF,ASJP,Composite-RRF,performance_loss_pct,6.058605176232525,2.5353083688916334,10.145911175737393,9.99950002499875e-05,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Composite-RRF,0.005499725013749312,scale-free; suitable for cross-task aggregation
ASJP - Genetic,ASJP,Genetic,performance_loss_pct,0.46413376381894855,-3.288153231079439,5.234465271671229,0.8997550122493875,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Genetic,1.0,scale-free; suitable for cross-task aggregation
ASJP - Geographic,ASJP,Geographic,performance_loss_pct,0.5497329938416785,-2.9925077071352244,4.260735742916033,0.775461226938653,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Geographic,1.0,scale-free; suitable for cross-task aggregation
ASJP - LightGBM,ASJP,LightGBM,performance_loss_pct,3.591765001182828,1.3642285790399877,6.213359626961078,0.0028998550072496373,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,LightGBM,0.12759362031898405,scale-free; suitable for cross-task aggregation
ASJP - MLP,ASJP,MLP,performance_loss_pct,4.885577380167052,2.2544054554786457,8.145676910808195,9.99950002499875e-05,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,MLP,0.005499725013749312,scale-free; suitable for cross-task aggregation
ASJP - Script,ASJP,Script,performance_loss_pct,-0.34666058600917526,-4.497026274024576,4.333789109120989,0.8286585670716464,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Script,1.0,scale-free; suitable for cross-task aggregation
ASJP - Typological,ASJP,Typological,performance_loss_pct,2.1899252941960765,-1.088963320802098,5.9370263570927815,0.20658967051647417,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Typological,1.0,scale-free; suitable for cross-task aggregation
ASJP - Wikipedia size,ASJP,Wikipedia size,performance_loss_pct,-3.239487707819204,-7.032823834603708,0.49838841215927815,0.09139543022848858,15,2695,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,PL (%),"All methods, macro task-model setups",method_a minus method_b,ASJP,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
