model,model_name,comparison,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,setup_weighting,setup_definition,included_setups,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
mt5,mT5,ASJP - Always English,ASJP,Always English,performance_loss_pct,4.808300021004426,-2.031222146970237,14.876235618995254,0.2752862356882156,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Always English,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Composite-Equal,ASJP,Composite-Equal,performance_loss_pct,6.4975094952995365,1.4667955397188508,12.682947887932977,0.004199790010499475,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Composite-Equal,0.22258887055647217,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Composite-RRF,ASJP,Composite-RRF,performance_loss_pct,7.043610166405236,2.130347870672142,12.786256652897878,0.0007999600019999,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Composite-RRF,0.043997800109994496,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Genetic,ASJP,Genetic,performance_loss_pct,2.424889418250482,-4.078244912450384,11.13733353678933,0.5986700664966752,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Genetic,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Geographic,ASJP,Geographic,performance_loss_pct,0.7607929947686152,-4.545095347021431,5.862032283019537,0.7451627418629069,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Geographic,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - LightGBM,ASJP,LightGBM,performance_loss_pct,2.1573501593892424,-1.3850628839490948,6.813801208862411,0.24178791060446977,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,LightGBM,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - MLP,ASJP,MLP,performance_loss_pct,5.836601889467695,1.7529654096230656,11.36345102635201,0.0007999600019999,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,MLP,0.043997800109994496,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Script,ASJP,Script,performance_loss_pct,3.086703384090288,-3.478561216594115,11.235039599657053,0.4034798260086996,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Script,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Typological,ASJP,Typological,performance_loss_pct,2.150594672796674,-2.891484981202186,8.479523817558094,0.42777861106944653,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Typological,1.0,scale-free; suitable for cross-task aggregation
mt5,mT5,ASJP - Wikipedia size,ASJP,Wikipedia size,performance_loss_pct,-0.8525684405353893,-6.929977523266638,4.652030349137989,0.7947602619869006,7,1274,9,144.0,762,equal,dataset + task + model + model_name + metric + metric_name,sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,PL (%),"All methods, macro held-out task, by model",method_a minus method_b,ASJP,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
