dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Always English,performance_loss_pct,-4.067180743977999,-6.807164663541159,-1.1985368601590374,0.0066996650167491624,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Always English,0.32828358582070893,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-0.08448733377175326,-3.0910115353274135,2.9069465659740943,0.9542522873856307,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-Equal,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,0.5786657568019928,-2.351285034320424,3.5738780414912843,0.7098645067746613,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-RRF,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,-1.5996560176196568,-4.2212159940867195,1.0254863129092087,0.22698865056747164,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Genetic,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,1.071979469547878,-1.898411740903546,4.041168849749726,0.4840757962101895,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Geographic,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,-0.4388331607353131,-2.9902665843955036,2.1319422034561897,0.7295635218239088,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,LightGBM,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,0.3711926039689445,-1.9168849887240607,2.5676806746547824,0.7451627418629069,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,MLP,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,2.806404010958141,-0.21472862263411296,5.900538751497236,0.0703964801759912,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Script,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-1.5573397225948484,-4.8822521396769005,1.6547318050632311,0.3502824858757062,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Typological,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-2.537339796377204,-6.465211309563242,1.3803862292627431,0.20198990050497476,185,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Wikipedia size,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-Equal,performance_loss_pct,3.982693410206245,1.0086368855383823,6.874299141275177,0.010299485025748713,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,Composite-Equal,0.4943752812359382,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Composite-RRF,performance_loss_pct,4.645846500779992,1.7735153906808798,7.468756466335768,0.002599870006499675,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,Composite-RRF,0.1351932403379831,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Genetic,performance_loss_pct,2.467524726358342,-0.5951097459179663,5.408013135819501,0.111994400279986,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,Genetic,1.0,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,Geographic,performance_loss_pct,5.1391602135258765,2.7677723022614384,7.395334865583666,0.0002999850007499625,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,Geographic,0.016199190040497975,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,LightGBM,performance_loss_pct,3.628347583242686,0.5061892470989363,6.596611432519715,0.02129893505324734,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,LightGBM,0.9797510124493776,scale-free; suitable for cross-task aggregation
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,Always English,MLP,performance_loss_pct,4.438373347946943,1.4689250261185816,7.222090075277442,0.0042997850107494625,185,PL (%),All methods within held-out task,method_a minus method_b,Always English,MLP,0.21498925053747311,scale-free; suitable for cross-task aggregation
