dataset,task,model,model_name,metric,metric_name,outcome,outcome_name,paradigm,expected_methods,observed_methods,missing_methods,n_targets_any_paradigm_method,n_complete_targets,complete_target_fraction
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
sib200_mt5,sib200,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
sib200_xlm-r,sib200,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,185,185,1.0
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
taxi1500_mt5,taxi1500,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Composite,Composite-Equal; Composite-RRF,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
taxi1500_xlm-r,taxi1500,xlm-r,XLM-R,f1_score,F1/LAS,performance_loss_pct,PL (%),Trained,LightGBM; MLP,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,762,762,1.0
tydiqa_mt5,tydiqa,mt5,mT5,f1_score,F1/LAS,performance_loss_pct,PL (%),Individual,Genetic; Typological; Geographic; Script; ASJP; Wikipedia size,ASJP; Composite-Equal; Composite-RRF; Genetic; Geographic; LightGBM; MLP; Script; Typological; Wikipedia size,,9,9,1.0
