dataset,task,model,model_name,metric,metric_name,method,method_type,outcome,mean,ci_lower,ci_upper,n_units,outcome_name,cross_task_comparability
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,6.201785707299873,3.7631121461102635,8.819808213751973,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,4.834940421367744,2.9093247110030487,6.948026644699173,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,11.606533846457232,6.725027104559045,18.102921125342267,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,8.82587843539029,5.266589669925632,13.270213331133132,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,10.482374281774408,5.951534259621488,16.731684318344048,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,7.945952358354101,4.723929533195946,12.087057941361959,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,5.093288123131184,3.2044805571641257,7.216426249089939,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,4.0106806275299975,2.503555193541523,5.721801887087464,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,6.933930802694575,4.452647406591706,9.485022324767023,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,5.475769765959787,3.47807155201983,7.536945461389354,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,7.051805117168105,3.052572101800065,13.27331725025876,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,5.671663402486023,2.379872295624355,10.870863558890253,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,8.450528658025934,5.0559507233042025,12.264705070977683,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,MLP,Trained,raw_oracle_gap_points,6.748346333254897,3.978725392934604,9.941951643239834,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,performance_loss_pct,10.29192531732291,7.708334206632448,13.404885564197754,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Script,Individual,raw_oracle_gap_points,8.136131186824368,6.082273924634174,10.645296479460901,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,performance_loss_pct,13.724782612863736,7.459112768855803,21.379915898291102,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Typological,Individual,raw_oracle_gap_points,10.458289131934174,5.998516510789917,15.811108142450102,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,performance_loss_pct,10.497479062063704,6.8866098354110745,14.981019363113441,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Wikipedia size,Individual,raw_oracle_gap_points,8.475379560529651,5.49611276535579,12.235473830760967,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,performance_loss_pct,17.32905275070393,10.112274693083927,24.87057423484503,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,ASJP,Individual,raw_oracle_gap_points,8.322278674344542,5.007717059163434,11.77493498828692,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,performance_loss_pct,19.635029029154108,11.51603629987681,28.580248477531303,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-Equal,Composite,raw_oracle_gap_points,10.86763629279399,6.005327074387612,16.786988947790668,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,performance_loss_pct,14.655409963757052,7.217077498427636,23.469465401704667,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Composite-RRF,Composite,raw_oracle_gap_points,7.965286658578619,3.6649631684681876,13.763037498871256,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,performance_loss_pct,13.959371598391796,7.858391674358137,20.41814090320067,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Genetic,Individual,raw_oracle_gap_points,6.96262464594229,4.019281402206831,10.089741147400842,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,performance_loss_pct,11.934813741839323,6.364891348151141,17.95407592883615,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,Geographic,Individual,raw_oracle_gap_points,6.281319959830892,3.3100476604869287,9.685120165435091,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,performance_loss_pct,10.673122956105615,5.4712130950776805,16.582314675765005,19,PL (%),scale-free; suitable for cross-task aggregation
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,LightGBM,Trained,raw_oracle_gap_points,5.198182955060425,2.7803337327062643,7.858569367794902,19,Raw gap,task-metric points; cross-task averages are secondary descriptive results
masakhaner_xlm-r,masakhaner,xlm-r,XLM-R,f1_score,F1/LAS,MLP,Trained,performance_loss_pct,11.05271638222941,5.453345138770396,17.30741553885931,19,PL (%),scale-free; suitable for cross-task aggregation
