model,model_name,method,method_type,outcome,outcome_name,mean,ci_lower,ci_upper,n_setups,n_paired_units,min_units_per_setup,median_units_per_setup,max_units_per_setup,weighting,cross_task_comparability,included_setups,comparison,method_a,method_b,mean_difference_a_minus_b,bootstrap_p_value,setup_weighting,setup_definition,bootstrap_p_value_vs_zero
mt5,mT5,ASJP,Individual,performance_loss_pct,PL (%),24.42355309505215,14.036269576282617,36.50398781785709,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,ASJP - __zero_baseline__,ASJP,__zero_baseline__,24.42355309505215,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-Equal,Composite,performance_loss_pct,PL (%),20.312709859465528,12.459239642445814,28.84538296261665,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-Equal - __zero_baseline__,Composite-Equal,__zero_baseline__,20.312709859465528,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Composite-RRF,Composite,performance_loss_pct,PL (%),19.8505854439873,12.104787599460693,28.219826864392893,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Composite-RRF - __zero_baseline__,Composite-RRF,__zero_baseline__,19.8505854439873,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Genetic,Individual,performance_loss_pct,PL (%),22.683502063253652,12.956572272962573,33.85705227910155,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Genetic - __zero_baseline__,Genetic,__zero_baseline__,22.683502063253652,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Geographic,Individual,performance_loss_pct,PL (%),24.71851062125753,13.767233758700494,36.61550328502597,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Geographic - __zero_baseline__,Geographic,__zero_baseline__,24.71851062125753,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,LightGBM,Trained,performance_loss_pct,PL (%),23.137890868237857,13.55039648745505,33.96528917375048,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,LightGBM - __zero_baseline__,LightGBM,__zero_baseline__,23.137890868237857,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,MLP,Trained,performance_loss_pct,PL (%),20.662734557200977,12.439031131018588,29.509644566103322,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,MLP - __zero_baseline__,MLP,__zero_baseline__,20.662734557200977,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Script,Individual,performance_loss_pct,PL (%),24.320022533577472,14.810494198807268,34.66197449126015,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Script - __zero_baseline__,Script,__zero_baseline__,24.320022533577472,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Typological,Individual,performance_loss_pct,PL (%),24.7826847677107,14.212082893350848,36.095764937911476,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Typological - __zero_baseline__,Typological,__zero_baseline__,24.7826847677107,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
mt5,mT5,Wikipedia size,Individual,performance_loss_pct,PL (%),30.138827989505053,16.364002789502234,44.59563332130673,9,1380,9,87.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_mt5 | masakhaner | mt5 | mT5 | f1_score | F1/LAS; opus100_mt5 | opus100 | mt5 | mT5 | bleu | BLEU; sib200_mt5 | sib200 | mt5 | mT5 | f1_score | F1/LAS; taxi1500_mt5 | taxi1500 | mt5 | mT5 | f1_score | F1/LAS; tydiqa_mt5 | tydiqa | mt5 | mT5 | f1_score | F1/LAS; ud_pos_mt5 | ud_pos | mt5 | mT5 | f1_score | F1/LAS; wikiann_mt5 | wikiann | mt5 | mT5 | f1_score | F1/LAS; xnli_mt5 | xnli | mt5 | mT5 | f1_score | F1/LAS; xquad_mt5 | xquad | mt5 | mT5 | f1_score | F1/LAS,Wikipedia size - __zero_baseline__,Wikipedia size,__zero_baseline__,30.138827989505053,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
xlm-r,XLM-R,ASJP,Individual,performance_loss_pct,PL (%),26.931871203654357,16.215608492160623,39.00556974119602,9,1440,9,144.0,762,equal held-out-task weight with target resampling within task,scale-free; suitable for cross-task aggregation,masakhaner_xlm-r | masakhaner | xlm-r | XLM-R | f1_score | F1/LAS; sib200_xlm-r | sib200 | xlm-r | XLM-R | f1_score | F1/LAS; taxi1500_xlm-r | taxi1500 | xlm-r | XLM-R | f1_score | F1/LAS; tydiqa_xlm-r | tydiqa | xlm-r | XLM-R | f1_score | F1/LAS; ud_dep_xlm-r | ud_dep | xlm-r | XLM-R | las | F1/LAS; ud_pos_xlm-r | ud_pos | xlm-r | XLM-R | f1_score | F1/LAS; wikiann_xlm-r | wikiann | xlm-r | XLM-R | f1_score | F1/LAS; xnli_xlm-r | xnli | xlm-r | XLM-R | f1_score | F1/LAS; xquad_xlm-r | xquad | xlm-r | XLM-R | f1_score | F1/LAS,ASJP - __zero_baseline__,ASJP,__zero_baseline__,26.931871203654357,9.99950002499875e-05,equal,dataset + task + model + model_name + metric + metric_name,9.99950002499875e-05
