dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,performance_loss_pct,-5.404748139157362,-10.456616385414222,-1.7939657273294116,9.99950002499875e-05,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-Equal,0.004499775011249437,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,performance_loss_pct,-4.280588574474538,-9.405622330231674,-0.6831357784028597,0.007999600019999,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Composite-RRF,0.31998400079996,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,performance_loss_pct,1.1084975841686888,-0.846671879115672,3.460192898405986,0.3209839508024599,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Genetic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,performance_loss_pct,-0.7321450953947025,-3.370178716284841,1.6486785701822377,0.5843707814609269,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Geographic,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,performance_loss_pct,-0.8500194098682344,-6.114116650076457,3.027834478343497,0.7862606869656518,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,performance_loss_pct,-2.2487429507260637,-4.936136873345851,0.39683636493804203,0.09309534523273837,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,MLP,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Script,performance_loss_pct,-4.090139610023038,-8.103360373629164,-0.572905525453273,0.020598970051497426,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Script,0.7003649817509124,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,performance_loss_pct,-7.522996905563861,-14.417005382208371,-1.9701659223331667,0.0020998950052497373,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Typological,0.0902954852257387,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,performance_loss_pct,-4.295693354763832,-7.922049204640577,-0.7557074459524868,0.0191990400479976,19,PL (%),All methods within held-out task,method_a minus method_b,ASJP,Wikipedia size,0.6911654417279136,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite-RRF,performance_loss_pct,1.1241595646828246,-0.12332567562904422,2.8606999927795806,0.11349432528373582,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Composite-RRF,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Genetic,performance_loss_pct,6.513245723326051,1.5781348334522582,13.338150390602513,0.0012999350032498376,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Genetic,0.057197140142992854,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Geographic,performance_loss_pct,4.672603043762659,0.48663400982068705,11.150708391320242,0.011299435028248588,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,Geographic,0.4293785310734463,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,LightGBM,performance_loss_pct,4.554728729289127,-2.834281839617664,12.205554327092477,0.22218889055547222,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,LightGBM,1.0,scale-free; suitable for cross-task aggregation
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,MLP,performance_loss_pct,3.1560051884312976,-0.8611270385655548,9.506236753437346,0.24898755062246888,19,PL (%),All methods within held-out task,method_a minus method_b,Composite-Equal,MLP,1.0,scale-free; suitable for cross-task aggregation
