dataset,task,model,model_name,metric,metric_name,method_a,method_b,outcome,mean_difference_a_minus_b,ci_lower,ci_upper,bootstrap_p_value,n_paired_units,outcome_name,comparison_family,difference_definition,negative_difference_favours,positive_difference_favours,holm_p_value,cross_task_comparability
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-Equal,raw_oracle_gap_points,-3.990938014022548,-7.431125940467825,-1.4016093697531677,9.99950002499875e-05,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Composite-Equal,0.004499775011249437,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Composite-RRF,raw_oracle_gap_points,-3.1110119369863583,-6.641068176491702,-0.5545227672149102,0.0055997200139993,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Composite-RRF,0.2183890805459727,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Genetic,raw_oracle_gap_points,0.8242597938377457,-0.6963968359015397,2.6847802663708125,0.3430828458577071,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Genetic,1.0,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Geographic,raw_oracle_gap_points,-0.6408293445920437,-2.6868466433811715,1.1580550847294457,0.5373731313434328,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Geographic,1.0,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,LightGBM,raw_oracle_gap_points,-0.8367229811182795,-5.166794978042704,2.3735466343989393,0.7511624418779062,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,LightGBM,1.0,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,MLP,raw_oracle_gap_points,-1.913405911887154,-4.000447819480547,0.0816568301721915,0.0615969201539923,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,MLP,1.0,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Script,raw_oracle_gap_points,-3.3011907654566266,-6.539636415891502,-0.4785553266135551,0.0191990400479976,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Script,0.671966401679916,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Typological,raw_oracle_gap_points,-5.6233487105664315,-10.571579772436806,-1.6149768467329613,0.0018999050047497626,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Typological,0.08169591520423979,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,ASJP,Wikipedia size,raw_oracle_gap_points,-3.6404391391619084,-6.481123680953422,-0.9019252194094054,0.009499525023748812,19,Raw gap,All methods within held-out task,method_a minus method_b,ASJP,Wikipedia size,0.35718214089295536,task-metric points; cross-task averages are secondary descriptive results
masakhaner_mt5,masakhaner,mt5,mT5,f1_score,F1/LAS,Composite-Equal,Composite-RRF,raw_oracle_gap_points,0.8799260770361897,-0.1039023600808688,2.2691741032890267,0.11299435028248588,19,Raw gap,All methods within held-out task,method_a minus method_b,Composite-Equal,Composite-RRF,1.0,task-metric points; cross-task averages are secondary descriptive results
